id,created_at,text
1081204892847329281,2019-01-04 15:05:08,b'Setelah sempat terganggu akibat longsor yang terjadi  di kawasan Stasiun Maseng Kabupaten Bogor tim teknis PT KAI a\xe2\x80\xa6 https://t.co/lB2H2dJXF6'
1081204850698809346,2019-01-04 15:04:58,b'Pertamina Turunkan Harga BBM Non Subsidi https://t.co/gBrmxDB1V6'
1081203999494176768,2019-01-04 15:01:35,b'Digital Inside: Petani Go Online #2 https://t.co/OTOr2RVBKP'
1081203701287538688,2019-01-04 15:00:24,b'#PopulerB1 #Hiburan: Aktor Senior Torro Margen Meninggal Dunia https://t.co/0oZPyTFznH'
1081203677707198465,2019-01-04 15:00:19,b'#PopulerB1 #Hiburan: Pemeran Preman Pensiun Ini Pernah Terjerembab di Dunia Hitam https://t.co/pBodPfKYmU'
1081203654147825666,2019-01-04 15:00:13,b'#PopulerB1 #Hiburan: Film Dilan 1991 Tayang di Bioskop 28 Februari https://t.co/Wu9GIShYL1'
1081203630580031488,2019-01-04 15:00:07,b'#PopulerB1 #Hiburan: Dead Out: Petualangan Mendebarkan di Dimensi Gaib https://t.co/dK1ZB31phJ'
1081203606965997569,2019-01-04 15:00:02,"b'#PopulerB1 #Hiburan: Putuskan Buka Hijab, Nikita: Belum Kuat Iman https://t.co/JwWDa5lzcV'"
1081203231655571457,2019-01-04 14:58:32,b'Chris Hemsworth Aktor Tersukses di 2018 https://t.co/j5cYT8GPDq'
1081201059828121602,2019-01-04 14:49:55,b'Digital Inside: Petani Go Online #1 https://t.co/mP0slrA3bt'
1081198294024445952,2019-01-04 14:38:55,b'Jokowi Mania Laporkan Andi Arief dan Tengku Zulkarnain ke Polisi https://t.co/dqBnD3C0p5'
1081196420772720641,2019-01-04 14:31:29,"b'Presiden Joko Widodo menargetkan pembangunan Waduk Bendo di Kecamatan Sawodo, Ponorogo, Jawa Timur, rampung akhir t\xe2\x80\xa6 https://t.co/osOvfeILov'"
1081195211898810368,2019-01-04 14:26:40,b'Menristekdikti: Tidak Ada Mahasiswa Indonesia Kerja Paksa di Taiwan https://t.co/lekJRcbVht'
1081194977957371906,2019-01-04 14:25:45,b'Bersama rekan-rekannya ia mendirikan sebuah platform untuk menghubungkan para fotograpfer profesional di lebih dari\xe2\x80\xa6 https://t.co/mls8YiTvlN'
1081194279031103488,2019-01-04 14:22:58,b'Tanggapan Sekjen PSSI Ratu Tisha Usai Diperiksa Satgas Antimafia Bola https://t.co/CnB7pNRPBt'
1081192543184769024,2019-01-04 14:16:04,"b'98 Pebulutangkis Masuk Pelatnas, Kecuali Hendra/Ahsan https://t.co/27CMCPjIaH'"
1081192472183599104,2019-01-04 14:15:47,"b'Dua calon presiden dan wakil presiden akan bertemu dipanggung debat, mengenalkan produk misi, visi dan program. \nSa\xe2\x80\xa6 https://t.co/vYo5vIkwZ3'"
1081191347711705088,2019-01-04 14:11:19,b'Hubungan Gigi Hadid dan Zayn Malik Kembali Pupus https://t.co/rCzFbH8JAp'
1081189986525802499,2019-01-04 14:05:54,b'Tim Cyber Patrol Polda Jatim memblokir 38 akun media sosial penyebar berita hoax. Hingga saat ini total 70 akun med\xe2\x80\xa6 https://t.co/WPv3UYk8BO'
1081189886311288833,2019-01-04 14:05:31,"b'Special Interview With Gubernur @bank_indonesia, Perry Warjiyo: Optimisme Ekonomi 2019 #5 https://t.co/vUk6ruWWBJ'"
1081188975040028677,2019-01-04 14:01:53,b'Tersangka Mafia Bola Dapat Bertambah Pekan Depan https://t.co/Wj6oDcxq5l'
1081188815035817984,2019-01-04 14:01:15,b'Ini Bocoran Spesifikasi Motorola P40 https://t.co/hEFjLGZcFz'
1081188049495572481,2019-01-04 13:58:13,b'Polri: Pekan Depan Akan Ada Tersangka Baru Kasus Pengaturan Skor https://t.co/7O3Jm1d6Un'
1081186830534402053,2019-01-04 13:53:22,"b'Special Interview With Gubernur @bank_indonesia, Perry Warjiyo: Optimisme Ekonomi 2019 #4 https://t.co/3zyjs5q37O'"
1081186708761133056,2019-01-04 13:52:53,b'Somalia Minta PBB Tidak Campuri Urusan Dalam Negeri https://t.co/Kjs0b8dVqD'
1081185815806398468,2019-01-04 13:49:20,b'KPK Nilai Sjamsul Nursalim Tidak Beritikad Baik https://t.co/xdAxcwrag3'
1081184772083277824,2019-01-04 13:45:11,b'Taiwan Bantah Kabar tentang Mahasiswa Indonesia yang Dipaksa Bekerja https://t.co/b17DyHRxLY'
1081183808857096192,2019-01-04 13:41:22,b'2 Selebritas Dunia Kenakan Gaun Karya Desainer Indonesia https://t.co/FI9L0E2aFG'
1081183361073242112,2019-01-04 13:39:35,"b'Special Interview With Gubernur @bank_indonesia, Perry Warjiyo: Optimisme Ekonomi 2019 #3 https://t.co/Qq2ZuddBEs'"
1081181930362626049,2019-01-04 13:33:54,"b'Putuskan Buka Hijab, Nikita: Belum Kuat Iman https://t.co/JwWDa5lzcV'"
1081181779799592961,2019-01-04 13:33:18,b'Surat Suara  Dicetak Pertengahan Januari https://t.co/TmqdenKOQO'
1081181041262391296,2019-01-04 13:30:22,b'KPU Gelar Validasi Surat Suara Pemilu 2019 https://t.co/PVR7dXrrM6'
1081180613024002054,2019-01-04 13:28:40,"b'Special Interview With Gubernur @bank_indonesia, Perry Warjiyo: Optimisme Ekonomi 2019 #2 https://t.co/ArTHa65tZD'"
1081180587832963072,2019-01-04 13:28:34,b'Jokowi Dinilai Mampu Memadukan Budaya Lokal dan Nasional Sebagai Kekuatan https://t.co/UsX2l4srHc'
1081179871634644992,2019-01-04 13:25:43,b'Konsumsi Minyak Zaitun Turunkan Risiko Kanker https://t.co/U5JNqRAS9E'
1081179159336910854,2019-01-04 13:22:53,b'Samsung Siapkan Android Pie Beta untuk Galaxy S8 https://t.co/IyoWPw2SYd'
1081178423765024769,2019-01-04 13:19:58,"b'Special Interview With Gubernur @bank_indonesia, Perry Warjiyo: Optimisme Ekonomi 2019 #1 https://t.co/4VlMH7uLVS'"
1081178115609571328,2019-01-04 13:18:44,"b""Belum Pernah Ikut Debat KPU, ini Kata Ma'ruf https://t.co/NV1TBjJc7x"""
1081178105144696832,2019-01-04 13:18:42,b'KPK Minta Masukan Masyarakat Terkait Latar Belakang Calon Sekjen https://t.co/1zcMIZc6qO'
1081177622367789061,2019-01-04 13:16:47,"b'Begal Sadis ""Gengster Jakarta"" Dibekuk Polisi di Bekasi https://t.co/L8ioVFOGCo'"
1081176079383973888,2019-01-04 13:10:39,"b'Hukuman Syafruddin Diperberat, KPK Makin Mantap Usut BLBI https://t.co/RllUVXhzKt'"
1081175776605528064,2019-01-04 13:09:27,b'Eksistensi Vendor Ponsel Lokal Kian Terjepit https://t.co/gbsE5EnpbH'
