id,created_at,text
1199930213523578886,2019-11-28 05:57:11,b'Sudahlah. Nanti juga terbiasa \xe2\x98\xba\xef\xb8\x8f'
1199913811118977027,2019-11-28 04:52:00,b'@grutarmy Haaah? Serius nanya'
1199912940897333250,2019-11-28 04:48:33,b'Dear cowok. Cewek idaman itu yang apa cuma gue yang sampai sini paham?'
1199896481777405953,2019-11-28 03:43:08,b'@Zainal_baikhati Wlwlwl'
1199896217787883526,2019-11-28 03:42:05,"b'Tulang kawat, otot besi, mata merah, gigi kuning, kencing batu, berak rudal'"
1199891569328869376,2019-11-28 03:23:37,"b'Muka cantik, rambut panjang, nama @faniulinnuha. Pas mau saya ajak chatime, eh punya biji https://t.co/uAGaBC3xhN'"
1199867039071887360,2019-11-28 01:46:09,b'@thesansuh Line woi'
1199861294821597185,2019-11-28 01:23:19,b'Senangnya bisa membahagiakan orang lain https://t.co/3BPPU9pyTc'
1199854493690580992,2019-11-28 00:56:18,b'Palangka Raya!\nONE NIGHT ENGINEERING FESTIVAL\nFakultas Teknik Universitas Palangka Raya\n.\n30 November - 1 Desember 2019\nStadion Mini Universitas Palangka Raya\n.\nContact person:\n\xf0\x9f\x93\x9e 0821 5950 2363 (Agung)\n\xf0\x9f\x93\x9e 0896 1450 7156 (Sekar) https://t.co/CjORLnZKWi'
1199809052580044800,2019-11-27 21:55:44,b'Tidak ada kerjaan tapi tidak bisa tidur adalah makar terhadap tubuh sendiri'
1199801116059287557,2019-11-27 21:24:11,b'Bangun-bangun lapar'
1199676518353362945,2019-11-27 13:09:05,"b'Lanjutan #SebuahJurnal ke Gunung Burangrang bareng Arafah Rianti sudah bisa ditonton di Youtube. Simak kami mengobrol tentang cinta, kehidupan, orang tua, intisari, anggur merah, dan lain sebagainya. Selamat menonton, Dulur\n.\nhttps://t.co/eR6tE4v2np https://t.co/RDCtp6DJAO'"
1199656555114684416,2019-11-27 11:49:45,b'@arugikun Auk. Kan lupa'
1199655506467442690,2019-11-27 11:45:35,"b'Saya pelupa sekali. Kalau titit bisa dilepas, kayaknya sudah hilang dari dulu'"
1199652221807292417,2019-11-27 11:32:32,b'@dsuperboy Yow. Spill'
1199590218036174848,2019-11-27 07:26:09,"b'@radenrauf Weird flex, but okay'"
1199588264350380032,2019-11-27 07:18:24,b'@RicksRamadhan91 Mbleeeh. Ti baheula dititah berdikari. Ngadon tuluy weh nyo\xe2\x80\x99o hape bari gagaro nanut'
1199587200419033089,2019-11-27 07:14:10,b'1. Halo David. Gais di sini\n2. Wow\n3. Bangsat kau\n4. Pokoknya lagunya bagus https://t.co/NAZI1x7hAg'
1199492174531846144,2019-11-27 00:56:34,"b'SOLO!\nBEM FH UMS \n.\nONCE MEKEL\nFIERSA BESARI\nDANILLA RIYADI\nAnd more music\n.\nSabtu, 30 November 2019\n16.00 - 23.00 WIB\nLapangan Pura Mangkunegaran\n.\nMore Info : \n089681450450 (Ryan)\n085718149970 (Fariz) https://t.co/i6OEL8PrSa'"
1199341916485144577,2019-11-26 14:59:30,"b'Jalanan kota sehabis hujan dan kenangan tentang kita yang pernah berboncengan. Dulu, bahagia sesederhana bercerita tentang masa depan. Meskipun di masa depan, kita hanya masa lalu'"
1199326575981780992,2019-11-26 13:58:32,b'Enggak salah emang mengidolakan Maria Ozawa dari zaman kuliah dulu'
1199271913538719744,2019-11-26 10:21:20,b'Pun10 e&amp; q2 hd \xcf\x80\xe2\x98\x80\xef\xb8\x8f'
1199270639493767169,2019-11-26 10:16:16,b'@makmummasjid Triskaan udeh diangkat Bang?'
1199270255635226624,2019-11-26 10:14:44,b'Udeh pade kemek?'
1199259690565132288,2019-11-26 09:32:46,"b'Chill atuh, Lur'"
1199257261807296515,2019-11-26 09:23:06,b'@Psychonesian_ Rumit ah'
1199256812643479553,2019-11-26 09:21:19,"b'Superman mengakui dirinya berdarah Krypton. Son Goku mengakui dirinya berdarah Saiya. Tapi, di saat yang sama, mereka melindungi dan mencintai bumi dengan sepenuh hati. Mengakui diri keturunan bangsa lain, bukan berarti tidak bangga terhadap bangsa sendiri. Hehe'"
1199248252551303169,2019-11-26 08:47:19,b'Andihiyat KW berisik amat https://t.co/G7xUyKheYa https://t.co/lFlpKnvhCy'
1199244174844841985,2019-11-26 08:31:06,b'@dindingrahim Mbleeeeeh'
1199243185333006336,2019-11-26 08:27:10,b'@p_dnnn Sandi Semeru'
1199242236761784321,2019-11-26 08:23:24,"b'Ngapain sampai gembok akun begitu coba? Padahal tinggal bilang saja, \xe2\x80\x9cYa, saya nge-like untuk kebutuhan riset\xe2\x80\x9d'"
1199201508283150337,2019-11-26 05:41:34,b'Diminta membawakan lagu @pidibaiq. Nuansanya berbeda sekali https://t.co/xz2iO2rIpk'
