id,created_at,text
1199946022899900416,2019-11-28 07:00:00,"b'Sukarno dibentak penghulu karena memakai dasi, yang dianggap \xe2\x80\x9dpakaian mereka yang beragama Kristen.\xe2\x80\x9d\n\nSoemarno Sosroatmodjo, yang menikah diam-diam agar beasiswanya tak diputus, akadnya terpaksa diulang.\n\nSeperti apa proses menikah di zaman kolonial?\n\nhttps://t.co/BbYbhQxRZn'"
1199938472175267841,2019-11-28 06:30:00,b'Panggilan untuk sobat moviegoers \xf0\x9f\x93\xa2\n\nhttps://t.co/Yc1Aw0U5qO'
1199930923568881665,2019-11-28 06:00:00,"b'Bagaimana Pak Poerwa bisa begitu tahan mengerjakan semua proses rumit dalam pembuatan kamus sendirian? Bekalnya adalah ketekunan dan disiplin metode, ditunjang daya ingat yang kuat. Semua ini dikenal melekat pada diri Pak Poerwa sejak remaja. #MozaikTirto\n\nhttps://t.co/btH9jjtNRM https://t.co/GA7H6rdGTJ'"
1199927147684679680,2019-11-28 05:45:00,"b'Lippo Group melepaskan 70% saham OVO kepada pihak luar. ""Ya terus bakar uang, bagaimana kita kuat?"" terang Mochtar Riady, Presiden Komisaris Lippo Group.\n\nhttps://t.co/xNPbXXgBD0'"
1199923372781498369,2019-11-28 05:30:00,"b'Hingga akhir hayatnya, Ciputra meyakini satu hal: olahraga bisa jadi jalan menghapus diskriminasi etnis. Kontribusinya untuk dunia bulu tangkis akan selalu jadi warisan tak ternilai.\n\nhttps://t.co/2eqTcRv5oB'"
1199915824259055618,2019-11-28 05:00:00,"b'Kerja lembur tapi khawatir jadi drop, gak berlaku kalau kita bisa atur pekerjaan sekaligus jaga kesehatan tubuh dengan minuman bervitamin. Semangaat kerja lembur, tinggal cuss beli di minimarket/supermarket terdekat! #OronaminC #HealthyOishi #Ads\n\nhttps://t.co/oJRDrmNUAY https://t.co/G1n03yycxp'"
1199906860444160000,2019-11-28 04:24:23,b'Pedagang buku di Shopping Center Yogyakarta menyerahkan ratusan buku bajakan ke Konsorsium Penerbit Jogja berdasarkan kesepakatan. Para pedagang sudah berkomitmen untuk tak lagi menjual buku bajakan.\n\nhttps://t.co/yUEKMTuSLH'
1199904498459631617,2019-11-28 04:15:00,"b'Anak-anak memang menggemaskan sih, tapi bukankan sebaiknya kita memperhatikan beberapa hal sebelum terlalu asik menggugah foto mereka di sini dan di sana?\n\nhttps://t.co/eHN1uyOutD https://t.co/Nc17hPfJJo'"
1199900724844474368,2019-11-28 04:00:00,"b'Sudah dua pekan sejak Ahmad Fauzi, Kepala Desa Batur, Jawa Tengah, menghilang. Menurut istrinya, Ahmad Fauzi pamit untuk bertemu dengan aktivis lingkungan. Selama ini Fauzi memang disebut aktif mengadvokasi kebakaran hutan di Dataran Tinggi Dieng.\n\nhttps://t.co/tc3D3CLJYe'"
1199885624670445568,2019-11-28 03:00:00,"b'Rajin mandi rajin sikatan, jangan lupa juga bersihkan yang ada di dalam perut. Makan sayur dan buah, dilengkapi suplemen kaya serat yang bantu buang racun dan bersihkan pencernaan. Nyam nyam nyam. #Ads #SehatnyaSehat\n\nhttps://t.co/KCFXaJIdmv https://t.co/VU49IbMQQs'"
1199878074516561921,2019-11-28 02:30:00,b'#weddinginspo\n\nhttps://t.co/BbYbhQxRZn https://t.co/Hw86NCpt1J'
1199870524416876544,2019-11-28 02:00:00,"b'PN Depok batal membacakan putusan gugatan perdata untuk First Travel karena ""majelis hakim belum selesai bermusyawarah.""\n\nPara korban pun kecewa. ""Jemaah tidak terima sidangnya ditunda. Sudah beberapa kali ada yang pingsan,"" kata salah satu penggugat.\n\nhttps://t.co/xepe7cF1et'"
