id,created_at,text
1199912540127412224,2019-11-28 04:46:57,b'RT @hariadhi84: @budimandjatmiko @addiems @maman1965 @PadmaAbyakta @sigitwid @kokokdirgantoro @ginanelwan @HaikhSmartikh @budiman_hakim Ada\xe2\x80\xa6'
1199910910891974657,2019-11-28 04:40:29,b'RT @hariadhi84: @budimandjatmiko @addiems @maman1965 @PadmaAbyakta @sigitwid @kokokdirgantoro @ginanelwan @HaikhSmartikh @budiman_hakim Buk\xe2\x80\xa6'
1199899662833999873,2019-11-28 03:55:47,"b'RT @wiradipratama: @budimandjatmiko \xe2\x80\x9cAmati perilaku teman2 masa kecilmu.\xe2\x80\x9d\n\nKebanyakan benarnya, Pak. Kok bisa?'"
1199899032090337280,2019-11-28 03:53:16,b'RT @nova__setyanto: @budimandjatmiko Hernando Mas \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x98\xac'
1199895306134941696,2019-11-28 03:38:28,"b'Allende marah2 ke Abimael Guzman (Maois dr Peru) gara2 ngerusak image Kiri, Angel Capeletti (Anarkis Argentina) &amp; Nahuel Moreno (Komunis Kiri/Trotskyis Argentina) setuju..Tiba2 nongol Fernando de Soto (liberal Peru yg usul tanah tani jd agunan utang ke Bank) https://t.co/vQOGS6J2MJ'"
1199889643040202752,2019-11-28 03:15:58,"b'""Iwak, nyingkiro sik. Aku mau buat percobaan Schr\xc3\xb6dinger dulu. Kalau aku mati, kamu slamet. Kalau aku hidup, kamu kumakan ya..Kalau aku hidup &amp; mati sekaligus, kamu sehidup semati denganku.."" https://t.co/09GZn4hkXw'"
1199878008980398081,2019-11-28 02:29:44,b'MACET parah donk https://t.co/591zgQn8XW'
1199874930474536960,2019-11-28 02:17:30,b'Merah putih ... https://t.co/M7gRyXeweh'
1199873543632080896,2019-11-28 02:12:00,b'RT @rianliyane: Pengennnnnn https://t.co/m97KMJkR5O'
1199794363632517120,2019-11-27 20:57:22,b'Itu mash masih moderat banget... https://t.co/HqY1X7i2LY'
1199728647784910849,2019-11-27 16:36:14,b'RT @_maulaana: @budimandjatmiko @inovator4id Di Bondowoso atau Jember dong Bung \xf0\x9f\x98\x81'
1199717226791571457,2019-11-27 15:50:51,b'RT @Didien79: interest https://t.co/AMMvVSYEue'
1199712109107376128,2019-11-27 15:30:31,"b'Nah pembicaranya adalah 2 anggota @inovator4id: @sandokokosen, Doktor Fisika Materi Solid u/ Efek Kuantum dr @UniofOxford &amp; Ferro Ferizka (pemandu senior Program Microsoft se dunia) yg thn lalu mengelola Tim ""Transformasi Digital Indonesia 2045"" di Bappenas. https://t.co/65pHxycSIV'"
1199709781419651072,2019-11-27 15:21:16,b'RT @daryuschandra: Jangan sampai kelewatan kegiatan hari Minggu bermanfaat! Pelajari dasar teknologi kuantum langsung dari pakarnya Sandoko\xe2\x80\xa6'
1199709665401036800,2019-11-27 15:20:48,b'@fadelyafie @inovator4id Siap. Will do'
