id,created_at,text
1081914419964248065,2019-01-06 14:04:33,b'mengulang-ulang mata pelajaran agar tidak lupa. mengulang-ulang mencintaimu agar hati tak larut dalam luka.'
1081912772735184896,2019-01-06 13:58:00,b'@howtodressvvell aq yha bg?'
1081912059808358400,2019-01-06 13:55:10,b'@SINDIKASI_ (((sjw pekerja media dan kreatif))) \xf0\x9f\x98\x82'
1081906696576995333,2019-01-06 13:33:51,b'@NadyaIskndrr @aarmanh_ masih on going tapi'
1081905391657762816,2019-01-06 13:28:40,b'@Indahdessiana @ridwanaffandi07 terima kasih atas dukungannya untuk pencalonan diriku \xf0\x9f\x99\x8f'
1081905089860829184,2019-01-06 13:27:28,b'@FKumal bsshiiap'
1081905053332582401,2019-01-06 13:27:20,b'@athd___ kirain ashiiap'
1081905005777641474,2019-01-06 13:27:08,b'@Eldon_xuitel hahahaha\xf0\x9f\x98\x82'
1081904984357302275,2019-01-06 13:27:03,b'@a_fathiahana ngga dongg itu angel lelga'
1081904933803343872,2019-01-06 13:26:51,b'@cinderbellaa mala tawa'
1081904907727323136,2019-01-06 13:26:45,b'@dykendwia maapin \xf0\x9f\x98\x94'
1081904860881129473,2019-01-06 13:26:34,b'@Ululalbab_09 @xvnidaa pepet trus bg'
1081904468441088000,2019-01-06 13:25:00,b'@kurniawan_akt24 ingin ku ucapkan BACOOTTTT SIA ANYENGG :('
1081903742193205248,2019-01-06 13:22:07,b'@Fryscilia lah masih ada di toko buku? toko buku mana nih?'
1081903539520225280,2019-01-06 13:21:19,"b'@dsuperboy Maapin da, baru ikutin berita \xf0\x9f\x98\x94\xf0\x9f\x99\x8f'"
1081903201388056576,2019-01-06 13:19:58,b'@Firinmustag_ bshiaapp'
1081903173760176129,2019-01-06 13:19:52,b'@khusnullkk bshiiapp'
1081903106806505473,2019-01-06 13:19:36,b'@myeonbbunny kan kirain'
1081902598863630336,2019-01-06 13:17:35,b'kirain teh vanessha angel digrebek atta halilintar :('
1081902169656356864,2019-01-06 13:15:52,b'@lalagemanis iya beb'
1081902069475405824,2019-01-06 13:15:28,b'@Ricky_fauzii astagfirullah \xe2\x98\xb9'
1081901983102091264,2019-01-06 13:15:08,b'@Erikaaf14 ya juga yaa'
1081901887077650432,2019-01-06 13:14:45,b'@Bendott11 ya bisa jadi dia booking untuk pengajian kan?'
1081901556545527808,2019-01-06 13:13:26,"b'@BangBond_ lah, jalan doang? kirain ke hotel.'"
1081901441470615552,2019-01-06 13:12:59,b'@Dededessy_ hmmm beneran?'
1081901406070685698,2019-01-06 13:12:50,b'@mfrd_n nggaa buat agenda kantor'
1081901352517816320,2019-01-06 13:12:37,b'@nverass_ yuk'
1081900655164444672,2019-01-06 13:09:51,b'terima kasih juga bang @hafazh untuk ngopi-ngopi cantiknya disela-sela agenda studi banding saya ke Kota Medan untu\xe2\x80\xa6 https://t.co/I3NEz4lTau'
1081898996736626691,2019-01-06 13:03:16,b'booking online 80 juta mah masih murah. aku pernah booking online untuk urusan kantor dengan nilai transaksi 70 jut\xe2\x80\xa6 https://t.co/gYlqBY0DzI'
1081893830960574464,2019-01-06 12:42:44,b'@westnawa @nurhadi_aldo dukung ya bang\xf0\x9f\x99\x8f'
1081843766577659904,2019-01-06 09:23:48,b'@InfoTwitwor untung aku caleg dari Partai Untuk Kebutuhan Iman alias puki. https://t.co/JmsoS58Nii'
1081810853999996928,2019-01-06 07:13:01,b'@reyzeki @nurhadi_aldo https://t.co/g3e4xwdC9Y'
1081809657486688256,2019-01-06 07:08:16,"b'@jojosuherman lagunya psy - gangnam style. liriknya yg ""oppa gangnam style, op op op oppa gangnam style""'"
1081809236336594945,2019-01-06 07:06:35,b'@merrywulan @nurhadi_aldo dukung aq mba merr'
1081809153801089024,2019-01-06 07:06:15,b'@ciamikboy iya gitu bg. info valid ring 1 nih'
1081808559875084288,2019-01-06 07:03:54,b'@catstrphc kapok u kan. kualat sih sinisin twet w mulu'
1081808229095460864,2019-01-06 07:02:35,b'@catstrphc poh twiter baru yha?'
1081807217710362624,2019-01-06 06:58:34,b'@sitiaisyah12_ halat'
1081806677836423169,2019-01-06 06:56:25,b'@bosendamai @LakunaEunoia padahal aq anak pesinden'
1081806003790737409,2019-01-06 06:53:44,b'aku baru tahu sekarang kalau dapil itu kepanjangan dari dayat piliang.'
