id,created_at,text
1199946199589117952,2019-11-28 07:00:42,b'Tuhan terimakasih atas kebahagiaan tak terduga ini'
1199931067840520192,2019-11-28 06:00:34,b'semoga cita-cita kita semua tercapai'
1199915944518262786,2019-11-28 05:00:29,b'aku sadar atas kebesaranMU Tuhanaku'
1199885754467520512,2019-11-28 03:00:31,b'Ridhoi ketulusan hati ini ya Tuhan'
1199870722983763968,2019-11-28 02:00:47,b'berikanlah anugerahMU untuku dan keluargaku'
1199659379571728384,2019-11-27 12:00:59,"b'aku hanya ingin dia bahagia,walaupun dia telah meninggalkan aku'"
1199644239648477190,2019-11-27 11:00:49,b'aku menginginkan pasangan yang yang bisa menjadi amam untuk aku dan anak2ku kelak'
1199629259071000576,2019-11-27 10:01:18,"b'Ya tuhan, jadikanlah aku sebagai pribadi yang pemaaf.. yang menjadikan kebencian menjadi kasih sayang'"
1199614082397155329,2019-11-27 09:00:59,b'apapun rencanaMU untuk aku dan dia semoga itu yang terbaik buat kami'
1199598955346235392,2019-11-27 08:00:53,b'Tuhan berikanlah balasan yang setimpal bagi dia yang telah menyakitiku'
1199583808619732992,2019-11-27 07:00:41,"b'uma izinMU aku bisa menyelesaikan masalah ini,izinkan Tuhan'"
1199568675260567553,2019-11-27 06:00:33,b'berilah aku kekuatan dalam menghadapi masalah ini Tuhan'
1199553546343059456,2019-11-27 05:00:26,b'berilah aku rezeki yang cukup dan baik untuk hari ini'
1199523373660987394,2019-11-27 03:00:33,"b'ya Tuhan berikan aku rejeki yang cukup,melalui pekerjaan yang aku jalani'"
1199508348334432256,2019-11-27 02:00:50,b'aku memohon petunjukMu agar aku tidak salah menuju jalanMU'
1199297171025215488,2019-11-26 12:01:42,b'Semoga Tuhan menjaga malam kita'
1199281958217568256,2019-11-26 11:01:15,b'ya Tuhan berikan kekuatan untukku agar bisa memngungkapkan perasaan ini padanya'
1199266844382765059,2019-11-26 10:01:11,"b'Tuhan hanya dia yang mau menyayangi aku setulus hati,berikan rasa cinta ini untuknya'"
1199251704878977036,2019-11-26 09:01:02,b'semoga kita selalu bersatu :)'
1199236575693070337,2019-11-26 08:00:55,b'hanya padaMU aku berserah dan memohon'
1199221490270511105,2019-11-26 07:00:58,"b'Tuhan jagain dia ya,karena aku sanyat menyayanginya'"
1199206298086248449,2019-11-26 06:00:36,"b""tuhan. sampaikan kepadanya bahwa aku merindukannya :')"""
1199191178404651009,2019-11-26 05:00:31,"b'tuhan, jadikan airmata ini menjadi awal untuk kebahagiaanku'"
1199161009954533376,2019-11-26 03:00:38,"b'yang kuinginkan saat ini hanya damaiMU,berikanlah Tuhan'"
1199145977439014913,2019-11-26 02:00:54,b'Terimakasih atas malam terindah ya Tuhan'
1198934578037239808,2019-11-25 12:00:53,b'Tuhan jadikanlah hari ini menjadi hari penuh kepositivan yang aku jalani'
1198919571614375936,2019-11-25 11:01:15,b'tuhan jadikanlah pahalaku sebagai cahaya yang akan menuntunku menuju surgamu aamiin'
1198904462351437825,2019-11-25 10:01:13,"b'dengarlah rintihan dari hambamu yang lemah ini,janganlah engkau biarkan aku sendirian'"
1198889339188592640,2019-11-25 09:01:07,b'ya Tuhanku yang Maha Mengerti berikanlah aku kekuatan untuk melupakan bayangannya'
1198874203640016896,2019-11-25 08:00:58,b'karuniakanlah aku seorang pasangan yang baik dimataMU'
1198859058717036547,2019-11-25 07:00:47,b'terimakasih atas harimu yag indah ini Tuhan'
1198843879593857024,2019-11-25 06:00:28,"b""Tuhan, jagalah hatiku :')"""
1198828782670557186,2019-11-25 05:00:29,b'berikan aku kebahagian detik ini ya Tuhan'
1198798583321055232,2019-11-25 03:00:29,"b'ya Tuhan,berikanlah kebahagian untuk kami'"
1198783516592558080,2019-11-25 02:00:37,b'terima kasih Engkau telah menciptakan dia dan mempertemukan aku dengannya'
1198572206235799553,2019-11-24 12:00:57,"b'indahnya saat-saat yang dapat kami nikmati bersama,terima kasih Tuhan'"
1198557088940797953,2019-11-24 11:00:52,"b'Tuhan,bantulah aku untuk mencintai, mengerti, dan menerima dia seutuhnya'"
1198541958018424833,2019-11-24 10:00:45,"b'Ajari aku menjadi pribadi yang lebih tabah dalam mnjalani hidup ini,ya Tuhan'"
1198526858289135616,2019-11-24 09:00:45,"b'Bersyukur membuat Hati puas, dan berdoa membuat hati tenang.'"
1198526851511201792,2019-11-24 09:00:43,b'ya Tuhanku yang Maha Mengerti berikanlah aku kekuatan untuk melupakan bayangannya'
1198511728750989312,2019-11-24 08:00:38,b'Jangan biarkan hati ini keras sehingga prilaku ini kasar. Aamiin'
1198496583412854785,2019-11-24 07:00:27,b'janganlah biarkan aku melabuhkan hati ini di hatinya'
1198481485642260482,2019-11-24 06:00:27,b'Berikan aku anugerah cintamu !'
1198466369559420928,2019-11-24 05:00:23,"b'Tuhan, aku hanya meminta agar aku bisa jadi alasan untuknya tersenyum'"
1198436184139145217,2019-11-24 03:00:26,b'Tuhan lembutkan hatiku agar mudah tersenyum u/ orang2 yang tdk menyukaiku'
1198421128768872450,2019-11-24 02:00:37,"b'Ya Allah, berikan kami perlindungan yang teduh dan berikan kami kekuatan untuk menghadapi apapun yang merintang'"
1198209839429824517,2019-11-23 12:01:02,b'Hati akan menemukan kedamaiannya saat kita mampu memaafkan'
1198194729927749634,2019-11-23 11:00:59,b'Jangan biarkan hati ini kotor penuh nanah dengan dosa ya Tuhan'
1198179604667736064,2019-11-23 10:00:53,b'berikan aku kemudahan hidup dan rezeki dari jalan yang tak disangka-sangka'
1198164538841092102,2019-11-23 09:01:01,"b'Tuhan, jadikanlah hari ini sbg hari terbaikku dibandingkan hari-hari sebelumnya'"
1198149354302984192,2019-11-23 08:00:41,"b'Tuhan, bimbinglah telinga ini hanya untuk mendengar kebaikan'"
1198134202908237824,2019-11-23 07:00:28,b'lebih baik aku hina d mata dia asal tidak d mataMU TUHAN !'
1198119097667592192,2019-11-23 06:00:27,b'Tuhan berikan rejekiku yang baik hari ini'
1198103986404036608,2019-11-23 05:00:24,b'bantulah aku Tuhan agar bisa memulainya kembali'
1198073821724643328,2019-11-23 03:00:32,"b'beri tahu dia apa yang telah aku rasakan selama ini ke dia,Tuhan'"
1198058781571264514,2019-11-23 02:00:47,"b'kedamaian inilah yang aku inginkan selama ini, makasih Tuhan'"
1197847480102203394,2019-11-22 12:01:08,b'hanya padaMU aku bersujud dan dan berserah'
1197832301192925184,2019-11-22 11:00:49,"b'bantu aku untuk lupakan dia Tuhan,'"
1197817251816181760,2019-11-22 10:01:01,"b'ya Tuhan tenangkan perasaan ini,semoga semua baik2 saja'"
1197802216536649728,2019-11-22 09:01:17,"b'saat ini aku sedang bahagia,terima kasih atas kebahagian yg Engkau berikan'"
1197787027753840640,2019-11-22 08:00:55,"b'maafkan segala kesalahanku Tuhan,aku berjanji tidak akan mengulanginya lagi'"
1197771907514478592,2019-11-22 07:00:50,"b""Tuhan jadikanlah orang tuaku sebagai orang yang beruntung karena telah memilikiku :')"""
1197756742005927936,2019-11-22 06:00:35,"b'Berikan kesehatan bagi kedua orang tuaku Tuhan, karna berkat mereka aku bisa sampai sebesar ini'"
1197741618280964096,2019-11-22 05:00:29,"b'Ya Allah, jangan Kau berikan kami cobaan yang begitu berat sehingga kami merasa tak kuasa untuk memikulnya'"
1197711453052186625,2019-11-22 03:00:37,b'semoga Engkau selalu memberikan rahmatMU u/ kedua orang tuaku'
1197696423510335489,2019-11-22 02:00:54,b'ya Tuhan lindungilah dia yang akan menjadi pendamping hidup aku'
1197485055771328512,2019-11-21 12:01:00,"b'Tuhan dia tlah menyakitiku,hukum dia u/ lebih mencintaiku'"
1197469901369364482,2019-11-21 11:00:47,"b'hanya padaMU aku memohon,hilangkan dia dari ngatanku'"
1197454772330287104,2019-11-21 10:00:40,b'berikan hamba kebaikan agar selalu ada di jalanMU'
1197439749356752896,2019-11-21 09:00:58,b'gak ada yg lain selain Engkau yg aku puja Tuhanku'
1197424669231595520,2019-11-21 08:01:02,b'Tuhan.. Usaplah air mataku'
1197409506558386177,2019-11-21 07:00:47,b'tuhan ajarkan aku caranya bersabar'
1197394347278376963,2019-11-21 06:00:33,b'berikan yang terbaik untukku Tuhan'
1197379243250003968,2019-11-21 05:00:32,b'aku yakin Engkau akan selalu menjagaku'
1197349059067072512,2019-11-21 03:00:36,b'maafkan dia yang telah menyakitiku Tuhan'
1197334019127595008,2019-11-21 02:00:50,b'akulah saksi akan kebesaranMU Tuhan'
1197122715393626112,2019-11-20 12:01:11,b'tuhan ajarkan aku tersenyum dalam tangisku'
1197107492301541376,2019-11-20 11:00:42,b'aku hanya ingin dia membuka hatinya untuku Tuhan'
1197092368966725632,2019-11-20 10:00:36,"b'kembalikan dia kepada hamba Tuhan,hamba sangat menyayanginya'"
1197077274882916352,2019-11-20 09:00:37,"b'kebahagiaanku semata-mata atas izinMu,trima kasih atas kbaikanMU'"
1197062140877824000,2019-11-20 08:00:29,"b'Maha Mengetahui,Maha Mendengar,aku telah meyakinisifatMU itu Tuhan'"
1197047107439546368,2019-11-20 07:00:45,"b'Ya Allah, kabulkan setiap desis kata permohonan doa yang terucap pada lisan'"
1197031951854641152,2019-11-20 06:00:31,"b'aku biarkan dia pergi,aku yakin Engkau akan memberikan penggantinya yg lebih baik'"
1197016848707072005,2019-11-20 05:00:30,"b'tuhan,aku hanya meminta agar aku bisa jadi alasan untuknya tersenyum dan merasa bahagia hari ini'"
1196986676033327104,2019-11-20 03:00:37,"b'mereka telah merawatku sejak aku kecil sampai aku sekarang seperti ini,berikan kebahagian untuk orangtuaku'"
