id,created_at,text
1199775642654363648,2019-11-27 19:42:58,"b'kerja keras adalah hukuman bagi orang-orang yang ingin naik setingkat dari dataran. jika tak mampu berdiri di atas kakimu sendiri. tak usah banyak menabung mimpi. ingat, camkan kalimat ini dan tanamkan dalam kepalamu. setiap lelah dan malas datang, baca lagi berulang-ulang.'"
1199772628900143104,2019-11-27 19:31:00,b'Jikalau hanya menjadi benalu. Mengganggu dan membebanimu. Tinggalkan dan lupakan. Waktu terlalu singkat untuk dihabiskan dengan adegan-adegan tak berguna itu.'
1199770195524378624,2019-11-27 19:21:19,b'Setiap orang hadir di panggung mereka dengan hal-hal yang tak selalu mereka ceritakan \xe2\x80\x94pahit-pahitnya lebih sering tersimpan. Jangan menumpang suara \xe2\x80\x94apalagi memaksa\xe2\x80\x94 saat dia di sana untuk menyebut namamu. Kecuali ia mau dan seharusnya pun kau tak terima sorak begitu.'
1199769061594259456,2019-11-27 19:16:49,"b'Tolong bilang sama diri sendiri; kerja keras, jangan meminta orang lain menanggung tanggungjawabmu \xe2\x80\x94kecuali kau bisa membayar harga yang setimpal. Jika berharap orang lain mewujudkan impianmu karena memang bukan tugas mereka. Kamu perlengkapan tubuh dan otak buat berpikir.'"
1199747996100857856,2019-11-27 17:53:07,b'kamu punya rencana apa buat tahun depan?'
1199747539588661249,2019-11-27 17:51:18,"b'tahun depan. niat nerbitin dua buku; satu dengan nuansa gelap banget, satu lagi dengan nuansa manis meleleh. konsepnya masih di kepala. belum dieksekusi. semoga nggak cuma wacana.'"
1199744664456220673,2019-11-27 17:39:52,b'@ilham_atma Udah pernah. Saya ternak lele di kampus malahan. https://t.co/dvR7IudFbT'
1199743074794004481,2019-11-27 17:33:33,b'@keyzavan Udah pernah.'
1199741915698061312,2019-11-27 17:28:57,b'tapi mertua saya pengin saya segera menyelesaikan kuliah; dia pengin saya wisuda. :))'
1199741434242322432,2019-11-27 17:27:02,b'tapi saya berdoa semoga adik saya dan calon dia  lulus cpns tahun ini; karena itu impian dia.'
1199740510761443329,2019-11-27 17:23:22,b'alasan enggak ikut test cpns; teman saya yang lulus cpns tahun lalu saja sudah bilang mau resign.'
1199739386406981632,2019-11-27 17:18:54,b'alasan enggak ikut test cpns; mertua saya tidak menyarankan ikut test cpns.'
