id,created_at,text
1199878966233796608,2019-11-28 02:33:32,b'@pujisopy Injih ndoro. Matur nuwun. Panjenengan di banjarnegara? Tolong bisa bantu kami utk percepatan akses. https://t.co/Ub58nMwwTs'
1199877179615506433,2019-11-28 02:26:26,b'RT @KodamIV: Satgas Yonif 406/CK Berikan Pembinaan Pendidikan di Perbatasan\nhttps://t.co/vwCvrSuV0s https://t.co/RfGAAsygt9'
1199877124003287041,2019-11-28 02:26:13,b'Kamu hebat! https://t.co/TLmoUDzutG'
1199876698503696384,2019-11-28 02:24:32,b'RT @tempodotco: Pengurangan bibit dilakukan dengan cara menarik telur tertunas atau hatching egg (HE) umur 19 hari untuk mendongkrak harga\xe2\x80\xa6'
1199876292440514560,2019-11-28 02:22:55,"b'RT @InfoHumasBMKG: Selamat pagi #SobatBMKG ! Mengawali hari ini, mimin mau kasih info prakiraan cuaca hari ini di kota-kota besar Indonesia\xe2\x80\xa6'"
1199875955998674944,2019-11-28 02:21:35,b'RT @bptj_cilacap: Pemel.Rutin Jalan Jembatan @bptj_cilacap wilayah 2 \nSahabat #JalanCantik #JatengGayeng\n@dpubmckjateng @provjateng @ganjar\xe2\x80\xa6'
1199875942698475520,2019-11-28 02:21:32,b'RT @bptj_cilacap: Pemel.Rutin Jalan Jembatan @bptj_cilacap wilayah 2 \nSahabat #JalanCantik #JatengGayeng\n@dpubmckjateng @provjateng @ganjar\xe2\x80\xa6'
1199875911236997120,2019-11-28 02:21:24,"b'RT @setkabgoid: 2025 Ditargetkan 23%, @KementerianESDM: Penggunaan EBT Untuk Pembangkit Listrik Baru 13%\nhttps://t.co/37X3hY2mfM https://t.\xe2\x80\xa6'"
1199875870413864960,2019-11-28 02:21:14,b'RT @bptj_cilacap: Pemel.Rutin Jalan Jembatan @bptj_cilacap wilayah 2 \nSahabat #JalanCantik #JatengGayeng\n@dpubmckjateng @provjateng @ganjar\xe2\x80\xa6'
1199875772871147520,2019-11-28 02:20:51,b'Semangat bapak/ibu! Jaga NKRI. https://t.co/11zKbygC92'
1199875590720909312,2019-11-28 02:20:08,b'RT @bptj_cilacap: Pemel.Rutin Jalan Jembatan @bptj_cilacap wilayah 2 \nSahabat #JalanCantik #JatengGayeng\n@dpubmckjateng @provjateng @ganjar\xe2\x80\xa6'
1199875563252436992,2019-11-28 02:20:01,b'Aku seneng iki https://t.co/L5kdx8rUx4'
1199875278526271488,2019-11-28 02:18:53,b'Rapikan terus https://t.co/9XpKMrj4eB'
1199875078629933056,2019-11-28 02:18:06,b'Memahami bencana https://t.co/ouUgdYGIQn'
1199874810290921472,2019-11-28 02:17:02,b'RT @DishubTegalKab: Pengamanan LPJU yang roboh diterjang angin kencang di Jl. dr Soetomo tepatnya di depan Pemda Kab Tegal. Selalu berhati-\xe2\x80\xa6'
1199874631953289218,2019-11-28 02:16:19,b'RT @bkdjatengprov: Peserta uji gagasan tertulis JPT Pratama @provjateng mulai melakukan presensi kehadiran #JatengGayeng @a_wdyantoro https\xe2\x80\xa6'
1199874613976526848,2019-11-28 02:16:15,"b'RT @disperkim_smg: Kegiatan cek lokasi hasil Tepra di Taman Bangetayu, Taman Palebon, Taman Wilis dan Taman Gajahmungkur oleh Bapak Kepala\xe2\x80\xa6'"
1199874521215336451,2019-11-28 02:15:53,"b'RT @bpsdmdjtg: ""Mewujudkan Pelayanan Publik Prima"" \n\nPmbljrn 40 Peserta Pelatnis Pelayanan Publik dan Survey Kepuasan Masy (BIP)  olh Kabag\xe2\x80\xa6'"
1199874435425026048,2019-11-28 02:15:32,"b'RT @jokowi: Sebanyak 841 atlet Indonesia akan berlaga di SEA Games XXX di Filipina, 30 November-11 Desember 2019.\nPada Asian Games 2018, In\xe2\x80\xa6'"
1199874407759376384,2019-11-28 02:15:26,"b'Kreatif, makin berdaya https://t.co/pHBYrnEs0D'"
1199873875393175552,2019-11-28 02:13:19,"b'RT @IniMagelangKu: ""Festival Kampung Gunung""\n-Telomoyo Ngangeni- |\nDate: 29 November \xe2\x80\x93 1 Desember 2019\nLoc: Taman Parkir Wisata Gunung Telo\xe2\x80\xa6'"
1199873823148916736,2019-11-28 02:13:06,"b'Sugeng enjang, karaharjan dumateng panjenengan sami. Mana baju adat kawan2 ASN Pemprov Jateng? Selamat melayani warga. Jaga integritas! cc @humasjateng @kominfo_jtg'"
1199873089569349633,2019-11-28 02:10:11,b'Kamu alami itu? Capil mana? https://t.co/QJ68i6Cgrq'
1199872790767136768,2019-11-28 02:09:00,b'Kalau gaji pokok PNS sama bro. Tunjangan kinerja bisa beda. Tertarik? https://t.co/0zQX0qS3lb'
1199872414894690305,2019-11-28 02:07:30,b'@hallokim_ @TRANS7 Wkwkwk...'
1199865190554075137,2019-11-28 01:38:48,"b'RT @TRANS7: Telah hadir di studio #MataNajwa para pejuang CPNS! ""biar jadi menantu idaman dan ngga menganggur?"" #MataNajwaApaEnaknyaJadiPNS\xe2\x80\xa6'"
1199864927273410560,2019-11-28 01:37:45,"b'RT @TRANS7: ""Keluarga pengennya saya jadi PNS, kriteria kesuksesan seseorang itu jadi PNS,\xe2\x80\x9d kata Elvi Tauran, Pelamar CPNS #MataNajwa #Mata\xe2\x80\xa6'"
1199864884730589184,2019-11-28 01:37:35,"b'RT @TRANS7: ""Rasionalisasi birokrasi itu untuk profesionalisme. Orang bekerja dengan fungsi bukan struktur. Orang harus punya fungsi yang j\xe2\x80\xa6'"
1199864853810147329,2019-11-28 01:37:28,"b'RT @TRANS7: ""Pengawasan masyarakat menjadi penting karena yang harus dirapikan bukan PNS saja tapi seluruh aparatur negara harus menjaga am\xe2\x80\xa6'"
1199773829695864832,2019-11-27 19:35:46,b'Monggo ingkang bade sholat...'
1199772946790699008,2019-11-27 19:32:15,b'@herdiman29 Betuuul. Dereng sare bos?'
1199772330404114432,2019-11-27 19:29:48,b'Tidak apa2. Di dunia maya ini semua bebas berpendapat... jangan baper ya... biar hidup ini bahagia https://t.co/hPx0c0e80Y'
1199771175519477762,2019-11-27 19:25:13,b'@UG_Moody @SastroJoyo1 @Ganjar Selalu ada yg berbeda melihat dan itu sah. Termasuk pendapat anda.... selamat pagi'
1199765666514890752,2019-11-27 19:03:20,b'@busan_tium Dunia virtual'
1199765499489292289,2019-11-27 19:02:40,b'@FebriDeHandoko Sabar'
1199765122811486208,2019-11-27 19:01:10,b'@awankdarmawan_ Masak kenalan gak boleh. Siapa tahu dia robot'
1199764929554702337,2019-11-27 19:00:24,b'@Partijon1 Monggo den https://t.co/fbKu4BzSY5'
1199764405140910085,2019-11-27 18:58:19,b'Canggih nggih https://t.co/OmzXljSIN1'
1199764340536049664,2019-11-27 18:58:03,b'@syahrulfauzan23 Kamu main pilm? Jos bro'
1199763991196626944,2019-11-27 18:56:40,b'Dimana den? https://t.co/GcRAA9T1LT'
1199763759587160064,2019-11-27 18:55:45,b'@art_ndonation @marcelafarras Lha yg ngrusak siapa?'
1199763651072122880,2019-11-27 18:55:19,b'@marcelafarras Ikuti  TL nya bro'
1199762273729859584,2019-11-27 18:49:51,b'@DheaMerlinda @aniesbaswedan Sabar... jangan ditiru nanti netizen baper lho... salam utk pak Prabowo'
1199761618747326464,2019-11-27 18:47:15,b'Jos. Mboten ngefans mboten nopo2 kok. Biasa mawon ndoro.. he he. Sing penting iso guyon tur bahagia https://t.co/1n89xMya54'
1199760134957723648,2019-11-27 18:41:21,b'He he.. kulo namung nemu wonten TL panjenengan kok ndoro. Nah njenengan sing blunder kan? https://t.co/0KV1MNTgq1'
1199759678332272640,2019-11-27 18:39:32,b'@UG_Moody @DKIJakarta @aniesbaswedan Syiiiaap bos. Beliau sangat hebat! Saya banyak belajar dr beliau'
1199759004416692226,2019-11-27 18:36:51,b'Dos pundi? Kok sanes kulo? Njenenengan mahasiswa bulaksumur? https://t.co/F3xzgkE2dH'
1199758584424226816,2019-11-27 18:35:11,b'@antarprovinsi Blunder itu kalau akunmu ada ini. Ayo hapus skr! https://t.co/S2xBS4w2Rn'
1199757746024796165,2019-11-27 18:31:51,b'@antarprovinsi Biasa saja mas bro. Lha wong cuma ditanya saja kok jadi bunder... eh blunder'
1199756999027642368,2019-11-27 18:28:53,b'Monggo ndoro... asyiiikkk https://t.co/VSba9H3m2P'
1199756547833774080,2019-11-27 18:27:06,b'Masak sih? Boleh kok ngobrol sama kawan2 DPRD itu https://t.co/eJ4pI8r4Sy'
1199753991015370754,2019-11-27 18:16:56,"b'He he... nyuwun ngapunten ndoro, monggo disimak TL dr obrolan pelapor dg @dpusdatarujtg https://t.co/fRtWWHpj5D'"
1199753385164935168,2019-11-27 18:14:32,b'@uyaboira He he... Sabar mas. Anda juga boleh komen kok'
1199750136710094848,2019-11-27 18:01:37,"b'Tolong @dinkesjateng @Bappeda_Jateng @iptekinjateng @disnakkeswanjtg dibantu. cc @humaskabklaten @YaniSunarno @lipiindonesia @UGMYogyakarta @UndipSemarang @ipbofficial --- Korban Berjatuhan, Ganjar Minta Patroli Sarang Tawon Vespa di Jateng https://t.co/PKKMOlBwFf'"
1199747370256224256,2019-11-27 17:50:37,b'Mboten sah ajrih mbak bos... kulo mboten nyathek. Namung tanglet kok https://t.co/gkzfvmbg5n'
1199746492661035008,2019-11-27 17:47:08,b'@nafilholik Wkwkwk.. Lha wong cuma ditanya asal saja kok nesu. Hi hi...'
1199743058180337664,2019-11-27 17:33:29,b'HBD pak Bupati sehat selalu utk melayani masyarakat https://t.co/d3D5Mr71cU'
1199703775885365251,2019-11-27 14:57:24,b'Sabar... di republik medsos semua merasa bebas apapun. https://t.co/E43OCOjUZl'
1199702215847534593,2019-11-27 14:51:12,"b'RT @TRANS7: ""CPNS ini, kalau tawaran saya, kamu berintegritas atau tidak, kreatif dan inovatif atau tidak. Kalau tidak memenuhi syarat ters\xe2\x80\xa6'"
1199693518244958208,2019-11-27 14:16:38,b'Wuissss... indahnya kata2mu. https://t.co/5bWqlwwCJT'
1199693275004731392,2019-11-27 14:15:40,"b'RT @TRANS7: ""Nyinyirnya publik akan muncul sama, kalau layanannya buruk, maka publik akan marah karena yang menggaji ASN itu mereka. Kalau\xe2\x80\xa6'"
1199693124848644097,2019-11-27 14:15:04,"b'RT @MataNajwa: @ganjarpranowo ""Hari ini kita butuh energi anak muda yang berani memberontak. Kalau kamu kerja di Jawa Tengah pasti kamu gam\xe2\x80\xa6'"
1199693106095878144,2019-11-27 14:15:00,"b'RT @MataNajwa: @ganjarpranowo ""Yang muda-muda ini keluar semua seluruh kemampuannya. Dulu (bersaing) dijitak sama yang tua. Sekarang mereka\xe2\x80\xa6'"
