id,created_at,text
1199568620507955200,2019-11-27 06:00:20,b'RT @therealDiSastr: Gue punya teori: bahwa rasa bangga kita sebagai bangsa Indonesia itu berbanding lurus dengan luas nya wawasan dan penge\xe2\x80\xa6'
1199568398713118720,2019-11-27 05:59:27,"b'RT @awkuamann: Salah satu statement @Anggun_Cipta yg gw suka. ""Seniman yang jujur tidak mencari ketenaran, tapi karena kita tahu bahwa musi\xe2\x80\xa6'"
1170949847182016512,2019-09-09 06:39:33,"b'Selamat ulang tahun Presiden ke 6 bapak @SBYudhoyono, semoga selalu diberi kesehatan dan kekuatan.'"
1164573436972171264,2019-08-22 16:21:58,"b'Ujian dan cobaan dalam hidup, tidak akan pernah berhenti selama kita masih bernafas. \n\nTerima dan jalanilah semuanya dgn berpikir positif dan ikhlas, agar hidup terasa ringan dan lebih menyenangkan utk dijalani tiap hari.'"
1164572961983963136,2019-08-22 16:20:05,b'Cinta tak selamanya menyenangkan dan kerapkali menyakitkan. Kesetiaan akan muncul ketika kita bisa menerima keduanya sebagai resiko dari sebuah pilihan.'
1164572096984313856,2019-08-22 16:16:39,"b'Kesulitan dan kemudahan dalam hidup, keduanya adalah ujian dalam porsinya masing-masing. Berpikir positif dan terbuka, menjadikan keduanya sumber ilmu bagi kita.'"
1164571633790541825,2019-08-22 16:14:48,b'Kita bisa memilah siapa sahabat sejati justru di saat kita berada dalam kesulitan. Bersyukurlah selalu.'
1159306279107457026,2019-08-08 03:32:10,"b'RT @alfiansarumaha: @FikaFik30 @pepatah kayak cabe, biar pedas dan menyakiti, tapi terus dicari dan dinikmati..'"
1159306206583771136,2019-08-08 03:31:53,"b'RT @alfiansarumaha: @96Sriwahyuni @pepatah karena kalo kebanyakan panjang angan, bisa jadi korban panjang tangan'"
1159139111426334720,2019-08-07 16:27:54,"b'Enteng jodoh, jangan enteng dompet.'"
1159138647167291393,2019-08-07 16:26:03,b'RT @bayuhadip09: @pepatah Begal'
1159138641513340928,2019-08-07 16:26:02,"b'RT @temanhari: @pepatah panjang sabar, itu anak Tuhan~'"
1159138183067475973,2019-08-07 16:24:13,"b'Panjang akal, jangan panjang tangan.'"
1159137038899138560,2019-08-07 16:19:40,b'RT @FikaFik30: Guee banget dah \xf0\x9f\x98\x85 https://t.co/39NYLltsXa'
1159137009442553856,2019-08-07 16:19:33,b'RT @EkoSupr53292748: @pepatah Karena ikan \xf0\x9f\x90\x9fsudah terbiasa kuat menjalani proses mengarungi \xf0\x9f\x8f\x8a\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8flaut yg begitu luas dan panjang di samudera\xe2\x80\xa6'
1156620622027350016,2019-07-31 17:40:19,b'RT @pepatah: Kita kerap tak sadar bahwa kita bisa kehilangan banyak hal dengan kebohongan dan bisa mendapatkan banyak hal dengan kejujuran.'
1156620432822247424,2019-07-31 17:39:34,b'RT @yuliamselvy: \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c https://t.co/ClLKYKCp7y'
1156620413067091968,2019-07-31 17:39:30,b'RT @FerianRompis: Banget deh ya kenanya... https://t.co/hB9Fu8UFz8'
1146106872698507264,2019-07-02 17:22:26,"b'Therapi Tesla, Tenaga Ajaib Yang Menyembuhkan https://t.co/9DRQW4rhF7'"
1146106780096745474,2019-07-02 17:22:04,b'Perkasa bersama Majun https://t.co/0sxh0G0LSa'
1146106597094989824,2019-07-02 17:21:21,b'Efek Negatif Begadang Secara Berlebihan https://t.co/ef4uHoXU8S'
1140287021379805191,2019-06-16 15:56:26,b'RT @kekekee_: @pepatah Hi.. mantan'
1140287014287183873,2019-06-16 15:56:24,b'RT @dasarrlemah: @pepatah Mantan kamu belum tentu senikmat mantanku.'
1140287008893362176,2019-06-16 15:56:23,b'RT @Ikhsan03065572: @pepatah Dan sekarang pasanganku berpasangan dengan pasangannya orang lain'
1140286962684710913,2019-06-16 15:56:12,b'RT @wirowiro2013: @pepatah Pesan bagus'
1140286930644422656,2019-06-16 15:56:04,"b'RT @pepatah: Orang pintar akan memilih kejujuran daripada kebohongan. Bagi orang bodoh, itu adalah pilihan mudah yg dipersulit.'"
1140285686475399168,2019-06-16 15:51:07,b'RT @hasmakonyol: @pepatah https://t.co/GJwLU0Ig9C'
1140284855546068992,2019-06-16 15:47:49,b'Tidak perlu terlalu ngotot utk mendapatkan org yg menurut kamu lebih baik dari mantanmu. Perbaiki saja dirimu dan yg terbaik utkmu akan hadir dalam hidupmu.'
1139625330744758272,2019-06-14 20:07:06,b'RT @sallaysally: @nikkoilham kata-kata motivasi dari @pepatah . terus gegalauan yg ldr @LongDistance_R'
1138910942928859137,2019-06-12 20:48:23,"b'Tuhan, maafkan aku krn kurangnya aku bersyukur atas nikmat dariMu. Jgn Kau hukum aku dgn menambah banyak kesulitan dalam hidupku yg tak mampu aku memikulnya. Berikan ujian yg memang aku mampu utk menjalaninya. Terima kasih Tuhan.\n\n#Bismillah'"
1138910245365829632,2019-06-12 20:45:37,b'@weldgoods rai mu beset'
