id,created_at,text
1199870024179015681,2019-11-28 01:58:00,"b'Alhamdulillah rezeki ga kemana, setelah kerja keras bertahun tahun akhirnya saya punya MRT sendiri \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\nhttps://t.co/op6RxTQaO2'"
1199869484573458432,2019-11-28 01:55:52,b'Yha Boleh https://t.co/spFbhX82pM'
1199866768375705600,2019-11-28 01:45:04,b'RT @SwanNaufal: CHAKEPPP https://t.co/YuSdOCHxGD'
1199866069948616704,2019-11-28 01:42:18,"b'RT @yaelahGi: @radenrauf Assalamualaikum.\nPagi pagi makan bubur, cakep.\nBuburnya berantakan, cakep.\n\nPerasaan lama sudah terkubur,\nYang ter\xe2\x80\xa6'"
1199865323890962433,2019-11-28 01:39:20,"b'Pagi pagi makan bubur, cakep.\nBuburnya berantakan, cakep.\n\nKalo ga niat deketin tolong mundur. \nGausah bikin hati gua berantakan.'"
1199865023994068992,2019-11-28 01:38:08,b'RT @bryandnp: @radenrauf pagi pagi makan bubur\nbuburnya berantakan\nyuk kenangan mantan kita kubur\nbiar hidup ga berantakan.\n\napasih \xf0\x9f\x98\x82'
1199863192316342273,2019-11-28 01:30:52,"b'Assalamualaikum.\nPagi pagi makan bubur, cakep.\nBuburnya berantakan, cakep.'"
1199859004408598528,2019-11-28 01:14:13,b'Anak Twitter kenapa lucu lucu banget sik :))) https://t.co/HJ26kLvZdG'
1199744835361497089,2019-11-27 17:40:33,"b'RT @Dindasyv: There is something more important than your number of viewers, it is called humanity.\n#SAYNOTOPRANK https://t.co/SG1Wg9Jsi8'"
1199731173599010816,2019-11-27 16:46:16,b'RT @Ashabil20: #SAYNOTOPRANK https://t.co/YATmbeSX60'
1199731009098371072,2019-11-27 16:45:37,b'RT @ruth_fbrysw: #SAYNOTOPRANK https://t.co/NGntcUAafi'
1199726521004384256,2019-11-27 16:27:47,b'RT @Eko_United48: #SAYNOTOPRANK https://t.co/25PTp1Nv3j'
1199726145639346178,2019-11-27 16:26:17,b'RT @MNighfall: Nah gini i like it #sayNoToPrank https://t.co/0WLLUVefej'
1199725942714748928,2019-11-27 16:25:29,b'RT @adhinugraha_id: Prank ojol is fucking idiot\xf0\x9f\x96\x95\xf0\x9f\x96\x95\xf0\x9f\x96\x95\xf0\x9f\x96\x95\n\n#saynotoprank https://t.co/T4JKC262OH'
