id,created_at,text
1199933751502884864,2019-11-28 06:11:14,b'RT @podcastretropus: Angkat tangan yang mau futsal besok di grand futsal kuningan jam 21.00-23.00 \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbb\n\nKasi tau juga posisi lo apa.'
1199765525422694400,2019-11-27 19:02:46,"b'Tidak sabar untuk volume 51,52 &amp; 53 karena volume 50 nya keren betul https://t.co/RGcNon1rdK'"
1199726168213086209,2019-11-27 16:26:22,"b'Sayang sekali, gue mau ngedit unqualified dulu https://t.co/jBIz3f63do'"
1199725254010011648,2019-11-27 16:22:45,"b'Sabar ya, saya sampe kost dulu'"
1199724620242251776,2019-11-27 16:20:13,"b'RT @wildwestraven: Sabtu ini, jam 3 sore, mari mampir ke Gramedia Matraman dan ikut ngobrol. Ini memang buku lama yang diterbitkan ulang se\xe2\x80\xa6'"
1199720725390585856,2019-11-27 16:04:45,b'@senjatanuklir Yhaa pesan tak terbaca dong nder :('
1199719624763273216,2019-11-27 16:00:22,b'@senjatanuklir Ini yang dikodein main tuiter nga?'
1199718812473413632,2019-11-27 15:57:09,b'@mazzini_giusepe Rispek baang https://t.co/N2KmwkGxMc'
1199713275178442756,2019-11-27 15:35:09,b'Orang Islam juga broo https://t.co/CvJAEzxcIH'
1199712853348864000,2019-11-27 15:33:28,b'@ekiwiratama Siapa tu kipernya? Faaak'
1199707244062896129,2019-11-27 15:11:11,b'Wa kok asique https://t.co/nNQGVjv7kx'
1199704640633262082,2019-11-27 15:00:50,b'@thepopoh @Bijiganja Wkkwkwkwkwkwk bngzd'
1199703991900241921,2019-11-27 14:58:15,b'Goks yanglek bikin selai https://t.co/826AToqoPx'
1199702998932279299,2019-11-27 14:54:19,b'@tahilalats Aq banget dech https://t.co/4dSUOOPJFk'
1199680017908682753,2019-11-27 13:22:59,b'Yang bikin gue happy tuh kalo gue dan atau Pebri dapet sesuatu lu orang pada ikutan happy juga wkwk rispek'
1199679044691775488,2019-11-27 13:19:07,b'Rispek mania https://t.co/joZn6dtp5g'
1199676181936652288,2019-11-27 13:07:45,"b'Selain ngobrol sama Cecel, gue juga ngobrol sama @pardedereza dan @TretanMuslim di backstage dengan banyak persepsi dan opini, tapi ternyata sangat menyenangkan. Thanks sudah mampir ke acara @asumsico !'"
1199673831356387328,2019-11-27 12:58:24,b'RT @MARCHELLAFP: @rndy11 Malam Ren \xf0\x9f\x98\x82'
1199673815833309185,2019-11-27 12:58:21,b'Minggir lo semua! Timeline punya gue malam ini \xf0\x9f\x98\x82 https://t.co/Is14Xu8kM2'
1199672514772783104,2019-11-27 12:53:11,"b'RT @podcastretropus: Tuker Pebri sama Cecel kayanya kaga ada yang marah dah, ketawanya juga lucu kok dia https://t.co/tkAawbosra'"
1199657012398702593,2019-11-27 11:51:34,"b'RT @asumsico: Baru saja selesai #BERGUNJING bareng @rndy11, @adjisdoaibu, dan @MARCHELLAFP di #AsumsiLive bersama #BubaranKantor dengan @Ja\xe2\x80\xa6'"
1199657002852466689,2019-11-27 11:51:32,b'RT @asumsico: Saat ini #BERGUNJING bersama @rndy11 dan @adjisdoaibu ditemenin sama @MARCHELLAFP dalam acara #AsumsiLive bareng #BubaranKant\xe2\x80\xa6'
1199654529567838213,2019-11-27 11:41:43,b'Disuruh tag tadi hehe'
1199654311669555202,2019-11-27 11:40:51,b'Selamat malam @MARCHELLAFP :) https://t.co/0Ne171k4SQ'
1199627211742928896,2019-11-27 09:53:09,"b'RT @asumsico: Buat kalian yang ada di sekitar Synergy Lounge, Kementerian BUMN, Medan Merdeka Selatan, yuk ketemu @pangeransiahaan bareng @\xe2\x80\xa6'"
1199623243402858496,2019-11-27 09:37:23,b'Takiis! Ga perlu undangan https://t.co/NReKVVCFa4'
1199563750954528768,2019-11-27 05:40:59,b'Ingin mengusulkan lomba untuk SEA GAMES: lomba naik NMax dengan papan iklan di belakang motornya'
1199535769330675712,2019-11-27 03:49:48,b'Kemaren itu pulang ke kosan bawa sepatu di tote bag. Pas pagi bangun tote bagnya ga ada. Hilang sudah sepatu awak'
1199534385923420160,2019-11-27 03:44:18,b'@Gustika oiya Retropus juga naik malam ini.'
1199534219027836928,2019-11-27 03:43:38,b'nonton partnerku di Podcast Unqualified yang episode barunya akan tayang malam hari ini ketika jadi speaker di TedxUNDIP @Gustika \n\nhttps://t.co/zNQb7p4dEZ'
1199522601606889473,2019-11-27 02:57:28,"b'Harusnya udah ya, tapi gue bukan bagian itu jadi gabisa jawab dengan pasti, coba dm jasindonya deh https://t.co/JyFc8Ju0Dx'"
1199500862063689728,2019-11-27 01:31:05,"b'Nah ini, kalo butuh ya hubungannya profesional aja https://t.co/J76dLF1QKn'"
1199497646081101825,2019-11-27 01:18:19,b'Manusia tidak bisa hidup sendiri tidak berlaku untuk Kevin Parker https://t.co/a1rY2c08ep'
1199364263938121729,2019-11-26 16:28:18,b'RT @podcastretropus: Trending no 10 \xf0\x9f\x98\x82\xf0\x9f\x98\x82 good job kengkawan #ReplaceSongTitleWithMasMas https://t.co/i48PR8mEcu'
1199351640412737536,2019-11-26 15:38:08,b'RT @podcastretropus: Silakan dilanjut #ReplaceSongTitleWithMasMas. Besok dibacakan di episode podcast 135'
1199348476913446914,2019-11-26 15:25:34,b'RT @podcastretropus: Mata indah bola mas-mas - Iwan Fals\n\n#ReplaceSongTitleWithMasMas'
1199348471632818177,2019-11-26 15:25:33,b'RT @podcastretropus: Lagu Retropus: Sal Ariyadi - mas mas paling serius'
1199341730241208326,2019-11-26 14:58:45,b'Kalo lelah di dunia kreatif boleh coba jadi PNS nich. Ez lah https://t.co/UROw9MMPdl'
1199337848161226752,2019-11-26 14:43:20,"b'Kayanya udah gabisa daftar sih, tapi pokoknya begini yaa https://t.co/p7iqZMHW2l'"
1199336878199070721,2019-11-26 14:39:29,b'Selamat Malam Marchella FP :) https://t.co/2vj2GZH0d6'
1199309653747699713,2019-11-26 12:51:18,b'Aq 2019: https://t.co/fEyUDCks6k'
1199274741015564289,2019-11-26 10:32:34,b'Kantor baru dapurnya cakep banget kaya di tipi https://t.co/I37EejgFHX'
1199256194696638465,2019-11-26 09:18:52,b'Yaah sedih sekali. Sampai jumpa di event yang lain kalo gitu https://t.co/MGkazkynuz'
1199255849958400000,2019-11-26 09:17:30,b'Minggu depan aja bikin masalahnya'
1199255760242298882,2019-11-26 09:17:08,"b'@coldrebellion Tidak memberikan ruang dan waktu untuk pangeran, mingguan'"
1199255404959518722,2019-11-26 09:15:44,"b'Udah udah, jangan bikin masalah lagi minggu ini, bergunjing udah punya cukup materi'"
1199250432691855360,2019-11-26 08:55:58,b'Di kantor Asumsi yang baru ada free flow es grim. Mantep'
1199228570414940160,2019-11-26 07:29:06,b'dengarkan @podcastretropus untuk tips-tips berguna semacam ini https://t.co/BpqU8KOWo9'
1199228292080926720,2019-11-26 07:28:00,"b'gabisa banget ini salah di twitter, ngelike bokep jadi trending topic boshhh'"
1199197702816317440,2019-11-26 05:26:27,b'Agnez Mo orang bumiayu'
1199181551843414016,2019-11-26 04:22:16,b'Fake taxi in real life https://t.co/XO6lXEpfFu'
1199180261918793728,2019-11-26 04:17:08,"b'Lagi naik go-box, sopirnya cerita ada istilah STM di daerah rumahnya. Sabu Tuker Me*mek \xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
1199156997272137728,2019-11-26 02:44:42,b'Oh ternyata ada. Suudzon saya https://t.co/7AfsNm2HcW'
1199156266448220160,2019-11-26 02:41:47,b'@qonitaghina You too! https://t.co/ynC9LiIFuO'
1199154969984684032,2019-11-26 02:36:38,b'Tar di depan ga ada apa-apa nih. Yakin gue https://t.co/g6OANinHMY'
1199072786842435584,2019-11-25 21:10:04,"b'Azan subuhnya udah kelar, tidurnya belum mulai \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb'"
1199026227664678913,2019-11-25 18:05:04,b'Bergunjing sama Pingin siaran dipisahin di asumsi live supaya ga ada keributan berlebih di panggung \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/oGwQbge7o5'
1199025504533114884,2019-11-25 18:02:11,b'Yang gini ini nig https://t.co/SxudwlKto1'
1199021896987078658,2019-11-25 17:47:51,"b'@enolandreas Di tokopedia ada, 5jutaan. Belom ngecek toko di luaran sana nih'"
1199009940678959106,2019-11-25 17:00:21,b'RT @OtakuBoxID: Sebuah live reaction dari @ariyadifebri yang sudah Strong! @podcastretropus https://t.co/tAdlMhuH0X'
1199009684570562560,2019-11-25 16:59:19,"b'@wildwestraven Suka malu kalo mau ikutan main di track, takut ketauan cao bao \xf0\x9f\x98\x82'"
1199007792293535749,2019-11-25 16:51:48,b'@wildwestraven Merk punya ku Chao Bao. Lebih anjlok daripada auldey \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/epBVx0vmOC'
1199003300441415686,2019-11-25 16:33:57,b'RT @KemenBUMN: Hallo warga +62 #SobatBUMN\n\n#AsumsiLive bareng #BubaranKantor dengan Asuransi Jasindo @JasindoID kali ini bakal diadakan Rab\xe2\x80\xa6'
1198993809901670400,2019-11-25 15:56:15,b'Bisa menguasai bola itu bagus tapi yang lebih penting itu lebih banyak ngegolin dibanding lawan https://t.co/2TRPuJkWMF'
1198971299135021058,2019-11-25 14:26:48,b'@ariyadifebri join the clan @OtakuBoxID https://t.co/UZ8Nhp5L9x'
1198945130046087175,2019-11-25 12:42:48,b'Berasa main FM 2009 https://t.co/4gf8T3HxkF'
1198920080156872706,2019-11-25 11:03:16,b'@arumprastya Kok belom cuti?'
1198918163875823616,2019-11-25 10:55:39,b'Uang gue masih banyak dooong https://t.co/b0h1VzuW79'
1198916594220425216,2019-11-25 10:49:25,b'RT @ponakannyaom: tiada tanding tanpa banding https://t.co/J1HIKHhrrG https://t.co/pkYFIsUGDu'
1198915325451849729,2019-11-25 10:44:23,b'@adjisdoaibu Aku di sebrangnya yaa'
1198911093915058176,2019-11-25 10:27:34,b'Minimal ini dulu deh https://t.co/ezKGFXdk3j'
1198909472636190721,2019-11-25 10:21:07,"b'Ok ga @id_fm ? Gue cuma dua seri aja main fmm soalnya, oke kok https://t.co/2V9fUymydP'"
1198908924977528832,2019-11-25 10:18:57,b'Wishlist tahun depan ini ajalah https://t.co/Gr95CWq3qv'
1198907757333581824,2019-11-25 10:14:18,b'@aunrrahman Kalo mau lompat gedung liat-liat di bawah ada mubil kepsek dulu ya \xf0\x9f\x98\x82'
1198907599602642945,2019-11-25 10:13:41,b'Parfum ya? Berapa ni https://t.co/LN0kkKLYEp'
1198907437161435136,2019-11-25 10:13:02,b'Oini juga guru favorit. Walaupun klenik https://t.co/fXRhb5Cnqe'
1198907372594294784,2019-11-25 10:12:46,b'Masih ada tapi tepat 1 januari 2019 udahan haha https://t.co/XQJEDPr9SC'
1198905529042493443,2019-11-25 10:05:27,b'Selamat hari guru! https://t.co/Tc7ZNHDbrH'
1198896950742937602,2019-11-25 09:31:22,b'Kenapa di twitter sering kali ada pertanyaan:\n\nSeriuss??\nYang benerr??\n\nHhh'
1198896734916603904,2019-11-25 09:30:30,b'Boong dong sudah pasti. Hanya fiktif belaka. Saya hanya mengada-ada https://t.co/NgX87GTbKo'
1198896049760260096,2019-11-25 09:27:47,"b'Untuk menghemat pengeluaran, eug naik KRL pulang pergi. Pergi tangan kosong, pulang gotong-gotong komik 20-25kg an. Macam orang pulang kampung. Tapi seminggu dua kali \xf0\x9f\x98\x82'"
1198895417846403072,2019-11-25 09:25:16,"b'Oh ga gini mainnya, belinya komik set https://t.co/pscYV5MaTF'"
1198894769222475776,2019-11-25 09:22:42,"b'Dulu sebulan bisa dapet 15-20 jutaan. Udahannya karena udah bosen aja, terus memilih fokus kerja kantoran supaya bisa diterima oleh calon mertua di kultur budaya timur'"
1198893273424596992,2019-11-25 09:16:45,"b'Lagi dagang komik bekas, beli di pasar senen 3rb perkomik terus dijual di online market place 13-15rb. Cincai betul. Duitnya buat foya-foya https://t.co/HnehAnquTf'"
1198877582633996288,2019-11-25 08:14:24,b'Selamat hari guru dari seorang murid yang tidak punya guru favorit'
1198857214737301504,2019-11-25 06:53:28,b'@fullmoonfolks Hampir ga ada bedanya \xf0\x9f\x99\x85\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1198674139684294656,2019-11-24 18:45:59,b'RT @podcastretropus: Bilas muka\nGosok gigi\nEvaluasi https://t.co/BM7xkKxLhZ'
1198671291676385280,2019-11-24 18:34:40,b'RT @podcastretropus: Fan Man Utd ketika comeback 2-3: YESSS OLE TACTICAL MASTER! GINI HARUSNYA ANAK MUDA MAN UTD YANG MAIN! FIGHTING SPIRIT\xe2\x80\xa6'
1198611578024628224,2019-11-24 14:37:23,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/SL2AQydFnp'
1198591300297056259,2019-11-24 13:16:49,b'Burem amat kaya felem bokep'
1198591163378196481,2019-11-24 13:16:16,b'Ter Stegen brain fart \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/yC4UDymkKq'
1198571025467760640,2019-11-24 11:56:15,b'Minum kopi jangan susah-susah https://t.co/mgZbiltXyg'
1198570876993540099,2019-11-24 11:55:40,"b'Saya kasi kisi-kisi:\n\n1. Makanan pedas berkuah: video 30 menit\n2. Makanan pedas aja: video 20 menit\n3. Cemilan:  video musik Jimi Jazz, karena cuma 1-2 menit doang https://t.co/408Pau1xRM'"
1198569132880351232,2019-11-24 11:48:44,b'Memilih mau order apa di go food bisa lebih lama dibanding makannya'
1198494594972803073,2019-11-24 06:52:33,"b'Main setengah musim, udah 3 pemain mencret-mencret akibat jajan bakso tikus https://t.co/BAZYJ6ewuK'"
1198461910645006337,2019-11-24 04:42:40,b'Mau yang lembut? Makan salmon https://t.co/4SQfRyrsZ5'
1198461790683721728,2019-11-24 04:42:11,b'@irsyadrobaani Minyak jelantah adalah mandatory \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb'
1198317666705887232,2019-11-23 19:09:30,b'Pecel lele yang tidak garing adalah pecel lele yang gagal'
1198239064127721474,2019-11-23 13:57:09,b'Bikin malu https://t.co/z3PVLr9R1q'
1198227619591806978,2019-11-23 13:11:41,b'RT @ponakannyaom: setiap ada orang yang ngomong ke daku :\n\n\xe2\x80\x9cenak lu ye anak orang kaya\xe2\x80\x9d\n\n\xe2\x80\x9clu mah enak orang tua lu tajir\xe2\x80\x9d\n\natau semacamnya\xe2\x80\xa6'
1198222022418911232,2019-11-23 12:49:26,b'Jaket almamater UI merknya Zara toh https://t.co/J2WLfheCUt'
1198203161833422848,2019-11-23 11:34:29,b'Menoeroet loe gimana toeh? https://t.co/8J8uYgPurX'
1198189667067105282,2019-11-23 10:40:52,b'RT @gruusomeflower: Eka Kurniawan tentang privilege stafsus Presiden https://t.co/1MDkxYKwN2'
1198183810837299200,2019-11-23 10:17:36,b'RT @podcastretropus: Yaaa gimana sih kemarin ngeledek sekarang pindah\n\nKalo kata @rndy11 &amp; @ariyadifebri YA KUDUNE KET MAUUU\n\nADA COVER LAG\xe2\x80\xa6'
1198140371529650179,2019-11-23 07:24:59,b'RT @asumsico: Asumsi Live bersama #bubarankantor dengan @JasindoID mengajak 150 pendaftar terpilih untuk berdiskusi dan tertawa bersama sam\xe2\x80\xa6'
1198120905244737536,2019-11-23 06:07:38,b'Bisa menceritakan privilege diri sendiri adalah sebuah privilege'
1198120298362458112,2019-11-23 06:05:13,b'Lahir dari keluarga yang asik adalah sebuah privilege'
1198118557751472128,2019-11-23 05:58:18,b'Sebuah bentuk privilege tak terasa tapi nyata di rumah'
1198118033069207552,2019-11-23 05:56:13,b'Umur udah 27 tapi belum pernah sekali pun beli celana dalam sendiri.'
1198009063377788928,2019-11-22 22:43:13,b'Jakartamu pagi ini https://t.co/1D5N1pDgM4'
1197963514154848256,2019-11-22 19:42:13,"b'Temen gue kecelakaan, jing https://t.co/0bIEn8xi5G'"
1197958111299899393,2019-11-22 19:20:45,b'Tidak ada yang pernah menyenangkan dari menerima telpon dini hari'
