id,created_at,text
1200066787682832386,2019-11-28 14:59:53,b'@lidhiyaJelly Isek nek raono kan... penting koe ono'
1200065508692807681,2019-11-28 14:54:48,b'Sabar... jenenge wong poso mesti ono riyoyone le....'
1198935302863122433,2019-11-25 12:03:46,b'Awake lungkrah'
1198844134326333440,2019-11-25 06:01:29,b'@Gmlstr_ Sik medeni koe'
1198840836256980994,2019-11-25 05:48:23,b'@Gmlstr_ Aku ga punya rai dong'
1198835763309240320,2019-11-25 05:28:13,"b'Mari kita madang lur, madangke ati'"
1198828477077577729,2019-11-25 04:59:16,"b'Srengengene isin isin, koyo koe, ngisin ngisini...'"
1198827833939783680,2019-11-25 04:56:43,"b'@notkhaleessii Iya de, nanti malem ke rumah ya'"
1198586528806535173,2019-11-24 12:57:51,b'@pinnaapino Aku rung madang :('
1198583713962983424,2019-11-24 12:46:40,b'@pinnaapino Akutuh mau berbagi ke info penting ke lainnya'
1198582606771539968,2019-11-24 12:42:16,"b'@pinnaapino Pie sih, koe ki mbok sing konsisten jare mau mbok kon ngono'"
1198575590246215685,2019-11-24 12:14:23,b'@Gmlstr_ Tak kiro nek wis mok jajal'
1198573739085975552,2019-11-24 12:07:02,"b'@Gmlstr_ Kok iso aku, po wis mbok jajal'"
1198570529302564864,2019-11-24 11:54:17,"b'Tak dodolan obat kuat wae po ya, ketok e akeh kaum lemah'"
1198568022119567361,2019-11-24 11:44:19,b'@ernisnt_ Aku sik sore wis di mata mata kan'
1198566889833713664,2019-11-24 11:39:49,b'RT @AmbarwatiRexy: \xe2\x80\x9cPemajangan patung Buddha raksasa ini bagian dari 2019 Tahun Toleransi telah ditetapkan oleh pemerintah UEA. Di awal Mar\xe2\x80\xa6'
1198566855641710593,2019-11-24 11:39:41,"b'RT @FirzaHusain: Apakah kena tipu calo ? \xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\n\nGagal Hadir di Reuni 212, FPI Sebut Rizieq Sudah 3 Kali Beli Tiket Pulang.\n\n https://t.co/Pmv\xe2\x80\xa6'"
1198566747739017218,2019-11-24 11:39:15,b'@ernisnt_ Bgsatan omah doro ne'
1198566659398623232,2019-11-24 11:38:54,"b'@AriAndriani11 Kuat kuatin dong, pendekar kok ehe'"
1198482059347382273,2019-11-24 06:02:44,"b'@YuniDjava Kamu ndak bolo aku, kamu menari diatas penderitaanku :('"
1198481893638856704,2019-11-24 06:02:04,b'@ernisnt_ Hahaha cen bgsat og kamu ukhti'
1198481764500426752,2019-11-24 06:01:34,b'@llasiyah89 Iya pengen... pengen nampolin :('
