id,created_at,text
1198672086987759616,2019-11-24 18:37:50,b'Ki tanggalan e di skip langsung tgl 1 iso ra to ? Wakakaka'
1191903609308319744,2019-11-06 02:22:19,b'@innarianurani Sodiq'
1191766216026677248,2019-11-05 17:16:22,b'|\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3|\n       Wis bobok durung ?    \n|\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf| \n             (\\__/) ||\n             (\xe2\x80\xa2\xe3\x85\x85\xe2\x80\xa2)  ||\n            / \xe3\x80\x80 \xe3\x81\xa5'
1191252382547472384,2019-11-04 07:14:35,b'@NolaSafitri3 Ngomong opo to koe i'
1189953073499668480,2019-10-31 17:11:35,b'@dsyrh_ Ketatap to ? Akwwakwawka'
1189952118792175617,2019-10-31 17:07:48,b'@erikasty_ Mosyok'
1189951835022352384,2019-10-31 17:06:40,b'@asyh_____ Lha opo lho'
1189951154118987777,2019-10-31 17:03:58,"b'Tak up meneh, ki gatekno https://t.co/ZI0J35ViAM'"
1189946838603816962,2019-10-31 16:46:49,b'Nek iseh bingung jal waliken klambimu https://t.co/44gjwCerbA'
1186201743350099968,2019-10-21 08:45:08,b'@richapyl_ @semrawutcok @TedyMaryanto @tweetGoblokmu @Sancaka20 @_tweetsimple @dankgorenk_ @nkmthi_ @Kulinobareng_ @rasahbapersu @CangkemuTeles Nggggg ndasmu dewe'
1185601031725387776,2019-10-19 16:58:08,"b'wes sak mestine, ati iki nelongso. wong sing tak tresnani, mblandhangne sapi. #galaulakndasmu'"
1181600895961747456,2019-10-08 16:03:01,b'Maaakkkkkk.. anduk https://t.co/0UEmwUpufi'
1180574378775306240,2019-10-05 20:04:00,b'@asyh_____ @nadheratsy Wado kok gitu'
1180573766222434304,2019-10-05 20:01:34,b'@moetiaratjahja Ea teh kampul i areng'
1180573344405393408,2019-10-05 19:59:53,b'Halah~~'
1175635203265445889,2019-09-22 04:57:29,b'@asyh_____ Lha mau piercing di idung apa di solo ?'
1175634038565920769,2019-09-22 04:52:51,b'Ra kuat yo di becakne https://t.co/kNOFy0C6bV'
1175633757631434752,2019-09-22 04:51:44,b'Pie ki ? Lagi usum opo ? Wakakaka #galaulakndasmu!'
1159458965878521858,2019-08-08 13:38:53,b'Nek muni ora ngeksis ora pansos tapi kenyataane?? HAHAHA lereno #GalauLakNdasmu'
1158781064292130816,2019-08-06 16:45:09,b'RT @sentroek008: \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n@Kulinobareng_ \n@BNdasmu \n@nksthi \n@WonogiriKeras \n@_Ambyar \n@JombloKemaki \n@nganukunganumu \n@Sukoharjo_Keras \n@Ga\xe2\x80\xa6'
