id,created_at,text
1200338185714143233,2019-11-29 08:58:19,b'Kang @jvwikipedia nek ngene iki piye? Kok aku rodo samar iki.. \xf0\x9f\x98\x82 https://t.co/9Me5ZJIsbV'
1200308623852785664,2019-11-29 07:00:51,"b'Sampun dangu kawula boten semerep panjenengan, panjenengan wonten pundi? https://t.co/oYvJhpFxly'"
1200294541909057536,2019-11-29 06:04:53,b'@ifakhriamrullah @alfamart @PontaID Yakali alfamart ngasih. \xf0\x9f\x98\x82'
1200289291227713536,2019-11-29 05:44:01,b'@ifakhriamrullah @alfamart @PontaID Loh apa salahe? \xf0\x9f\x98\x82'
1200288974025023488,2019-11-29 05:42:46,b'@alfamart @ifakhriamrullah @PontaID Bagi bagi alfagift dong min.. Wkwk'
1200275500498735110,2019-11-29 04:49:14,"b'Nglirik twetmu? Twetmu isine mung ritwitan GA kok, mugo mugo seko salah sijine ono sing entuk ya nduk. \xf0\x9f\x98\x82 https://t.co/UsnT6y3iat'"
1200074962125541379,2019-11-28 15:32:21,"b'@HKBP_GL Astagaaa.. Hambok kamu bilang sama gus e dulu, boleh nggak baptis kaya gitu..'"
1200073696494309376,2019-11-28 15:27:20,b'@HKBP_GL Iya om siap \xf0\x9f\x98\x9c\xf0\x9f\x98\x9c\xf0\x9f\x98\x9c'
1200073281556008961,2019-11-28 15:25:41,"b'@HKBP_GL Makasih om batak, kene privat basa jawa'"
1200069720457633797,2019-11-28 15:11:32,b'@PadangJoy Hambok jajal keanggotaane di klik..'
1200069116133904385,2019-11-28 15:09:08,b'@IramaLucu @KaumBumiLucu Anjir jujur banget ini bang rhoma'
1200064639104512002,2019-11-28 14:51:20,b'@KaumBumiLucu Iye buat ponakan.. Anjiir.. Santai.. Kan pake app buat GA cuk bum.. \xf0\x9f\x98\x87'
1200062123310600192,2019-11-28 14:41:20,b'@KaumBumiLucu Siyap kang bum.. Dinteni GA ne'
1200042294025441280,2019-11-28 13:22:33,b'@gadispiluu Ha sopo ngerti.. Kan kowe sing akon.. Wkwk'
1200041663453790208,2019-11-28 13:20:02,"b'@gadispiluu Kon do gawe alfagift, ngewangi aku.. \xf0\x9f\x98\x82'"
1200041603382956032,2019-11-28 13:19:48,b'@gadispiluu Aku wis mudeng.. Wkwk'
1200041025542053888,2019-11-28 13:17:30,b'@gadispiluu Muridmu kan akeh.. Wkwk.. Langsung lah sesuk..'
1200032096435093506,2019-11-28 12:42:01,b'@gadispiluu Nek aku meh aweh langsung tak wehke kowe. Eh rpp ding nek meh melu.. Sansss'
1200031234174287873,2019-11-28 12:38:36,b'@gadispiluu Raoleh! Kowe kan!!!'
1200030037346381824,2019-11-28 12:33:51,b'@Lucky_people01 Syarate syarate..'
1200029962293530630,2019-11-28 12:33:33,"b'@KonghucuGL Rausah di pahami koh, di RT wae.. Wkwk..\xf0\x9f\x98\x98'"
1200027287736868866,2019-11-28 12:22:55,b'@AlvinunNuha Yoyoi.. Dinteni wae..'
1200025012238897157,2019-11-28 12:13:52,"b'Yak tak buka, GA pulsa 100k dinggo wong 2 sing bejo, syarate gawe alfagift wae, soale aku kon ngrewangi ponakanku, sing mau wis ngirim santai wae, wis ke etung nang draf. Suwun lur, jo lali RT.'"
1200016750370160641,2019-11-28 11:41:03,b'@syafiq_boban Yoyoi.. Ditunggu wae.. Sopo ngerti koe sing menang..'
1200016527828799488,2019-11-28 11:40:10,b'@febri_nnd Smartfren? Emange rano kertu lio?'
1200016233132748801,2019-11-28 11:38:59,"b'@syafiq_boban Sing koyo liane wae, sing koyo aku ss kae..'"
1200016028870144001,2019-11-28 11:38:11,b'@febri_nnd Ra mashok.'
1200007448989294592,2019-11-28 11:04:05,b'Ss alfagift tambahne nang kolom komentar\nSing ngene iki. Suwun. \xf0\x9f\x98\x87 https://t.co/CbmTLa6ldy'
1200006422307622912,2019-11-28 11:00:00,"b'Aku meh nganakke give away pulsa 100k dinggo wong 2 sing bejo, syarate ra perlu rt, ra perlu like, tulungi aku wae gawe alfagift. Sing sopo wonge bejo bakal ulih. Bonus folbek looh.. \xf0\x9f\x98\x87'"
1200002385105453058,2019-11-28 10:43:58,b'Nek aku ngadakke GA do gelem ra?'
1199968368289177602,2019-11-28 08:28:47,b'Mleding ki opo? \xf0\x9f\x98\x82 https://t.co/v0WmmSv3nr'
1199962429490257920,2019-11-28 08:05:12,b'@belindch Siap dok.. Terimakasih..'
1199960512814931968,2019-11-28 07:57:35,"b'@belindch Nggausah pake kartu ponta gpp, langsung pake nomer hp aja dok..'"
1199957816980602880,2019-11-28 07:46:52,"b'Lha iyo to, verb kan nang mburi sedangkan inggris wae ""ing"" Nang ngarep, kui verb po awalan? \nLha wong jowo? Ngarani verb kui wis kit jaman aku rung lahir, seko kata ""pahing, kuning, pring, guling-guling"" \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/nuRnRsgDxN'"
1199945998681833472,2019-11-28 06:59:54,b'Hawong inggris ki niru awakdewe kok.. https://t.co/DLe0yHJLcv'
1199693405795696640,2019-11-27 14:16:11,b'@itsokfck Mizuho!'
1199692448349351937,2019-11-27 14:12:23,b'Jiaaaancooook!!! Gedhene malah gatheli ngene iki !! Cok cok! https://t.co/mXPc3iXBB7'
1199676330691837952,2019-11-27 13:08:20,b'@eli_rujito Ko tak folbek tenan.'
1199671069822476288,2019-11-27 12:47:26,b'@belindch Sering terjadi \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1199668625600172032,2019-11-27 12:37:43,"b'@pudjaumarta Sing penting kementhus sik, tapi tetep eling andhap ashor, lan tata krama, sopan santuning marang tiang sepah. \xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
1199668007691116544,2019-11-27 12:35:16,"b'@DhayuSadamSP Padakke, kowe ki lanang e..'"
1199667195120238593,2019-11-27 12:32:02,b'@DhayuSadamSP Kok ra sudi akuuuu \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
1199667094633140224,2019-11-27 12:31:38,b'@pudjaumarta Yawis nek salah berarti ora bener. \xf0\x9f\x98\x82'
1199666713630871553,2019-11-27 12:30:07,b'@pudjaumarta Aku ngepasne kowe nang'
1199666577504755718,2019-11-27 12:29:35,b'@DhayuSadamSP Sambat blas raono perhatian \xf0\x9f\x98\x85'
1199666445723947008,2019-11-27 12:29:04,"b'@pudjaumarta Woo yo ora, iki koe kosan dewe? \xf0\x9f\x98\x82'"
1199665279401246723,2019-11-27 12:24:25,b'@pudjaumarta Ha mung kowe kok..'
1199664911975976960,2019-11-27 12:22:58,"b'@DhayuSadamSP Nyapu sik, jadwalmu piket kan?'"
1199664503668871168,2019-11-27 12:21:21,"b'@Izzeeeett Halah halah, hambok paham sih..'"
1199649494641459206,2019-11-27 11:21:42,b'@pudjaumarta Kowe nek juguran nang warung belah kidul prapatan kae kaaan..'
1199649401188208640,2019-11-27 11:21:20,b'@ammapradipta1 Siap siap!!'
1199649226046595072,2019-11-27 11:20:38,"b'@Widiastuti_3101 Leres niku, ameh podo emang..\xf0\x9f\x98\x8a'"
1199649017472270336,2019-11-27 11:19:48,b'@pudjaumarta Aku ki paham seko peraenanmu \xf0\x9f\xa4\xa3'
1199648649178779648,2019-11-27 11:18:21,"b'@pudjaumarta Sinau makane, ra mung akon uwong kon garapne skripsi. \xf0\x9f\x98\x82'"
1199648395175981056,2019-11-27 11:17:20,b'@ammapradipta1 Leres sanget \xe2\x98\xba'
1199648304293761026,2019-11-27 11:16:58,b'@diancaksono58 Gawe alfagift sik yaa.. Ko tak follow..'
1199648170789097474,2019-11-27 11:16:26,b'@AlvinunNuha Jancuk! \xf0\x9f\x98\x82'
1199643392432455680,2019-11-27 10:57:27,b'@febrirtnopalupi Alhamdulillah nek ngono..'
1199643337977843714,2019-11-27 10:57:14,b'@WongKang6 @ganjarpranowo Rausah njaluk folbek. Aku ki males.'
1199643185368068096,2019-11-27 10:56:38,b'@eddywae165 Pikiran apa pikiriiin?'
1199643019546365953,2019-11-27 10:55:58,b'@WongKang6 @ganjarpranowo Sing penting koe iseh urip wae..heuheu'
1199642907063377920,2019-11-27 10:55:31,b'@ammapradipta1 Hilih..'
1199642416245960704,2019-11-27 10:53:34,b'@WongKang6 @ganjarpranowo Ha jane kang apa yu? \xf0\x9f\x98\x85'
1199641967522566144,2019-11-27 10:51:47,"b'Ing endi dununge pemarem lan katentreman? Saking angele mapanake rasa, nganti meh ora ana wong kang bisa rumangsa marem lan tentrem uripe. Mula kita kudu tlaten ngalah budi. Dhahana rasa meri lan drengki, amrih gorehing pikir bisa tansah sumingkir.\nHayo ana sing paham? \xf0\x9f\x98\x87'"
1199639862548164615,2019-11-27 10:43:26,"b'@AlvinunNuha Koe kaaaaan, seh jomblo?\xf0\x9f\x98\x82\xf0\x9f\x98\x87'"
1199639778100011008,2019-11-27 10:43:05,b'@AlvinunNuha Nah ikuuu.. Matur sinembah nuwun kang..\xf0\x9f\x98\x8d'
1199639401652867072,2019-11-27 10:41:36,b'@mengandungrindu @ganjarpranowo Ha aku ra takon.. \xf0\x9f\x98\x82'
1199639295448899584,2019-11-27 10:41:10,b'@WongKang6 @ganjarpranowo Opo aku gelem? Aku kan mung ngandani kang..'
1199639087151403010,2019-11-27 10:40:21,"b'@AlvinunNuha Sing nggon keanggotaaan cuk, koyo sing ngisor ngisor kae..'"
1199634452596396033,2019-11-27 10:21:56,b'@ArieskaNaomi Semangaaaat!!'
1199634042729025537,2019-11-27 10:20:18,b'@Lord__Khaikem @FerryIsmanto27 Ha kene tak ajar i aku! Wkwk\xf0\x9f\x98\x9c'
