id,created_at,text
1200803300670500864,2019-11-30 15:46:31,"b'Ajining diri dumunung ana ing lathi, ajining raga ana ing busana.'"
1200788205248729088,2019-11-30 14:46:32,"b'Pengeran bisa ngrusak kahanan kang wis ora diperlokake, lan bisa gawe kahanan anyar kang diperlokake.'"
1200780658429181958,2019-11-30 14:16:33,"b'Owah gingsiring kahanan iku saka karsaning pengeran, kang murbeng jagad.'"
1200773104378605569,2019-11-30 13:46:32,"b'Ora ana kasekten sing madhani pepesthen, awit pepesthen iku wis ora ana sing bisa murunggake.'"
1200765572570468353,2019-11-30 13:16:36,"b'Ngono ya ngono, ning aja ngono.'"
1200758006050250754,2019-11-30 12:46:32,b'Nabok nyilih tangan.'
1200750459390021633,2019-11-30 12:16:33,b'Mimi lan mintuno.'
1200742902256652290,2019-11-30 11:46:31,"b'Mikul dhuwur, mendhem jero.'"
1200735384763650049,2019-11-30 11:16:38,b'Manunggaling kawula gusti.'
1200727802707709952,2019-11-30 10:46:31,b'Mangan ora mangan ngumpul.'
1200720265245687809,2019-11-30 10:16:34,"b'Lelembut iku ana rong warna, yakuwi kang nyilakani lan kang mitulungi.'"
1200712709664206849,2019-11-30 09:46:32,"b'Lamun sira durung wikan alamira pribadi, mara takona marang wong kang wus wikan.'"
1200705173363937280,2019-11-30 09:16:36,b'Ketemu Gusti iku lamun sira tansah eling.'
1200697603731546112,2019-11-30 08:46:31,b'Kebo nusu gudel.'
1200690059134898176,2019-11-30 08:16:32,"b'Kakehan gludhug, kurang udan.'"
1200682505545760769,2019-11-30 07:46:31,"b'Kahanan donya ora langgeng, mula aja ngegungke kesugihan lan drajat ira, awit samangsa ana wolak-walik ing jaman ora ngisin-isini.'"
1200674974094090241,2019-11-30 07:16:35,"b'Kadang ira pribadi ora beda karo jeneng sira pribadi, gelem nyambut gawe.'"
1200667405954891776,2019-11-30 06:46:31,b'Jaman iku owah gingsir.'
1200659862729809921,2019-11-30 06:16:33,"b'Ing ngarsa sung tuladha, ing madya mangun karsa, tut wuri andayani.'"
1200652303805509632,2019-11-30 05:46:30,"b'Iro yudho, wicaksono.'"
1200644773058469889,2019-11-30 05:16:35,"b'Gusti iku sambaten naliko sira lagi nandhang kasangsaran, pujinen yen sira lagi nampa kanungrahaning Gusti.'"
1200637210111856640,2019-11-30 04:46:32,"b'Ing donyo iki ono rong werno sing diarani bener, yokuwi bener mungguhi pengeran lan bener soko kang lagi kuwoso.'"
1200629664412127232,2019-11-30 04:16:33,"b'Gusti iku dumunung ana atining manungsa kang becik, mulo iku diarani Gusti iku bagusing ati.'"
1200622107391954944,2019-11-30 03:46:31,b'Gusti Alloh ora sare.'
1200614577651601410,2019-11-30 03:16:36,"b'Guru sejati bisa nuduhake endi lelembut, sing mitulungi lan endi sing nyilakani.'"
1200607010032513029,2019-11-30 02:46:32,"b'Gupak pulut, ora mangan nangkane.'"
1200599463464554496,2019-11-30 02:16:32,"b'Dumadining sira iku, lantaran anane bapa biyung ira.'"
1200591910701658113,2019-11-30 01:46:32,"b'Diwehi ati, ngrogoh rempela.'"
1200584378281148416,2019-11-30 01:16:36,"b'Diobong gak kobong, disiram gak teles.'"
1200576817674895360,2019-11-30 00:46:33,"b'Dhuwur wekasane, endhek wiwitane.'"
1200569264928784385,2019-11-30 00:16:32,"b'Dhemit ora ndulit, setan ora doyan.'"
1200561710806863872,2019-11-29 23:46:31,b'Crah agawe bubrah.'
1200554187202813952,2019-11-29 23:16:38,b'Cakra manggilingan.'
1200546608166735872,2019-11-29 22:46:31,"b'Bibit, bebet, bobot.'"
1200539062072827904,2019-11-29 22:16:31,"b'Abot podo dipikul, enteng podo dijinjing.'"
1200531506885562368,2019-11-29 21:46:30,"b'Bener kang asale saka pengeran, iku lamun ora darbe sipat angkara murka, lan seneng gawe sangsaraning liyan.'"
1200523964432277505,2019-11-29 21:16:32,"b'Beda-beda, pandumaning dumadi.'"
1200516408817307648,2019-11-29 20:46:31,"b'Becik ketitik, ala ketara.'"
1200508866351337473,2019-11-29 20:16:32,"b'Asu gedhe, menang kerahe.'"
1200501310543450112,2019-11-29 19:46:31,"b'Anak polah, bapa kepradah.'"
1200493801933955072,2019-11-29 19:16:41,"b'Alon-alon, waton kelakon.'"
1200486207211229184,2019-11-29 18:46:30,"b'Ala lan becik iku gandhengane, kabeh kuwi saka karsaning pengeran.'"
1200478662748827650,2019-11-29 18:16:31,"b'Ajining diri dumunung ana ing lathi, ajining raga ana ing busana.'"
1200463566064635904,2019-11-29 17:16:32,"b'Pengeran bisa ngrusak kahanan kang wis ora diperlokake, lan bisa gawe kahanan anyar kang diperlokake.'"
1200456011372351488,2019-11-29 16:46:31,"b'Owah gingsiring kahanan iku saka karsaning pengeran, kang murbeng jagad.'"
1200448462929547266,2019-11-29 16:16:31,"b'Ora ana kasekten sing madhani pepesthen, awit pepesthen iku wis ora ana sing bisa murunggake.'"
1200440913480151041,2019-11-29 15:46:31,"b'Ngono ya ngono, ning aja ngono.'"
1200433372385792000,2019-11-29 15:16:33,b'Nabok nyilih tangan.'
1200425815734808577,2019-11-29 14:46:31,b'Mimi lan mintuno.'
1200418267866644480,2019-11-29 14:16:32,"b'Mikul dhuwur, mendhem jero.'"
1200410711530164225,2019-11-29 13:46:30,b'Manunggaling kawula gusti.'
1200403186126688256,2019-11-29 13:16:36,b'Mangan ora mangan ngumpul.'
1200395614749511681,2019-11-29 12:46:31,"b'Lelembut iku ana rong warna, yakuwi kang nyilakani lan kang mitulungi.'"
1200388069708288000,2019-11-29 12:16:32,"b'Lamun sira durung wikan alamira pribadi, mara takona marang wong kang wus wikan.'"
1200380514084900864,2019-11-29 11:46:31,b'Ketemu Gusti iku lamun sira tansah eling.'
1200372991898447873,2019-11-29 11:16:37,b'Kebo nusu gudel.'
1200365415295119360,2019-11-29 10:46:31,"b'Kakehan gludhug, kurang udan.'"
1200357878277689350,2019-11-29 10:16:34,"b'Kahanan donya ora langgeng, mula aja ngegungke kesugihan lan drajat ira, awit samangsa ana wolak-walik ing jaman ora ngisin-isini.'"
1200350314974441472,2019-11-29 09:46:31,"b'Kadang ira pribadi ora beda karo jeneng sira pribadi, gelem nyambut gawe.'"
1200342778724540418,2019-11-29 09:16:34,b'Jaman iku owah gingsir.'
1200335221150777344,2019-11-29 08:46:32,"b'Ing ngarsa sung tuladha, ing madya mangun karsa, tut wuri andayani.'"
1200327675870470144,2019-11-29 08:16:33,"b'Iro yudho, wicaksono.'"
1200320118149939201,2019-11-29 07:46:31,"b'Gusti iku sambaten naliko sira lagi nandhang kasangsaran, pujinen yen sira lagi nampa kanungrahaning Gusti.'"
1200312588606660608,2019-11-29 07:16:36,"b'Ing donyo iki ono rong werno sing diarani bener, yokuwi bener mungguhi pengeran lan bener soko kang lagi kuwoso.'"
1200305019511132160,2019-11-29 06:46:31,"b'Gusti iku dumunung ana atining manungsa kang becik, mulo iku diarani Gusti iku bagusing ati.'"
1200297475543683072,2019-11-29 06:16:33,b'Gusti Alloh ora sare.'
1200289919303766016,2019-11-29 05:46:31,"b'Guru sejati bisa nuduhake endi lelembut, sing mitulungi lan endi sing nyilakani.'"
1200282384798629889,2019-11-29 05:16:35,"b'Gupak pulut, ora mangan nangkane.'"
1200274818236420096,2019-11-29 04:46:31,"b'Dumadining sira iku, lantaran anane bapa biyung ira.'"
1200267276433256448,2019-11-29 04:16:33,"b'Diwehi ati, ngrogoh rempela.'"
1200259720809865216,2019-11-29 03:46:31,"b'Diobong gak kobong, disiram gak teles.'"
1200252198069735424,2019-11-29 03:16:38,"b'Dhuwur wekasane, endhek wiwitane.'"
1200244620010999809,2019-11-29 02:46:31,"b'Dhemit ora ndulit, setan ora doyan.'"
1200237077373186048,2019-11-29 02:16:33,b'Crah agawe bubrah.'
1200229519539363841,2019-11-29 01:46:31,b'Cakra manggilingan.'
1200221986389053440,2019-11-29 01:16:35,"b'Bibit, bebet, bobot.'"
1200214423412989953,2019-11-29 00:46:32,"b'Abot podo dipikul, enteng podo dijinjing.'"
1200206878497599489,2019-11-29 00:16:33,"b'Bener kang asale saka pengeran, iku lamun ora darbe sipat angkara murka, lan seneng gawe sangsaraning liyan.'"
1200199325030088705,2019-11-28 23:46:32,"b'Beda-beda, pandumaning dumadi.'"
1200191796082434048,2019-11-28 23:16:37,"b'Becik ketitik, ala ketara.'"
1200184219047038977,2019-11-28 22:46:30,"b'Asu gedhe, menang kerahe.'"
1200176672974102528,2019-11-28 22:16:31,"b'Anak polah, bapa kepradah.'"
1200169118306983936,2019-11-28 21:46:30,"b'Alon-alon, waton kelakon.'"
1200161573311901696,2019-11-28 21:16:31,"b'Ala lan becik iku gandhengane, kabeh kuwi saka karsaning pengeran.'"
1200154025716408320,2019-11-28 20:46:32,"b'Ajining diri dumunung ana ing lathi, ajining raga ana ing busana.'"
1200138959273123841,2019-11-28 19:46:40,"b'Pengeran bisa ngrusak kahanan kang wis ora diperlokake, lan bisa gawe kahanan anyar kang diperlokake.'"
1200131666678648832,2019-11-28 19:17:41,"b'Owah gingsiring kahanan iku saka karsaning pengeran, kang murbeng jagad.'"
1200123817336557568,2019-11-28 18:46:29,"b'Ora ana kasekten sing madhani pepesthen, awit pepesthen iku wis ora ana sing bisa murunggake.'"
1200116275973804033,2019-11-28 18:16:31,"b'Ngono ya ngono, ning aja ngono.'"
1200108723894509568,2019-11-28 17:46:31,b'Nabok nyilih tangan.'
1200101179142762496,2019-11-28 17:16:32,b'Mimi lan mintuno.'
1200093622412042243,2019-11-28 16:46:30,"b'Mikul dhuwur, mendhem jero.'"
1200086075911237633,2019-11-28 16:16:31,b'Manunggaling kawula gusti.'
1200078519532806145,2019-11-28 15:46:30,b'Mangan ora mangan ngumpul.'
1200070986000826369,2019-11-28 15:16:33,"b'Lelembut iku ana rong warna, yakuwi kang nyilakani lan kang mitulungi.'"
1200063428062142464,2019-11-28 14:46:32,"b'Lamun sira durung wikan alamira pribadi, mara takona marang wong kang wus wikan.'"
1200055886888067072,2019-11-28 14:16:34,b'Ketemu Gusti iku lamun sira tansah eling.'
1200048327963766784,2019-11-28 13:46:31,b'Kebo nusu gudel.'
1200040793278300161,2019-11-28 13:16:35,"b'Kakehan gludhug, kurang udan.'"
1200033227408166912,2019-11-28 12:46:31,"b'Kahanan donya ora langgeng, mula aja ngegungke kesugihan lan drajat ira, awit samangsa ana wolak-walik ing jaman ora ngisin-isini.'"
1200025685504344064,2019-11-28 12:16:33,"b'Kadang ira pribadi ora beda karo jeneng sira pribadi, gelem nyambut gawe.'"
1200018126982664192,2019-11-28 11:46:31,b'Jaman iku owah gingsir.'
1200010603307229184,2019-11-28 11:16:37,"b'Ing ngarsa sung tuladha, ing madya mangun karsa, tut wuri andayani.'"
1200003032181698560,2019-11-28 10:46:32,"b'Iro yudho, wicaksono.'"
1199995486553272320,2019-11-28 10:16:33,"b'Gusti iku sambaten naliko sira lagi nandhang kasangsaran, pujinen yen sira lagi nampa kanungrahaning Gusti.'"
1199987924462227456,2019-11-28 09:46:30,"b'Ing donyo iki ono rong werno sing diarani bener, yokuwi bener mungguhi pengeran lan bener soko kang lagi kuwoso.'"
1199980396017905665,2019-11-28 09:16:35,"b'Gusti iku dumunung ana atining manungsa kang becik, mulo iku diarani Gusti iku bagusing ati.'"
1199972830420451328,2019-11-28 08:46:31,b'Gusti Alloh ora sare.'
1199965287233159168,2019-11-28 08:16:33,"b'Guru sejati bisa nuduhake endi lelembut, sing mitulungi lan endi sing nyilakani.'"
1199957728761806849,2019-11-28 07:46:31,"b'Gupak pulut, ora mangan nangkane.'"
1199950199449194496,2019-11-28 07:16:36,"b'Dumadining sira iku, lantaran anane bapa biyung ira.'"
1199942629720354816,2019-11-28 06:46:31,"b'Diwehi ati, ngrogoh rempela.'"
1199935086453379073,2019-11-28 06:16:32,"b'Diobong gak kobong, disiram gak teles.'"
1199927532444741632,2019-11-28 05:46:31,"b'Dhuwur wekasane, endhek wiwitane.'"
1199919995263713282,2019-11-28 05:16:34,"b'Dhemit ora ndulit, setan ora doyan.'"
1199912432941953024,2019-11-28 04:46:31,b'Crah agawe bubrah.'
1199904890580979712,2019-11-28 04:16:33,b'Cakra manggilingan.'
1199897334613594112,2019-11-28 03:46:32,"b'Bibit, bebet, bobot.'"
1199889804927754240,2019-11-28 03:16:37,"b'Abot podo dipikul, enteng podo dijinjing.'"
1199882234230013954,2019-11-28 02:46:32,"b'Bener kang asale saka pengeran, iku lamun ora darbe sipat angkara murka, lan seneng gawe sangsaraning liyan.'"
1199874691717943297,2019-11-28 02:16:33,"b'Beda-beda, pandumaning dumadi.'"
1199867135729684481,2019-11-28 01:46:32,"b'Becik ketitik, ala ketara.'"
1199859597822980097,2019-11-28 01:16:35,"b'Asu gedhe, menang kerahe.'"
1199852035643854848,2019-11-28 00:46:32,"b'Anak polah, bapa kepradah.'"
1199844488820056064,2019-11-28 00:16:32,"b'Alon-alon, waton kelakon.'"
1199836933481877506,2019-11-27 23:46:31,"b'Ala lan becik iku gandhengane, kabeh kuwi saka karsaning pengeran.'"
1199829413384208384,2019-11-27 23:16:38,"b'Ajining diri dumunung ana ing lathi, ajining raga ana ing busana.'"
1199814287281123330,2019-11-27 22:16:32,"b'Pengeran bisa ngrusak kahanan kang wis ora diperlokake, lan bisa gawe kahanan anyar kang diperlokake.'"
1199806728012849152,2019-11-27 21:46:29,"b'Owah gingsiring kahanan iku saka karsaning pengeran, kang murbeng jagad.'"
1199799193776185344,2019-11-27 21:16:33,"b'Ora ana kasekten sing madhani pepesthen, awit pepesthen iku wis ora ana sing bisa murunggake.'"
1199791634747015168,2019-11-27 20:46:31,"b'Ngono ya ngono, ning aja ngono.'"
1199784092461494272,2019-11-27 20:16:33,b'Nabok nyilih tangan.'
1199776539505643520,2019-11-27 19:46:32,b'Mimi lan mintuno.'
1199769063603363840,2019-11-27 19:16:50,"b'Mikul dhuwur, mendhem jero.'"
1199761432696385536,2019-11-27 18:46:30,b'Manunggaling kawula gusti.'
1199753885205712896,2019-11-27 18:16:31,b'Mangan ora mangan ngumpul.'
1199746332161757185,2019-11-27 17:46:30,"b'Lelembut iku ana rong warna, yakuwi kang nyilakani lan kang mitulungi.'"
1199738791457480704,2019-11-27 17:16:32,"b'Lamun sira durung wikan alamira pribadi, mara takona marang wong kang wus wikan.'"
1199731233309122560,2019-11-27 16:46:30,b'Ketemu Gusti iku lamun sira tansah eling.'
1199723687299051525,2019-11-27 16:16:31,b'Kebo nusu gudel.'
1199716134485782528,2019-11-27 15:46:30,"b'Kakehan gludhug, kurang udan.'"
1199708600081338368,2019-11-27 15:16:34,"b'Kahanan donya ora langgeng, mula aja ngegungke kesugihan lan drajat ira, awit samangsa ana wolak-walik ing jaman ora ngisin-isini.'"
1199701040393670656,2019-11-27 14:46:32,"b'Kadang ira pribadi ora beda karo jeneng sira pribadi, gelem nyambut gawe.'"
1199693495264399361,2019-11-27 14:16:33,b'Jaman iku owah gingsir.'
1199685941029302275,2019-11-27 13:46:32,"b'Ing ngarsa sung tuladha, ing madya mangun karsa, tut wuri andayani.'"
1199678409544105984,2019-11-27 13:16:36,"b'Iro yudho, wicaksono.'"
1199670838900846594,2019-11-27 12:46:31,"b'Gusti iku sambaten naliko sira lagi nandhang kasangsaran, pujinen yen sira lagi nampa kanungrahaning Gusti.'"
1199663301799493634,2019-11-27 12:16:34,"b'Ing donyo iki ono rong werno sing diarani bener, yokuwi bener mungguhi pengeran lan bener soko kang lagi kuwoso.'"
1199655734616526848,2019-11-27 11:46:30,"b'Gusti iku dumunung ana atining manungsa kang becik, mulo iku diarani Gusti iku bagusing ati.'"
1199648199599775744,2019-11-27 11:16:33,b'Gusti Alloh ora sare.'
1199640638846689281,2019-11-27 10:46:31,"b'Guru sejati bisa nuduhake endi lelembut, sing mitulungi lan endi sing nyilakani.'"
1199633106396778497,2019-11-27 10:16:35,"b'Gupak pulut, ora mangan nangkane.'"
1199625541491408896,2019-11-27 09:46:31,"b'Dumadining sira iku, lantaran anane bapa biyung ira.'"
1199618003802869760,2019-11-27 09:16:34,"b'Diwehi ati, ngrogoh rempela.'"
1199610442361888768,2019-11-27 08:46:31,"b'Diobong gak kobong, disiram gak teles.'"
1199602902853046272,2019-11-27 08:16:34,"b'Dhuwur wekasane, endhek wiwitane.'"
1199595341617582080,2019-11-27 07:46:31,"b'Dhemit ora ndulit, setan ora doyan.'"
1199587808974761984,2019-11-27 07:16:35,b'Crah agawe bubrah.'
1199580244820164608,2019-11-27 06:46:32,b'Cakra manggilingan.'
1199572702954049537,2019-11-27 06:16:34,"b'Bibit, bebet, bobot.'"
1199565139004968960,2019-11-27 05:46:30,"b'Abot podo dipikul, enteng podo dijinjing.'"
1199557618504593410,2019-11-27 05:16:37,"b'Bener kang asale saka pengeran, iku lamun ora darbe sipat angkara murka, lan seneng gawe sangsaraning liyan.'"
1199550044573061120,2019-11-27 04:46:31,"b'Beda-beda, pandumaning dumadi.'"
1199542500723085313,2019-11-27 04:16:33,"b'Becik ketitik, ala ketara.'"
1199534947293265920,2019-11-27 03:46:32,"b'Asu gedhe, menang kerahe.'"
1199527418370740225,2019-11-27 03:16:37,"b'Anak polah, bapa kepradah.'"
1199519842908307456,2019-11-27 02:46:31,"b'Alon-alon, waton kelakon.'"
1199512299381252097,2019-11-27 02:16:32,"b'Ala lan becik iku gandhengane, kabeh kuwi saka karsaning pengeran.'"
1199504743707471872,2019-11-27 01:46:31,"b'Ajining diri dumunung ana ing lathi, ajining raga ana ing busana.'"
1199489643609088000,2019-11-27 00:46:31,"b'Pengeran bisa ngrusak kahanan kang wis ora diperlokake, lan bisa gawe kahanan anyar kang diperlokake.'"
1199482106193141760,2019-11-27 00:16:34,"b'Owah gingsiring kahanan iku saka karsaning pengeran, kang murbeng jagad.'"
1199474549034635264,2019-11-26 23:46:32,"b'Ora ana kasekten sing madhani pepesthen, awit pepesthen iku wis ora ana sing bisa murunggake.'"
1199467020204429312,2019-11-26 23:16:37,"b'Ngono ya ngono, ning aja ngono.'"
1199459442120511489,2019-11-26 22:46:30,b'Nabok nyilih tangan.'
1199451899935641600,2019-11-26 22:16:32,b'Mimi lan mintuno.'
1199444343775350785,2019-11-26 21:46:30,"b'Mikul dhuwur, mendhem jero.'"
1199436799258415105,2019-11-26 21:16:32,b'Manunggaling kawula gusti.'
1199429244465504256,2019-11-26 20:46:30,b'Mangan ora mangan ngumpul.'
1199421698400899072,2019-11-26 20:16:31,"b'Lelembut iku ana rong warna, yakuwi kang nyilakani lan kang mitulungi.'"
1199414148766953472,2019-11-26 19:46:31,"b'Lamun sira durung wikan alamira pribadi, mara takona marang wong kang wus wikan.'"
1199407143784308736,2019-11-26 19:18:41,b'Ketemu Gusti iku lamun sira tansah eling.'
1199399044327460865,2019-11-26 18:46:30,b'Kebo nusu gudel.'
1199391500351598593,2019-11-26 18:16:31,"b'Kakehan gludhug, kurang udan.'"
