id,created_at,text
1001063626336190464,2018-05-28 11:32:22,"b'Bahanku ngetwitt ki apik2,tp wes ra ono peminate yowes tak angslup wae *plupukplupukplupuk*'"
999348059803869185,2018-05-23 17:55:19,b'Saur lawuh tangisan ki sah ora?'
999347628570640385,2018-05-23 17:53:36,b'@JHONOMERRY Wkwkwk dasar mangkok jenang monte'
998987130599759873,2018-05-22 18:01:06,"b'Tak nyobo golek konco neng instagram ah,neng tuiter koncoku wes do lali :( https://t.co/xKBEKyg0E4'"
998972175624298496,2018-05-22 17:01:41,b'@lfarinyogi Kandiani kok'
998923625955713024,2018-05-22 13:48:46,b'Sori admine sui vakum kesedot vakum kliner soale :)'
998923415397400576,2018-05-22 13:47:55,"b'@JHONOMERRY Lagi usum yo transgender,didelok sek nek lucita luna iso meteng tenan koe sek berikutnya wkwk'"
998839090660294656,2018-05-22 08:12:51,b'@JHONOMERRY :('
998822521532170240,2018-05-22 07:07:01,"b'Haloo,ono sek kangen aku ra?'"
981679599967862784,2018-04-04 23:47:10,b'Pagi kamu dan rindu yang menggebu-gebu'
922643110407979008,2017-10-24 01:57:14,"b'selamat pagi netizen , yang kena hujan dan katisen :p'"
902010101845843968,2017-08-28 03:29:01,b'@dymsokei to'
878333607495979013,2017-06-23 19:27:05,"b'FITNES = Badannya fit , hatinya ngenes. #edisilebarantanpakamu'"
878333079093354496,2017-06-23 19:24:59,"b'bua mangga buah nangka , dimakan teman pake susu . aku sungguh tidak menyangka , cintamu ke aku itu palsu . #edisilebarantanpakamu'"
839342661014204416,2017-03-08 05:10:59,b'Langsung geser kanan :p'
839341957025390593,2017-03-08 05:08:11,b'ROLASAN = ROdo LAli nek papaSAN'
837337200140247040,2017-03-02 16:22:00,"b'Cintaku sin cos tangen , sini ke kos aku kangen !'"
837331685750427648,2017-03-02 16:00:05,"b'Halo,ada yg mau curhat ??'"
837281076171038721,2017-03-02 12:38:59,b'Prepare malam apa uni guys :p'
837171354608660482,2017-03-02 05:22:59,"b'jangan lupa untuk mengisi tenaga di siang hari ini , menghadapi kenyataan dan tekanan itu memerlukan tambahan extra food'"
837008627101655042,2017-03-01 18:36:22,b'FYI : prepare malam jumat (thik-thik blesssss.....)'
837008082173485056,2017-03-01 18:34:12,b'CINLOK = cinta send loc :|'
837007673308536832,2017-03-01 18:32:34,"b'daripada nungguin kamu yang gak jelas kayak lukisan abstrak,mending aku nungguin Raja Salman ngasih kurma ~'"
837005988511166464,2017-03-01 18:25:53,b'hal yang paling penting bagi jomblo adalah tetap bernafas ~'
836767032829890561,2017-03-01 02:36:21,b'Selamat pagi is ~'
836623109876666368,2017-02-28 17:04:27,"b'I still melek,durung ngatuk and raiso sleep. Kowe-kowe lagi do what do you do ?'"
836591651409670144,2017-02-28 14:59:27,b'Ceritone wes bedo ~'
836544854880485376,2017-02-28 11:53:30,"b'Habis hujan terbitlah dolan,ketemu mantan pas neng dalan,macak nyelip reteng kanan.'"
836303802672136192,2017-02-27 19:55:38,"b'Macak tenanan , bul kekenan .. wek :p'"
836302892633993216,2017-02-27 19:52:02,b'DPMB what you say... kepalamu... DPMB what you say.. kepalamu...'
836301129386438657,2017-02-27 19:45:01,b'@alifrhmwti butuh tuittt oramboiss ?'
836300623276453888,2017-02-27 19:43:00,b'mbok aku nyileh duit reggae mu ? | ha ? | seket seket ...'
836299558850220033,2017-02-27 19:38:47,"b'apakabar mboiss ?lama tak bersua,semoga kamu dan dia hanya sebatas bercanda.'"
809108000535289857,2016-12-14 18:49:14,b'Wes turu durung deq?'
798226912405372928,2016-11-14 18:11:40,b'Sopo gelem tak vc?'
795697713496981504,2016-11-07 18:41:32,b'Pengen demenan tp karo sopo? :((('
793775630399729664,2016-11-02 11:23:52,b'akun iki iseh payu ra sih ? po tak ganti dadi online shop wae po ~'
792747336107630592,2016-10-30 15:17:48,b'@ardekfms aku tetep padamu ~'
792746251854811136,2016-10-30 15:13:29,"b'apapun yang terjadi di dunia ini , aku tetap padamu ~'"
