id,created_at,text
864094429170212864,2017-05-15 12:25:40,"b'RT @riyaapriyani_: Sorry, aku dudu tipe uwong sing golek rai gur nggo entuk jeneng apik.'"
861026947073101824,2017-05-07 01:16:35,"b'Pagi mas, pilih kopi, teh opo aku?'"
861026646073122816,2017-05-07 01:15:24,b'@hanttari_md wes tau yang2an:|'
860827212349489152,2017-05-06 12:02:55,b'Malem minggu? Wes tau\xf0\x9f\x92\xa9'
860083429370544128,2017-05-04 10:47:23,"b'Sok lak yo sadar, lagi ngrasakne nek wes kelangan.'"
850663460887068672,2017-04-08 10:55:48,"b'RT @riyaapriyani_: Intine, raono uwong sing tenanan apik neng ndoyo iki. Kabeh mesti ono sisi jahate.'"
850663021059768320,2017-04-08 10:54:03,b'Kasep loro ati.'
847427393631395842,2017-03-30 12:36:49,"b'RT @riyaapriyani_: Pengen e sih ora arep tak pikir jeru, neng kok angel.'"
847041558008348672,2017-03-29 11:03:39,b'Dadi wedokan orasah gatheli-gatheli banget ngono iso ra sih? Marakne dosaku tambah wae. Lha gur tak rasani wae~'
846716932082454529,2017-03-28 13:33:42,"b'Dinggo sing percoyo karma. Sing nglakoni hal elek bakale entuk elek, dadi tetepo dadi wong apik ben tetep neng lingkungan sing apik.'"
788714243193446400,2016-10-19 12:11:43,b'Ngono salah ngene tambah salah. Salahno wae terus ngasi sok koe sadar ora ono uwong sing iso sekuat aku.'
785086424622039044,2016-10-09 11:56:04,b'@AniPratiwi16 ngikhlaske dee lungo asline mbak\xf0\x9f\x98\x91'
785066968361512962,2016-10-09 10:38:45,"b'Ngene, kadang akdewe kudu belajar ngikhlaske.'"
767701351442763776,2016-08-22 12:34:00,b'Astagfirullah :| https://t.co/HyhSsIMYuD'
767240938758352896,2016-08-21 06:04:29,b'Mungkin diajak mlebu surgo bareng kui sing jenenge relationship goal\xf0\x9f\x90\xa3'
767240492010516480,2016-08-21 06:02:42,b'Relationship goal menurutmu sing piye ndes?'
767015772979728384,2016-08-20 15:09:45,"b'Mas, ora kesel nesu-nesu terus?'"
