id,created_at,text
1200801357424316417,2019-11-30 15:38:48,"b'#SobatAmbyar \n\nDidi Kempot ndue lagu kusumaning ati, Cak Diqin ndue lagu slenco..\n\nNek pancen sayang ki ndang dijak rabi, nek kesuwen selak ditikung konco..'"
1200755828497666050,2019-11-30 12:37:53,b'@ganjarpranowo READY TO RIDE GEO ADVENTURE KEBUMEN ONE DAY ENDURO #4. https://t.co/ckamPx3SdL'
1200754541802639360,2019-11-30 12:32:46,b'Siap weng weng menikmati kaendahan alam Kebumen sareng Pak Gubernur Jawa Tengah @GanjarPranowo bro???\n\n#KODE4 dileksanakaken Tgl. 30 Nov &amp; 1 Desember 2019\n\nAmpun ngantos kesupen... https://t.co/hMARsUBwHs'
1200709540674723840,2019-11-30 09:33:57,"b'@GaluhAgustinaS Monggo, kapan-kapan Insha Alloh damel GA..'"
1200683395346583552,2019-11-30 07:50:03,"b'Kanggo apa aktif dadi warga net, tapi ora aktif dadi warga masyarakat...'"
1200672101918658561,2019-11-30 07:05:11,"b'RT @SastraDimeja: Kaos Sastradimeja\n\n\xf0\x9f\x91\x95Bahan Kaos \xe2\x9e\xa1\xef\xb8\x8f Cotton Combed 30s, Lentur, Lembut, Adem, Nyaman, Distro Quality\n\xf0\x9f\x96\xbc\xef\xb8\x8fBahan Sablon \xe2\x9e\xa1\xef\xb8\x8f Plast\xe2\x80\xa6'"
1200662001439117312,2019-11-30 06:25:03,"b'SELAMAT SIANG KAMU...!!!\n\nIyo kowe...\nSing wis ra sabar nunggu gajian, mergo wes dioyak-oyak cicilan..\xf0\x9f\x98\x81'"
1200638038025465856,2019-11-30 04:49:49,b'@bnttsdrt Sing penting yakin yo pora @DemitKlirong'
1200631760435810304,2019-11-30 04:24:53,b'Apa ora ana printer..??\nSabar lan tlaten di tulis tangan alamate..\xf0\x9f\x98\x82\n\nhttps://t.co/DhTDxw2IH4'
1200631407145414656,2019-11-30 04:23:28,b'RT @DemitKlirong: Semoga sampai tepat waktu kaos pesanan Cucunya SiMbah @SastraDimeja di Jogja dan Cirebon\nBesok belanja lagi ya kak... htt\xe2\x80\xa6'
1200573682885648385,2019-11-30 00:34:06,"b'Sabar lan syukur kuwi ilmu sing angel lakonane, nanging sapa wonge sing bisa nglakoni, kamulyan ganjarane.'"
1200569566406950913,2019-11-30 00:17:44,b'Sugeng enjang ugi mas..\n\xf0\x9f\x99\x8f https://t.co/j8rKmmX9Rq'
1200555591078268928,2019-11-29 23:22:12,"b""RT @Rodjieadmadja21: Monggo poro kadang sedoyo,ingkang bad\xc3\xa9 ngersa'aken kaos komunitasipun Simbah (SastraDimeja) langsung kemawon klik date\xe2\x80\xa6"""
1200555572669497344,2019-11-29 23:22:08,b'@Rodjieadmadja21 monggo didemo ha ha'
1200509395886432256,2019-11-29 20:18:39,b'@Twiitterhits @kangtoer @kangtoer #BiroJomblo'
1200435240247840768,2019-11-29 15:23:58,b'@YanniPramono @Sepele46601390 @DemitKlirong @imambayhaq pie mba..?? \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1200432467317932032,2019-11-29 15:12:57,"b'Becik ketitik, Ala ketara.\n\nSapa wonge gelem sabar setithik, Insha Alloh sesuk uripe bakale mulya.'"
1200420823988760576,2019-11-29 14:26:41,b'RT @SastraDimeja: Monggo menawi kerso dipun follow akun IG kulo..\n\nhttps://t.co/7vzUlCR1LB'
1200390570931130368,2019-11-29 12:26:28,"b'@Sepele46601390 @DemitKlirong @imambayhaq Klirong, Kebumen, Jawa Tengah mas'"
1200270426825342976,2019-11-29 04:29:04,"b'#JumatBerkah \n\nAja lali sedekah, supoyo uripmu tambah barokah, ganjarane turah-turah, diparingi nikmat melimpah, lan aja ngasi lali ngucap Alhamdulillah...'"
1200259506489323520,2019-11-29 03:45:40,b'Dudu ambane jagat sing gawe awakmu lego...\nNanging kabeh kuwi seko rahmate Sing Moho Kuoso...'
1200252820668076033,2019-11-29 03:19:06,"b'@rannywj Saget mba, monggo DM mawon,'"
1200233986133331969,2019-11-29 02:04:16,"b""@ennytasarii Ketok'e kamerane @DemitKlirong kurang larang kuwi mba hapene"""
1200232577182752769,2019-11-29 01:58:40,b'@ybasptr 90an mas..'
1200232074671640578,2019-11-29 01:56:40,"b'Ora popo, sing pesen sabar-sabar, sing penting komitmene, dikerjani, ditlateni, diopeni..\n\nhttps://t.co/tU7hDG4tF3'"
1200231057313816580,2019-11-29 01:52:37,"b'RT @DemitKlirong: Sebelumnya kami mohon maaf jika produksi Kaos SiMbah @SastraDimeja terlambat, ada sedikit kendala teknis dikami, tapi saa\xe2\x80\xa6'"
1199911329764495362,2019-11-28 04:42:08,b'@meduragarislucu Ngaten cak..\n\nhttps://t.co/4iGjLjzCTG'
1199910162955304960,2019-11-28 04:37:30,"b'@Iwontfillit Ra berkah, sesuk akhire gawe susah..'"
1199910026673999872,2019-11-28 04:36:58,b'@Daffawell Ngene cukup kan :\nhttps://t.co/eeqUYlJQe6'
1199909879940386816,2019-11-28 04:36:23,"b'@trituntang @mocha_rama Sing sugih wong tuane, udu anake..\n\nNek koe pengin sesuk anakmu metu procot trus sugih, sampean dadio sugih ndisik..\n\nSugih kuwi ra mung sugih bondho dunyo, tapi iso wae sugih konco, sugih dulur, sugih ilmu, lan sing penting sugih amal.'"
1199852837649338368,2019-11-28 00:49:43,"b'Ora ana wong sugih sing langsung sugih,\nOra ana wong pinter sing langsung pinter,\nKabeh kuwi mau diawali karo rekoso,\nLan ora lali ndungo marang Sing Moho Kuoso.\n\nSugeng enjing, sugeng makaryo..\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'"
1199769163805290496,2019-11-27 19:17:13,"b'Kabeh kuwi ana wancine.\nNiyatna idhep-idhep tirakat, ajar sabar ngadhepi kahanan, sing ora mesthi jumbuh karo gagasan.'"
1199606535271223296,2019-11-27 08:31:00,"b'RT @SastraDimeja: Rekasa utawa penake urip, gumantung saka ambane ati ora mung saka akehe bathi..'"
1199592196648816640,2019-11-27 07:34:01,b'\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80    \n\n             DUNGOMU KUWI \n           OBAHING LAKUMU\n\n    DUDU OBAHING LAMBEMU\n\n\xe2\xa0\x80'
1199574420051783681,2019-11-27 06:23:23,"b'Aja nganti kowe golek duwit kanggo nyambung urip, tapi kowe lali karo urip lan Sing Nguripi...'"
1199558713444405248,2019-11-27 05:20:58,b'@adiyudi514 @afdhalfirmnsyh Wish sak mestine ati iki nelongso..'
1199236499876786176,2019-11-26 08:00:36,"b""Namung anak'e tiang tani, dados mboten usah meri kalih rencang sing modal nesu kekarepane langsung dituruti.\n\n#PesenkuMarangAnaku"""
