id,created_at,text
1151722189940412417,2019-07-18 05:15:42,b'#Tengel'
1145709283624927232,2019-07-01 15:02:34,b'Salim ngangge @angacep boten ngajak2 kah https://t.co/MxQkC3bqMG'
1145705876990226432,2019-07-01 14:49:01,b'Biasa wa wenten priyogi ingkang urgent bin Serieus dados boten buka Temlen :) https://t.co/iPsELllAK1'
1145704284253634560,2019-07-01 14:42:42,b'Telat mawon lahhhhh https://t.co/uPjGQ0OxlT'
1144956664199569408,2019-06-29 13:11:55,"b""Ingkang dalu mingguan'e Njomblo ngacung !! #SugengDaluMinggu"""
1144645984506408960,2019-06-28 16:37:23,b'Aaminn salam ngangge @dee_alieth sareng @ardhi_ALIETH nggih... Mugia sehat sedanten lan sakses sekeluargi https://t.co/Gg50YGQGli'
1144642798857015296,2019-06-28 16:24:44,b'Aamiin mugia dados juara kaping setunggal https://t.co/DCBGrnj5U8'
1144641322717835265,2019-06-28 16:18:52,b'Walah Enggih Tah ??? https://t.co/76IqktFhJ2'
1144641236776603648,2019-06-28 16:18:31,"b""mama cuma dadi pawang jawo :'( https://t.co/A92QWcxwa3"""
1144515172414832640,2019-06-28 07:57:35,b'Persiapan Milad Caruban Nagari... https://t.co/QJox1Da7mW'
1144281522368724992,2019-06-27 16:29:09,b'@kuncenCERBON dalu jumatan teng pundi ??? Pasti siweg nyruput wedang kopi Campur kembang kantil nggih :D #Sugengdalujumat'
1144281132210352131,2019-06-27 16:27:36,b'Bade tiyang jaler ta Tiyang istri ??? #Katahh https://t.co/vcvv96ffHn'
1144277464442527744,2019-06-27 16:13:01,"b""Haduhhhh tilem ah mama'e wedos https://t.co/sn99B1UBkX"""
1144277293105213440,2019-06-27 16:12:20,"b""Nggih Sel Kaping Nomer Sedasa :'( https://t.co/2WabCkZvi6"""
1144240767763767296,2019-06-27 13:47:12,b'Wahhh caket saking griya kula... https://t.co/OkdXKNWvZM'
1144230578985693185,2019-06-27 13:06:43,b'Dados ingkang dadi presiden sinten uwa @kuncenCERBON ??? #AseliTaken'
1143519956060913665,2019-06-25 14:02:57,"b'Mama nembe kelar syuting, pripun wa ??? Ngopi tah ??? https://t.co/CpzAWE04mj'"
1143519785440833537,2019-06-25 14:02:17,b'Depooooooonnnnnnnnn #Alpatekah https://t.co/eWKSpzLZ47'
1143196996477394944,2019-06-24 16:39:38,b'Wkwkwkwk.... https://t.co/OCVqOidDEn'
1143130126277914624,2019-06-24 12:13:55,b'Niku mah @sedayuu rencang kula https://t.co/CADdLbGBnU'
1143052189406879744,2019-06-24 07:04:13,b'Loss!!! https://t.co/VcoFhXz4w0'
1143049867314393088,2019-06-24 06:54:59,b'Tanggal sepuh Woi... #Plak #tuman https://t.co/aAPQ4bxMTn'
1143046579869245441,2019-06-24 06:41:56,b'Adahhhh... Mlebu mlebu mlebuuu ganing dadi ngapak mbok ???! https://t.co/b3mRHMxs97'
1143046232064970752,2019-06-24 06:40:33,b'Punnn ah mama teng kuningan kriyin bade syuting malih... Bhayyyyyyy!!! https://t.co/VmB3d7VLg0'
1143043925432684545,2019-06-24 06:31:23,b'Taken mawon teng mamang gedang wkwkwkw https://t.co/U2dys9g1fV'
1143037779414147073,2019-06-24 06:06:57,"b'Suap suapan ""Puniku"" https://t.co/U9dB4Pmnwn'"
1143035683319083008,2019-06-24 05:58:38,"b""Niku sih @gueBEGO ponnnnn deponnnnnn :'( #Alpatekah https://t.co/gfSygJsWJy"""
1143034613628993537,2019-06-24 05:54:23,b'GGS wa (Ganteng Ganteng SamiMawon) https://t.co/x6vicxTivM'
1143034446595018752,2019-06-24 05:53:43,b'Dahar dereng ??? #TangledMawon https://t.co/34xsdx7ggw'
1143033923623985152,2019-06-24 05:51:38,b'Siweg suap suap an dahar niku :D https://t.co/uHOFM3cT8n'
1143033373058670592,2019-06-24 05:49:27,b'Siweg syuting... Pripun enten sing saged dibanting ???? https://t.co/fXBMWpYNUF'
1141521580561842177,2019-06-20 01:42:07,b'Menawi Bade Tangled magang teng Jerman mangga dugi teng #Disnakertrans kota Cirebon dinten Niki #infomawon https://t.co/kntnFI5F84'
1141376912821850112,2019-06-19 16:07:16,b'Biasa kue katah syuting :D https://t.co/f6vDQhO5vb'
1141243992970952705,2019-06-19 07:19:05,b'Wilujeng siang... Sampun pada sabar dereng??'
708716030479060992,2016-03-12 18:07:23,b'@isas28 enjing2 maksa mawon dugi teng griya bade sinau bebasan :D #SugengEnjing'
644864652929662976,2015-09-18 13:24:48,b'Kekatahan jadwal manggung :p https://t.co/XsvuWtjFuG'
643439674279616512,2015-09-14 15:02:27,"b'Wenten mawon ang, pripun lujeng?? https://t.co/EJSye8kipb'"
643438194671816704,2015-09-14 14:56:34,b'Asalamualaikum...'
643437884347838464,2015-09-14 14:55:20,"b""RT @MamangPisang: Kamu yg selalu ada dalam do'a dan kuperbincangkan Kepada Yang Maha Kuasa..."""
578140628023832576,2015-03-18 10:27:21,b'Alamat jawo Malih sampun mendung rapet #sugengSONTEN'
576031057100713984,2015-03-12 14:44:40,"b'""@sedayuu: @REBON_org @DevonRivaldy @ceritacirebon @dunia_cirebon pun ah kula bade kilem krihin, benjing sambung malih Asalamualaikum'"
576030124396527616,2015-03-12 14:40:58,"b'Kados Agem2 nggih ""@sedayuu: Niki Sampun disiapaken kopi sareng ukup kangge mama'"
576029151515189249,2015-03-12 14:37:06,"b'Ge\'Er Dih :D @ceritacirebon: @sedayuu @REBON_org @DevonRivaldy @bebasancirebon isun lg maljum.. ora meluan ngobrol ahh ;(""'"
576028698471596032,2015-03-12 14:35:18,"b'""@sedayuu: @REBON_org @DevonRivaldy @ceritacirebon hayu sareng2 lestari\'aken budaya cirebon lamun dede kawula sinten malih?  #Salam'"
576023992240201728,2015-03-12 14:16:36,"b'Boten ang teng griya mawon :) @ang_hilmi: @bebasancirebon wa\'alaikumussalam kangkaji~ mboten medal teng pundi-pundi tah? hehe""'"
576023813768409088,2015-03-12 14:15:53,"b'Boten cung, terang wau sonten mawon grigis siweg teng pundi?? ""@sedayuu: Teng ngriku jawo boten ma @bebasancirebon ?""'"
576018844260573184,2015-03-12 13:56:09,"b""Mlebet TL *Asalamualaikum Rencang2* mugia kawula sehat sedanten nggih... mangga dilajeng dalu jemua'an e"""
576017769809862656,2015-03-12 13:51:52,b'@sedayuu @ceritacirebon @DevonRivaldy @REBON_org wnten punapa niki rame nggih kados teng peken :D'
563033526887792641,2015-02-04 17:57:08,"b'Gering jeh ma RT @turanggaPQ sugeng dalu Kang Popon... pripun, waras tah? RT @DevonRivaldy: @turanggaPQ ... http://t.co/bojdKtpner'"
563015975680102402,2015-02-04 16:47:23,"b'Mangga ma RT @turanggaPQ upami kula damel hestek malih, pripun? RT @divobuzz: Kepruk !!! RT @sedayuu Ada yg ... http://t.co/VKjecWuweQ'"
562483129923809280,2015-02-03 05:30:03,b'Jawo ageng...'
562454857794088960,2015-02-03 03:37:42,b'@sedayuu @dyansum @kelilingcirebon @turanggaPQ @GueBEGO @kuncenCERBON  istimewaaa salam ngangge rencang2 CIC'
562454371665846272,2015-02-03 03:35:46,b'@dyansum @sedayuu @kelilingcirebon @turanggaPQ @GueBEGO @kuncenCERBON  ngopi krihin supados cenghar soca e'
562397037484724224,2015-02-02 23:47:57,b'Sugeng enjing Sugeng Aktipitas'
562328513613557760,2015-02-02 19:15:39,b'@lunairacoffee @turanggaPQ @dyansum @GueBEGO @kelilingcirebon @kuncenCERBON @sedayuu siapp nahh diskon'
562317347919106048,2015-02-02 18:31:17,b'@dyansum @GueBEGO @sedayuu @kuncenCERBON @kelilingcirebon @turanggaPQ @lunairacoffee  manut mawon kula ge'
562311368942968834,2015-02-02 18:07:32,b'@sedayuu @GueBEGO @dyansum @kuncenCERBON @kelilingcirebon @turanggaPQ @lunairacoffee  bebass'
