id,created_at,text
1188154727390826499,2019-10-26 18:05:36,b'Lelakon adile mung dilakoni. #bijakjawa'
1138267349532925952,2019-06-11 02:10:58,b'Aja nolak lakune urip senajan bungah utawa susah. #bijakjawa'
1134192190790365184,2019-05-30 20:17:45,"b'Tujuan urip kuwi digayuh saka usaha, donga kuwi bisa diarani salah sawijine usaha. #bijakjawa'"
1125831457975324672,2019-05-07 18:35:11,"b'Aja gampang duwe penemu yen durung nyata wujude,  #bijakjawa'"
1125831139820572672,2019-05-07 18:33:55,"b'Sakedeping netra, apa sing dipikir bakal bisa malih, nanging iseh bisa teteg saka sing dirasake.  #bijakjawa'"
1125830528534335488,2019-05-07 18:31:29,"b'Sejatine manungsa, kuwi iseh urung cukup yeng mung marem, banjur  bakal cukup mengko yen wes urip ayem.  #bijakjawa'"
1125829152450306049,2019-05-07 18:26:01,"b'Pasa,  mbebak pikir meres rasa.  #bijakjawa'"
1125828991443595264,2019-05-07 18:25:23,"b'Gebyar donya sing sejati bisa disawang saka kasil sing mbak pikir meres rasa,  pasa.  #bijakjawa'"
1124354198399668224,2019-05-03 16:45:05,"b'Aja gampang kena goda, saget sami tatag ing coba supaya enggal rampung ingkang pikantuk uji.  #bijakjawa'"
1124353395219820544,2019-05-03 16:41:53,b'Ora bakal bisa ngunduh kridhane Gusti yen durung tapis ing laku dawuhe.  #bijakjawa'
1124352908726718464,2019-05-03 16:39:57,"b'Becik yen kesel,  aja  nganti sambat.   Banjur sing sambat,  aja nganti kesel. #bijakjawa'"
1124352231283646464,2019-05-03 16:37:16,"b'Apa sing dirasake bakal nyata tinemu wujud sejatine,  apa nyata bakal bisa dirasake tinemu rasa sejatine.  #bijakjawa'"
1100810443537375232,2019-02-27 17:30:36,b'Sepira gedhene rekasa yen kabeh kuwi mung coba. #bijakjawa'
1094399807249035264,2019-02-10 00:57:01,"b'Aja rumangsa seneng yen wis bisa bandingke rekasamu marang liyane,  amarga rekasa kuwi seneng. #bijakjawa'"
1091379735723008000,2019-02-01 16:56:20,"b'RT @Erlin_Anggra13: Aja mung wegah diarani ora waras,Yen pancen waras kudune seneng ngalah.Ora senengane sak menang2e dhewe @bijakjawa'"
1089989231055855617,2019-01-28 20:50:58,"b'Yen urip kaya banyu mili, aja ngrusak sing diliwati. #bijakjawa'"
1089988964289634304,2019-01-28 20:49:54,b'Manungsa mung bisa ngerancang nanging Gusti sing paring pepesthi. #bijakjawa'
1087990948225794053,2019-01-23 08:30:30,b'titi tata titis tatag tutug. #bijakjawa https://t.co/usc3N3uTJx'
1083770620553265152,2019-01-11 17:00:26,b'#FotoProfilBaru https://t.co/EH8AjJvVeJ'
1083704723473985536,2019-01-11 12:38:34,"b'RT @alumni_fesbuk: aja sok seneng nggawe susahing liyan,apa alane nggawe senenge liyane\n#JumatBerkah \n@bijakjawa'"
1083593667820961793,2019-01-11 05:17:17,b'RT @SHariadii: https://t.co/VaO5lGPIza'
1083319313077960704,2019-01-10 11:07:05,b'#FotoProfilBaru https://t.co/nDGlM9MMoa'
1083162185839214592,2019-01-10 00:42:43,"b'RT @moefidtri: ""Gusti paring pitedah bisa liwat bungah bisa liwat susah"". Tuhan memberi petunjuk bisa melalui kebahagiaan atau kesusahan. S\xe2\x80\xa6'"
1082627336409759744,2019-01-08 13:17:25,"b'Yen wong liya ora percaya karo omonganmu, gawenen percaya karo tumindakmu. #bijakjawa'"
1082320517141417984,2019-01-07 16:58:14,"b'RT @ekho_cheyr3n: Retweeted Bijak Jawa (@BijakJawa):\n\nPundi papane swarga, bisa disawang saka sak jerone donga. #bijakjawa'"
1082320464268091392,2019-01-07 16:58:01,"b'RT @CheenErna: Aja mung bisa sambat yen uripe lagi ngrambat, nanging akeh sambat yen Gusti dereng paring tobat. #bijakjawa'"
1082320433867677696,2019-01-07 16:57:54,"b'RT @ekho_cheyr3n: Retweeted Bijak Jawa (@BijakJawa):\n\nNgomong sing apik urung mesti ditampa apik, ngomong sing ala gampang ketemu perkara.\xe2\x80\xa6'"
1082320392054685701,2019-01-07 16:57:44,"b'RT @Suharto_BC: Taun lawas duwe crita, Taun anyar siap digawe crita. Gawe crita sing apik kanggo nutupi crita ala sing wis liwat #BijakJawa\xe2\x80\xa6'"
1082320299536732160,2019-01-07 16:57:22,"b'RT @gustiaprilia_: Ojo milik barang kang elok, ojo mangro mundak kendo #bijakjawa https://t.co/3oqdzquMw1'"
1082320155563065344,2019-01-07 16:56:48,b'Eling marang Gusti bisa nuntun laku ing pundi papan panggonane bali. #bijakjawa'
1082313678312005637,2019-01-07 16:31:03,"b'Aja wedi kleru, amarga bisa luwih becik saka sinau sing kleru. #bijakjawa'"
1082312362718195712,2019-01-07 16:25:50,"b'paribasan raga menika namung wadah, punapa kersa? badhe di iseni barang sing ala? napa mawon saget apik yen saget di sawang sing apik. #bijakjawa'"
1082311429703659521,2019-01-07 16:22:07,"b'Gebyare donya mung bisa disawang saka netra, nanging gebyare swarga sinten netra sing pirsa? #bijakjawa'"
1082310903205265409,2019-01-07 16:20:02,b'Aja ngimpi swarga yen iseh lena legine donya. #bijakjawa'
1082309990751207424,2019-01-07 16:16:24,b'RT @bianreog: @bijakjawa @mitulungi Budal!!!!!! https://t.co/fck7bpe7nS'
1081953551079751681,2019-01-06 16:40:02,"b'Aja bingung miwiti, lakoni sing tenanan, bab hasil pasrahke marang Gusti. #bijakjawa'"
1081383145834860544,2019-01-05 02:53:27,"b'sugeng ejing, mugi tansah pinaringan pager ayem lan payung ayom. https://t.co/g3Le7vYe7R'"
1080044000692686848,2019-01-01 10:12:10,b'RT @afribagasf: @bijakjawa https://t.co/VucmCL9hvm'
1079997812236967937,2019-01-01 07:08:38,b'RT @t_s_jonn: @bijakjawa keren bget nih Oom / Tante https://t.co/USR5L6BnnR'
1079997750136061952,2019-01-01 07:08:23,"b'RT @dhnn_: Mugi tansah pinaringan sugeng, sabar lan rejeki ingkang migunani https://t.co/JYdthcYyfp'"
1079815789396426752,2018-12-31 19:05:20,b'Ngaturaken Sugeng Warsa Enggal 2019. #bijakjawa'
1079333216526295042,2018-12-30 11:07:46,b'Aja mung eling butuhe urip nganti lali gunane urip. #bijakjawa'
