id,created_at,text
1200218147296428032,2019-11-29 01:01:19,"b'@paulusbagus79 Kapan mulih solo? Rasah ngerantau wae, sugih yo ora'"
1200216711653281792,2019-11-29 00:55:37,b'Ben ra gampang kecewa kui kudune ojo gampang berharap. Wis #dprm'
1200020958553104384,2019-11-28 11:57:46,"b'""Aku yo sayang kowe, tapi ....""\n\nWis Hop! Aku wonge seneng terus terang, nek sayang omong\'o sayang, nek rasayang omong\'o rasayang, aku rapopo selow wae, awakedewe tetep apik, daripada kakean ita-itu, po meneh malah nggandul ngene. #dprm'"
1199927949752881153,2019-11-28 05:48:11,b'OJO LUNGO !! AKU LAGI SAYANG-SAYANGE'
1199741934555656192,2019-11-27 17:29:01,b'Google ra ngerti larane pura pura ora cemburu.'
1199738421402468352,2019-11-27 17:15:04,b'@sentroek008 https://t.co/2RDzWUC6Mn'
1199638187636740097,2019-11-27 10:36:46,b'@merapi_news Astrea Grand : Pak Modin\nUnto : imam mesjid'
1199634539414319104,2019-11-27 10:22:16,b'@YowesSuwun Rasah golek. Koyo wong susah.'
1199633934427930625,2019-11-27 10:19:52,b'@audybaikkk Menengo!'
1199633132946743296,2019-11-27 10:16:41,b'@YowesSuwun Ora tak balani kowe !'
1199631842426540032,2019-11-27 10:11:33,"b'@Farhan_domingo Aku bahagia tapi wingi, saiki digawe nyesek neh, kak!!! kenthang singo og!'"
1199375166469357568,2019-11-26 17:11:37,b'@pusing_aku_ @fafaah_ Jidor Luweh !'
1199351147103805440,2019-11-26 15:36:10,b'@indahlfn_ Judul mbak.. judul dudu sinopsis'
1199337326217793538,2019-11-26 14:41:15,b'@pusing_aku_ @fafaah_ Ah sikak weki.\xf0\x9f\xa4\xa3'
1199337050857586689,2019-11-26 14:40:10,b'@Jeyeg78 In the bed'
1199336891184635904,2019-11-26 14:39:32,b'@roti_tawarenak Ya allah mas.'
1199335715399598081,2019-11-26 14:34:51,"b""Monggo nyepik admine. (Ngomong follower'e dapormu bakal entuk diskon) https://t.co/9Igt9rolbB"""
1199334109245403138,2019-11-26 14:28:28,b'Kisah cintamu meh mbok nei judul opo ??'
1199296330373316608,2019-11-26 11:58:21,b'@ganasetyawan_ Rental kan iso'
1199295055107784704,2019-11-26 11:53:17,b'PENGEN YHANG-YHANGAN TAPI MALES DUWE YHANG!'
1199197090368278528,2019-11-26 05:24:01,b'@AmbarYubi Aku ra diundang ??'
1199196393702715393,2019-11-26 05:21:14,b'RT @Wardanitr2: @Tantrisltian @dapormu Sama dong kita https://t.co/CtXf7VDTQX'
1199196380205481985,2019-11-26 05:21:11,b'RT @sentroek008: @Tantrisltian @dapormu Podo mba https://t.co/xK8XNmsq8e'
1199130830926254080,2019-11-26 01:00:43,b'Ketika kabarku tak penting lagi~'
1198605714211500032,2019-11-24 14:14:05,"b'Chat bendino, telfonan bendino, sayang-sayangan bendino, suatu ketika weruh de\'e ro wongliyo, aku nesu-nesu, de\'e gur njawab : ""emang kowe sopoku? Emang awakedewe enek hubungan?"" JLEBB!!!!! #dprm'"
1198592038167437312,2019-11-24 13:19:45,"b'RT @Tantrisltian: Sugeng dalu , aku sing biyen tau mbok larani ~ https://t.co/XOE0UAlUwu'"
1198575711449018369,2019-11-24 12:14:52,b'@DeadwoodUnimus Iki nyata'
1198575131334852608,2019-11-24 12:12:34,b'@giar_mo Aku wedok yu'
1198574687632023553,2019-11-24 12:10:48,b'@azizah_tsany Paet\xf0\x9f\x98\xa3'
1198554793393840128,2019-11-24 10:51:45,b'@hallothy_ Jingfay. Kabeh wong wedok kui ngono ???'
1198554524983578625,2019-11-24 10:50:41,"b'@PeniSetyanings1 Itu wajar,itu boleh, itu manusiawi'"
1198523825157103618,2019-11-24 08:48:42,b'\xf0\x9f\xa7\x91 : aku sayang kamu\n\xf0\x9f\x91\xa9 : makasih infonya gan https://t.co/ArMhmMIXMH'
1198294124509708288,2019-11-23 17:35:57,b'@vicky_fadila DIWEI IPHONE AKU MENENG.'
1198293797353869312,2019-11-23 17:34:39,"b'OJO GALAK-GALAK, AKU NANGISAN'"
1198249223344422914,2019-11-23 14:37:31,b'KOYO PACARE PADAHAL DUDU'
1198211482074271745,2019-11-23 12:07:33,b'@saedongdotcom Silahkan. #dprm'
1198195248087744512,2019-11-23 11:03:03,"b'Sebenere cah wedok ora pernah wedi rabi karo lanangan kere bondho, sing mereka wedeni kui rabi karo lanangan sing kere ilmu lan kere tanggung jawab.\n\nTapi kui cah wedok biyeeeeen hlo, wis laawaaaassss,, biyeeeeeeennnn, #dprm'"
1198191478196989952,2019-11-23 10:48:04,b'@abigblk06 Tekan endi ndes'
1198190951526649856,2019-11-23 10:45:58,b'@hollyadip @rinidlestari_ Y'
1197995902251651072,2019-11-22 21:50:55,b'@DhodhyArdhOt Gambilangu'
1197995826464690176,2019-11-22 21:50:37,b'@paliinnnn Tekan Jbl'
