id,created_at,text
744094895241986048,2016-06-18 09:10:22,"b'Ono sing mbokne rekoso kerjo ning pabrik, anake wedok gayane koyo artis.. ono!'"
744091850286391304,2016-06-18 08:58:16,"b'Malam minggu mung di enteni bokoh wae liyane setan, aku cah menengan og!'"
744090458230382592,2016-06-18 08:52:44,"b'Pacarku ki sopo to Gusti, sabtu malam menyambut'"
744089366906052608,2016-06-18 08:48:24,"b'Ngecek sepeda ah.... Walah sepedaku kenek hukum ikatan batin,malam minggu dewe! https://t.co/CHa8ukKx2u'"
744088273262239746,2016-06-18 08:44:03,b'Wah bener ini mah? Saiki sebtu'
744086251700027392,2016-06-18 08:36:01,"b'Ojo mbok getak ta? Mengko aku njingkat loh, arep adzan maleh lali'"
744080686676508672,2016-06-18 08:13:54,b'Asline biyen sing ngusumi nek riyoyo tuku klambi anyar sopo to?? tuman sampek saiki..'
743844624330981376,2016-06-17 16:35:53,b'Hawane anyep rasane koyok kurang kaldu'
743827458068123648,2016-06-17 15:27:40,"b'Kabeh sambat do ra duwe duwet,lek kanggo aku ki simpel. Ga duwe duwet yo ngutang #beres'"
743790310820458496,2016-06-17 13:00:03,"b""Ojo njaluk pegat!! Jare Mbak'e kelonan nomer siji,mergawe no 7. Mangan watu wkwkwkwk https://t.co/auFtv9D5Q4"""
743632115065982976,2016-06-17 02:31:26,b'Rusak tumbas maneh'
743429439069945857,2016-06-16 13:06:05,b'Tolong rasa rame enek tadarusan'
743366472026624002,2016-06-16 08:55:52,b'Aku wes gateng beib'
743358542724239362,2016-06-16 08:24:22,b'Adus ah...... Mumpung sek uman banyu.'
743351590577307648,2016-06-16 07:56:44,b'Rasane dijak smsan trus ditinggal turu ki... Koyo meh neng khayangan tapi ditengah perjalanan jembatane terputus'
743349355042615297,2016-06-16 07:47:51,b'Pokoknya  bar dalan gronjalan elu belok nganan nanti ada BUK di kidul sana ada jalan ngglondor lurus aja'
743323866236260352,2016-06-16 06:06:34,b'@nanangsigit1 kita tos'
743323504154546176,2016-06-16 06:05:08,b'Singdi ki sing di rusak KAPTEN https://t.co/I4ie3K855Z'
743321560375693312,2016-06-16 05:57:24,b'Poto nya nggak KETOK https://t.co/1jiC5BUfIX'
743317705336315904,2016-06-16 05:42:05,b'Embong nya mendung di sertai jeglongan'
743295673995386880,2016-06-16 04:14:33,b'Kerjoanku ngamati embong sampek KATAM..'
743255980712984576,2016-06-16 01:36:49,b'Sesuk aku PREI'
742976658278354944,2016-06-15 07:06:53,b'#RAMINGGIR_TABRAK https://t.co/Gh0gyuVF0s'
742975973751132161,2016-06-15 07:04:10,"b'Jamda Jogja,10 ribu pengedara motor Rx King memadati Stadion #RAMINGGIR_TABRAK https://t.co/Vk2jLLvWhf'"
742974480323055616,2016-06-15 06:58:14,b'#RAMINGGIR_TABRAK https://t.co/NN09qTzytR'
742974213879963648,2016-06-15 06:57:11,b'#RAMINGGIR_TABRAK https://t.co/SierCLWKa2'
742973978101305345,2016-06-15 06:56:14,b'#RAMINGGIR_TABRAK https://t.co/lQ19UqxUf4'
742973579822813185,2016-06-15 06:54:39,b'#RAMINGGIR_TABRAK https://t.co/DpMqarahzO'
742973443478589441,2016-06-15 06:54:07,b'#RAMINGGIR_TABRAK https://t.co/DEEYzEUhuo'
742973204441010178,2016-06-15 06:53:10,b'#RAMINGGIR_TABRAK https://t.co/ekyum3kp2E'
742973058516930561,2016-06-15 06:52:35,b'#RAMINGGIR_TABRAK https://t.co/LspUbsvgVl'
742703932166701056,2016-06-14 13:03:10,b'Pingin rujak sing pedes tapi pedese tingkat akerat ningdi yo? Tulung..'
742666812857323520,2016-06-14 10:35:40,b'Aku wes bukoh... Ojo ajak aku wes wareg #yakin'
742404930120491010,2016-06-13 17:15:03,"b'Rokok ku mbok entekne Ndes,nontok bal balan durung mari wes ludes #asui'"
742385365357596672,2016-06-13 15:57:18,b'Semua akan KETORO pada waktunya'
742384265518796800,2016-06-13 15:52:56,b'Ra usah kakean COCOT!! Penting BUKTINE!!'
742374444224634880,2016-06-13 15:13:54,"b'Pingin nyiptakne lagu Disco versi Jowo,judule Mumet Ndase. Apik paleng yo?'"
