id,created_at,text
1185932264036716544,2019-10-20 14:54:19,"b'Manusia ada kurangnya, makanya kekurangannya itu bisa ngutang dulu. #jawambeling'"
1185264155218960384,2019-10-18 18:39:30,b'Perlakuan untuk orang patah hati apikr diapakno?'
1183832591075430400,2019-10-14 19:50:58,"b'Masalah ati, yen ati di kepruk biso remuk, yen tai di tumpuk iso ambuk.... #jawambeling'"
1183504719911669760,2019-10-13 22:08:08,"b'Bedane ati karo tai, yen ati kuwi di idak2 malah ambyar! Yen tai malah mbleyek dadi jembar....\n\nYen ati kuwi pedot, disambung maneh ora bakal iso! yen tai disambung2 dadi dowo...\n\nYen ati iso loro, yen tai iso gedene sak pentungan buto...\n\n#jawambeling'"
1183501659588055040,2019-10-13 21:55:58,"b'Joboku tegar, jeroku ambyar!\n#jawambeling'"
1183399599467184128,2019-10-13 15:10:25,b'Wadah susu jenenge?'
1183033789884194818,2019-10-12 14:56:49,"b'Pitik notol ora luwih gede soko cocote, manungso notol kuwi yen biso luwih gede soko tanggane, yen perlu tonggone sisan ditotol... #jawambeling'"
1182866736946675713,2019-10-12 03:53:01,b'@pacarkecilku @BerandaJogja Ngantuk iki sakjane mung alasan ben ora dikongkon asah2..'
1182866284192526337,2019-10-12 03:51:13,"b'Bedane cendol dawet karo cendol cawet kuwi mung dawet akeh cendole marai mareg, cawet mung siji cendole marai meteng... #jawambeling'"
1182780206680952832,2019-10-11 22:09:10,"b'Terpapar paham sambel, paham anyar, efeke mung keciret....#jawambeling'"
1182779298995793920,2019-10-11 22:05:34,"b'@Mas_im_im Jawabanmu apik tur gratis, mugo2 turumu iso miring...'"
1182777703461572608,2019-10-11 21:59:14,"b'Wes suwe ora twitteran, rasane koyo suwe ora dipaido wong meteng patang wulan...#jawambeling'"
1135781706839945216,2019-06-04 05:33:55,"b'Becik ketitik, duwe utang ora ketoro. #jawambeling'"
1135703026218332160,2019-06-04 00:21:16,"b'Yen tak sawang2, raimu iki koyo bh pedot ditaleni rafia... Pede amargo ora ketok kere dari jabanya. #jawambeling'"
1134706107304177664,2019-06-01 06:19:52,"b'Survey THR, kowe iki bongso opo?'"
1133495613255954432,2019-05-28 22:09:48,"b'Kabar iki urung mesti apik ""jumlah jomblo di tahun 2019 diperkirakan menurun"" menurutmu saktenane piye? #jawambeling'"
1132713305288523776,2019-05-26 18:21:11,"b'arus lalu lintas menjelang mudik masih lancar, tapi diskonan sudah mendekati diatas 50% sementara itu thr urung mudhun bayaran urung kumpul. #jawambeling'"
1131644080289566721,2019-05-23 19:32:28,"b'Hati2, bahaya laten pasca kerusahan ada inbox dari mantan yg ngakunya salah kirim, mungkin ia mau ngajak balikan... #GodaanPuasa'"
1129338911090663424,2019-05-17 10:52:33,"b'Bersikap tenang itu bukan berarti keconangam gowo botol akua pas poso, trus pura2 go adus.'"
1129338399729438721,2019-05-17 10:50:31,b'RT @pawirojindel: @jawambelingnew @MarnoMbois Bersikap tenang bukan berarti kebeletnya ilang tapi udah keceret :('
1129160684481081346,2019-05-16 23:04:20,"b'Di dunia ini tidak ada yg salah, sing salah kuwi mung @MarnoMbois lagi bar ngisi kuota trus di kongkon dolan ning kuburan...'"
1129160278069825536,2019-05-16 23:02:43,b'@MarnoMbois Bersikap tenang bukan berarti lagi pekewuh arep nyusu2 sing lagi ning jero wc mergo wes kebelet....'
1129157091338285056,2019-05-16 22:50:03,"b'Di dunia ini tidak ada yg salah, sing salah kuwi mung wong sing lagi nonton bokep ndilalah kentekan sabune...'"
1129125562386079745,2019-05-16 20:44:46,"b'No...marno... @MarnoMbois... Jajal tak mensen ya, ben ndang mufon...'"
1129124589806604288,2019-05-16 20:40:54,"b'Didunia ini tidak ada yg salah, yg salah kuwi mung wong sing tekon ""endi wc umume"" padahal wes ono tulisane ""toilet"" #semuasalah'"
1129028966432428032,2019-05-16 14:20:56,"b'Ning alam donya iki ra ono sing salah, sing salah iki mung ngeyang bakul brambang... #jawambeling'"
1127701417097961472,2019-05-12 22:25:44,"b'Seandainya,  ora perlu tak pikir,  mung manut wae, mung ngalir wae..... mungkin tidak jauh beda sing kemrampul di aliran yang menuju sapitenk.  #jawambeling'"
1127652835510734848,2019-05-12 19:12:41,"b'Ndilalah,  pas benerke posisi mejo,  grayah2 ngisor mejo dumuk empuk2 kemlenyet,  genah iki upil! \n\n#kejahatanupil\n#jawambeling'"
1127636866197385216,2019-05-12 18:09:14,b'Mana yg lebih anda takuti bila sedang marah?'
1127636287437991936,2019-05-12 18:06:56,b'RT @cahklaten78: @jawambelingnew @noersyamnoer2 bima kunthing jadi nama kereta pertama bikinan indonesia ...karena susu juga to heheheee ht\xe2\x80\xa6'
