id,created_at,text
1200370542290694145,2019-11-29 11:06:53,b'@toni_siswanto30 https://t.co/a1Pmv8Q6Hp'
1200362964399710209,2019-11-29 10:36:47,b'@toni_siswanto30 https://t.co/kfW7WUw0CG'
1200322820867125248,2019-11-29 07:57:16,"b'@febi_90 @joe_ananda ""Kula badh\xc3\xa9 dangu"" iku ora sopan. ""Dangu"" ora kena dipasangak\xc3\xa9 ""kula"" amarga ""dangu"" tembung krama inggil.'"
1200322392452521984,2019-11-29 07:55:33,"b'@rudysarwa Ingkang baku panyeratipun ""priksa"".'"
1200322109634777089,2019-11-29 07:54:26,"b'@pidia05 @joe_ananda ""Awrat"" sa\xc3\xa8stu kramanipun ""abot"". Nanging ningali kont\xc3\xa8ks ukara, angsal k\xc3\xa9mawon minangka lintunipun ""ang\xc3\xa8l"".'"
1200296232863682560,2019-11-29 06:11:36,"b'@sokhibardani23 Kawit jaman alay durung ana, ""tangled"" wis ditulis nganggo d.'"
1200295504879374336,2019-11-29 06:08:43,"b'@Djumadi_Joe Mangga, bisa maca iki kanggo sesurupan:\n\nTembung ngoko: https://t.co/hsazxMGGZ3\nBasa ngoko: https://t.co/RNs6dABBvY\n\nTembung krama: https://t.co/pBL8V2RiMw\nBasa krama: https://t.co/f95rdfeHXb'"
1200295434016571393,2019-11-29 06:08:26,"b'@Djumadi_Joe Tataran basa Jawa ana kang lawas lan anyar. Uga, tataran tembung lan tataran basa ora kena diworsuh.'"
1200293605501390849,2019-11-29 06:01:10,"b'@Djumadi_Joe Bab ""madya"" sing sok salah kaprah:\n\nTembung madya: https://t.co/9GxnP4ANjL\n\nBasa madya: https://t.co/gUVNNACAKt'"
1200292634293497856,2019-11-29 05:57:19,"b'@wiwid_dodok Bokmanawi ingkang ibu langkung remen dipunkramani k\xc3\xa9mawon, tur boten remen dipunkramainggili. \xf0\x9f\xa4\x94'"
1200292151390662656,2019-11-29 05:55:23,"b'@joe_ananda Boten wonten, Mas. \n\nTembung ""ang\xc3\xa8l"" pareng dipunangg\xc3\xa9 ing basa ngoko lan basa krama.'"
1200291390908813312,2019-11-29 05:52:22,b'@gantiakunajadeh D\xc3\xa8r\xc3\xa8ng wonten. Punika pamanggih kula k\xc3\xa9mawon: pit tekuk.'
1200290650618359808,2019-11-29 05:49:26,b'@ndianaisma_ https://t.co/yMmZ0RznjJ'
1200290557584494592,2019-11-29 05:49:03,b'@iqballl___ https://t.co/lSsbAqPnNr'
1200290257356259328,2019-11-29 05:47:52,b'@hellosolechan Iki filem\xc3\xa9 https://t.co/KLdAj95uHn'
1200290171368833026,2019-11-29 05:47:31,b'@wiwid_dodok Krama andhap: tembung kanggo ngasorak\xc3\xa9 awak\xc3\xa9 dh\xc3\xa9w\xc3\xa9 ing arep\xc3\xa9 wong kang diaj\xc3\xa8ni\nKrama inggil: tembung kanggo ngaj\xc3\xa8ni/ngluhurak\xc3\xa9 wong liya'
1200288513494618112,2019-11-29 05:40:56,b'@wdyahand_ Inggih'
1200288343717662720,2019-11-29 05:40:16,b'@belindch Lha iya iki https://t.co/KLdAj95uHn'
1200288283491569664,2019-11-29 05:40:01,b'@indrasu Iki ta https://t.co/KLdAj95uHn'
1200287972592996352,2019-11-29 05:38:47,b'@elfanrodh https://t.co/yMmZ0RznjJ'
1200287950908485635,2019-11-29 05:38:42,b'@luthfiantidiana https://t.co/yMmZ0RznjJ'
1200287908432769026,2019-11-29 05:38:32,b'@wdyahand_ https://t.co/yMmZ0RznjJ'
1200287759723720704,2019-11-29 05:37:56,b'Tegesipun panc\xc3\xa8n wonten kalih: \n\n(1) dangu (krama) = suw\xc3\xa9 (ngoko); \n(2) dangu (krama inggil) = takon (ngoko). https://t.co/BKRLBuofRF'
1200287442823041024,2019-11-29 05:36:41,"b'""Tangled"" mlebu tembung krama yha, Lur.'"
1200286539135082497,2019-11-29 05:33:05,"b'Ngoko: takon\nKrama: tak\xc3\xa8n\nKrama inggil: (1) dangu, (2) pundhut priksa\nKrama andhap: suwun priksa\n\n*Ol\xc3\xa8hku nulis nganggo tembung lingga (kata dasar) wa\xc3\xa9.* https://t.co/ZgZmnvhW5h'"
1199655180540600321,2019-11-27 11:44:18,b'@arosfanani B\xc3\xa9dan\xc3\xa9 baku lan ora baku.\n\nBaku:\n- Inggih\n- Matur nuwun\n- \xc3\x89njing\n\nOra baku:\n- Injih\n- Matur suwun\n- \xc3\x89njang'
