id,created_at,text
1200223765063335937,2019-11-29 01:23:39,"b'Lemah, aku yen jam semono iseh push rank cok https://t.co/PBtNLtA4Sa'"
1183280891985985536,2019-10-13 07:18:43,"b'Mah tak gawe raup, supoyo aku paham yen kenyataan kui cen pedes.\nYingan. https://t.co/BDCImvienC'"
1183273900127318017,2019-10-13 06:50:56,b'Rolasan neng mie ayam trotoar ketemu mantan ro yhange. Pura-pura dadi wit-witan binahong\n[Aku.]'
1182891731311718400,2019-10-12 05:32:20,"b'Wegah, koe ndak mashok https://t.co/PyUzkUrZQK'"
1182880661574537218,2019-10-12 04:48:21,"b'Pengen chat disik, tapi gengsi.'"
1152869355366916096,2019-07-21 09:14:08,"b'Semenjak koe ndue konco chat anyar, koe semakin gak asik dan semakin yowes mboh ngono kae.\n\nNgelingo sebelum adewe isoh barengan koyo saiki mergo mbien berawal seko kekancan.\nNek rak seneng ndang ngomong rasah gawe baper.\n\nNgopo? Guyon? Sekedar iseng? Matamu.'"
1147461446319476738,2019-07-06 11:05:02,"b'NDAMAU, SUN SEK https://t.co/7xZ8B6EDIU'"
1146075490463055878,2019-07-02 15:17:44,"b'Ramasalah yen koe nyawang aku sebagai pasangan seng sibuk dengan duniaku dewe, Aku beharap koe sabar ngerteni. Sebab Insyaalloh kesibukanku iki gawe modal nyewo terop sak dangdute.\n\nOiyoo, Koe oleh ngundang mantamu kok.\nTapi kon jogeti disel wae :)'"
1109357130035793920,2019-03-23 07:32:05,"b'Kegiatan dino iki mung fokus dadi wit kates ketika hubungan ro yhangmu semakin adem anyep lan hassss yowes ngono kae.\n\nBab kerjo ora sukses-sukses, bab cinta ajur ambyar ora nemu dalan beres.\nMdyarro\xf0\x9f\x92\xa6'"
1102919468605308928,2019-03-05 13:11:07,b'@ridwan_mr10 Ali kosmos wadesta'
1102918440539512834,2019-03-05 13:07:02,"b'Jodo raperlu diperjuangke terlalu ngoyo,\nNek jodo yo diterimo nek ra jodo yo ngenteni koe rondo~\n\n#DevinisiMenolakMuvOn'"
1091514262072094720,2019-02-02 01:50:54,b'@ayufasy Aku yo pengen misuhi kowe dek'
1091512882066468864,2019-02-02 01:45:25,"b'Memberi cinta seperlunya,\nMemberi perhatian sewajarnya.\n\nYen cinta lan perhatianmu mung dibales sebagai konco biyasa, yowes.segera sadar diri secepatnya~\n\nRausah sok-sokan macak bakoh gawe kata kata penyemangat, alay jancok :)'"
1085408383111491584,2019-01-16 05:28:19,b'@adlprmts Gandeng tapi :('
1085199051627257860,2019-01-15 15:36:30,b'@adlprmts Neng sarangan ngajak akune kapan dek? :('
1084399849309536257,2019-01-13 10:40:45,"b'Kowe kancaku, Dadio konco ngombeku https://t.co/WkiT3vWC4D'"
1084284283382972416,2019-01-13 03:01:32,"b'Aku mung iso sanggup janji adewe rabakal pisah. Yen jodo pilihan bapak ibumu dadi sebab adewe mengakhiri kisah, tak tompo ikhlas ati.\n\nOrapopo yen neng pelaminan aku raiso dadi sandinganmu sak orane aku iseh iso dadi tamu undanganmu :)'"
1079449590154162176,2018-12-30 18:50:12,b'Nyopo mantan ketemu neng perempatan\nOrapopo sepenting kopiku ra sasetan ~ https://t.co/nE17Ceytys'
1079447795612827648,2018-12-30 18:43:04,"b'Ono seng sengojo berjuang tapi tujuane mung ngelarani, ono seng awale tresno jebul endinge mung dianggep konco.\n\nOrapopo,neng akhir tahun iki aku ben semakin pengalaman. Mugo gusti Allah ngenei dalan seng luwih berkesan maneh neng tahun ngarep~\n\n#2019MenolakDilarani\n#2019SiapRabi'"
1079376005792321536,2018-12-30 13:57:48,b'ayo ngopi~ https://t.co/0nYeI8Okec'
1074250799994232832,2018-12-16 10:32:03,b'Piye dek?\nBalen ?!!'
1074219851277713408,2018-12-16 08:29:05,b'Mamat gogon ngemut busi\nObat Baygon dadi solusi\n\n-modyaro https://t.co/0RJmu2HzeP'
1074218646237409281,2018-12-16 08:24:17,b'Btw rego brambang sekilo piro yu? https://t.co/pibhIyUIIF'
1074218131013349378,2018-12-16 08:22:15,"b'Aku wes paham rasane diabaikan, mung dadi pelampiasan pomaneh dipekso nerimo kahanan. Mulo aku bersikap biasa wae ngadepi bab katresnan seng ra tentu sek iso ngerusak psikis lan masadepanku. \nHaa aku cah selow og~'"
1064785129292222464,2018-11-20 07:38:52,b'Mari moco parikanmu aku pengen misuh.\nRa mashok ! https://t.co/f0YxeFPR17'
1064784681021845505,2018-11-20 07:37:05,b'Ra cetho https://t.co/pQULjwY2Ku'
1064690310855475200,2018-11-20 01:22:05,"b'Kandanen yhangmu, Gali kok wedi konangan. mbokya sing jujur. Kerjo yo kerjo ngelonte yo ngelonte :( https://t.co/oBIaKa2am0'"
1064688136867868672,2018-11-20 01:13:27,"b'Koreksi, benerno yen aku nglakoni kesalahan. Hubungan kui saling melengkapi lan memberi,dudu goleki kesalahan hanya untuk ingin pergi :)'"
1064687963760603136,2018-11-20 01:12:46,b'Sepeda ijo bane gembos\nLanjutno bos !'
1064687919674228736,2018-11-20 01:12:35,b'Ambane parit njerone boyo\nJare pamit jebul chat ro wong liyo\n\nSore-sore mbadhok sate tontonane situs berita\nJare randue kuota kok iso update status cinta'
1064354586251616257,2018-11-19 03:08:02,"b""Kelingan wayah mendung koe turu neng pangkuanku, aku ngelus pipimu sembari koe cerito alesan bahagiamu nyanding aku.\n\nNanging, saiki mung dadi kisah masalalu.\nKoe wes bahagia karo jodoh pilihan bapak ibumu~\n\n:')"""
1059600438222249984,2018-11-06 00:16:45,"b'Penggawean mobilejenan, kerjo rak gelem, ngibadah ratau lan dapurane olo banget koyo kates kepidak kok iseh kemaki pilih-pilih wedokan. Ojo maneh mbribik wong wadon, aku seng kancane wae kudu pengen ngidoni raine~\n#kancaku'"
1055563689837744128,2018-10-25 20:56:09,"b'Kemarin chat kita masih tersemat paling atas. Dan mulai hari ini, kita sudah saling tak berbalas.'"
1049538167626289152,2018-10-09 05:52:53,"b'Orapopo jomblo raono sing mencintai, aku memegang prinsip motto posyandu\n\n""NIKMATI HIDUPMU DAN CINTAI TUBUHMU""'"
1048815143155453952,2018-10-07 05:59:50,b'@GojekanWagu Kabari. Mengko tak jamu. Mediun - magetan jedhak nda'
1041692053929771016,2018-09-17 14:15:14,b'@septijee Mosok enek lagune? Aku kok ra reti yo'
1041653445176913920,2018-09-17 11:41:48,"b'Abote awak tak rasake dewe, abote uripku tak lakoni dewe. Bukane sok bakoh.\nAkui mung berusaha dadi wong seng ra kakean cangkem\n\nMergo abot lan entenge urip kui dilakoni, dudu disambati~'"
1041651347907461120,2018-09-17 11:33:28,"b'Wong lanang kui nek raine pas pasan biasane well banget pas guyon ro kancane,\nTapi yo ono seng uwelek banget, sugih ragelem kerjo, jagake bondo wong tuane, golek wedok pilih2. Ngeneki tipe lanangan seng raine kemamplengable.'"
1037129897188048896,2018-09-05 00:06:51,"b""Raperlu ngemis sayang neng dekee, terlalu cinta mung gawe dekee i'll feel. Cukup kuasai permainan, pinter golek selah kapan kudu nggondeli lan kapan kudu ngeloske.\n\nYen dekee wes gilo banget sampek ngakon koe lungo seko uripe mending leren berjuang  ketimbang dadi pisuhan~"""
1036147523168002048,2018-09-02 07:03:14,b'@Nanungnotheng Mantab.'
1036147331266109440,2018-09-02 07:02:29,"b'Hobi dolanan manuk,\nMeluo komunitas kicau mania. [Contone]. https://t.co/uWLIiysz03'"
1036147020044455937,2018-09-02 07:01:14,b'@Nanungnotheng Apakah anda sudah membuktikannya langsung lur?'
