id,created_at,text
1200372267391127558,2019-11-29 11:13:45,b'@anggitaeek lho hoo too:('
1200369165288103939,2019-11-29 11:01:25,b'jal nek aku numpak klx. aku rung ngechat we koe wes mbalesi'
1174652527263936512,2019-09-19 11:52:41,b'wes wayahe noto urip. sek ra penting banget dikurangi. difokuske ngoyak mimpi. eling wong tuo soyo suwe soyo nambah umure'
1173598475616866304,2019-09-16 14:04:15,b'nek koe tak celuk asu malah nesu berarti koe rung kenal aku'
1171413233829216258,2019-09-10 13:20:53,b'RT @ammardzkk: gausah sok sok an yaa tujuan kita sama sama ke neraka. cuma beda jalurnya aja'
1163827561945677825,2019-08-20 14:58:08,b'RT @mbahtwit: kekancan butuh duit ora butuh liyane mergane pas aku nduwe duit kowe ono pas aku ra nduwe duit kowe lungo.'
1159862655756058624,2019-08-09 16:23:00,b'me ji ku hi bi need you'
1158382537258835969,2019-08-05 14:21:33,b'RT @mbahtwit: koe seneng ngapusi aku. makane aku macak kapusan soale aku pengen ndelok koe seneng :)'
1128626604135944192,2019-05-15 11:42:05,"b'liane do getun mergo pedot ro yange, aku malah getun tau kenal dee'"
1126336661875335168,2019-05-09 04:02:41,"b'urip, jodo lan rejeki kui wes ono signature'"
1125349351235018753,2019-05-06 10:39:27,b'wes gek ayo misuh iki wes buko'
1125348915300069382,2019-05-06 10:37:44,b'ga kerasa ya tinggal 29 hari lagi'
1120639192487219200,2019-04-23 10:42:58,b'nek raiso mbahagiakke sak orane rausah nglarani'
1120630215871320064,2019-04-23 10:07:18,b'ndue yang ribut randue yang gabut ealah asuasu jembud'
1120318824601886720,2019-04-22 13:29:56,b'limolasewu tak nggo nuku yangmu https://t.co/vpGGR6iww1'
1120312108619403266,2019-04-22 13:03:15,b'hawane panas panas banget adem adem banget. sayang sayang banget mangkel mangkel banget. \n\ndasar aku'
1120290641601159169,2019-04-22 11:37:57,b'lagi jamane po yo ngetwit keri keri munine dasar aku. bariki tak jajale enak e opo'
1120281781083598853,2019-04-22 11:02:45,b'kok rasane koyo dadi adoh ngene yo apakah ini yang dinamakan rindu'
1120281305462083587,2019-04-22 11:00:51,b'woke shiap tunggu aja. tapi nunggu ki rapenak kok yo hmm- https://t.co/DoXqVfkypr'
1120272222990422022,2019-04-22 10:24:46,b'nduweni roso sing podo nanging ora biso nyawiji'
1120270034985611265,2019-04-22 10:16:04,b'mbungkusi rupamu ben ra ambyar https://t.co/vMSpjHV8yn'
1120269875333566465,2019-04-22 10:15:26,b'boleh apa nih https://t.co/HxqAxNHAad'
1120215043977535488,2019-04-22 06:37:33,b'the hot is not public. there is very very hot. hot mom and son in public'
1119609244720885760,2019-04-20 14:30:19,b'senengane kok melu melu https://t.co/pW5bQrXloR'
1119601714502307840,2019-04-20 14:00:24,b'hiya toooo https://t.co/sc8f6ZV6up'
1119600464880738304,2019-04-20 13:55:26,"b'bakul gas nabrak tugu, ra nggagas malem minggu\nhmmm'"
1095515135907553280,2019-02-13 02:48:56,b'arep maju ati wes kadung jeru\narep mundur ati wes kadung ajur'
1093752497305313280,2019-02-08 06:04:50,b'aku ngerti kok aku udu panggon sing nyaman nggo koe curhat tentang kabeh masalahmu. aku rapopo'
1086594343329193984,2019-01-19 12:00:54,"b'nresnani koe ki koyo nganggo narkoba\npisan njajal marai tuman, ra dijajal marai penasaran, nek ditinggalke marai sakaw'"
1086540029424365568,2019-01-19 08:25:04,b'rasah muluk muluk. tak biasa wae. suk bakal ono waktune aku muluk genti koe sing biasa biasa wae'
1085544614314930177,2019-01-16 14:29:39,b'aku lempuyangan kamu kaliurang\naku panggil kamu kesayangan\ntapi kamu milik orang \n#parikan'
1065249932381016064,2018-11-21 14:25:49,"b'sesok pas ulangan aku arep milih a b c wae, soale d e wes karo liyane'"
1056237970338963456,2018-10-27 17:35:30,b'ajar memahami kata rapopo. lan ajar nrimo nek koe aneh aneh aku ngomong rapopo'
1044233800559915008,2018-09-24 14:35:13,b'jogja keras lur. aku sek gondol koncoku sek njebol'
1044198194094071808,2018-09-24 12:13:44,b'udu tentang sopo sing luwih cerak karo koe ning kono. tapi tentang sopo sing tetep iso njogo roso'
1043855431947284481,2018-09-23 13:31:43,"b'sadar ora, koe ki mung njagani jodone wong liyo. rasah kemaki sek ndes'"
1043572451261575168,2018-09-22 18:47:15,"b'@Erfintaa kalah ganteng, kalah bondo, kalah femeszt'"
