id,created_at,text
1198260886990774272,2019-11-23 15:23:52,b'Esemu kecut koyo ambune kelek'
1198258974421704704,2019-11-23 15:16:16,b'@cemararindu Te el po rame \xf0\x9f\x98\x81'
1195957486043320322,2019-11-17 06:50:59,b'@SyauqyJ Hihihi ncen'
1195953963050262529,2019-11-17 06:36:59,"b'Kesabaran di uji di depan wong elek, lemu ,rewel dastere suwek\xc2\xb2 \n#nesuyoben'"
1195951535424847877,2019-11-17 06:27:20,b'@Tabahyudhis21 Mati po'
1195951488075366400,2019-11-17 06:27:09,"b'@SyauqyJ Sabar ,kalem \xf0\x9f\x98\x81'"
1195412598407102464,2019-11-15 18:45:47,b'Endi wonge'
1185106538584653824,2019-10-18 08:13:11,b'@IkaMelinda Kae'
1167124390376398849,2019-08-29 17:18:33,b'@Sakurra_ \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 paham'
1166816820919013376,2019-08-28 20:56:23,"b'@Sakurra_ oalah kae to ""subali"" susune gedi sal ball voly'"
1166625973623803905,2019-08-28 08:18:01,"b""@Sakurra_ Wkwkwk byuuuuh , gualak'e"""
1165308751164788736,2019-08-24 17:03:51,b'@isting__ Jl. dosa wes diaspal'
1165308191225204736,2019-08-24 17:01:37,b'@Sakurra_ @mayyalova Mbiyen ra ono WA lo'
1165307449340915712,2019-08-24 16:58:40,"b'@Mamio042 @Sakurra_ @cheneyl_ @mayyalova @cocotsyahdu ndi sing kangen mau, sini peluk \xf0\x9f\x98\x80'"
1165001330718494720,2019-08-23 20:42:16,b'@Sakurra_ @Mamio042 @cheneyl_ @mayyalova @cocotsyahdu Hae'
1160487069371682816,2019-08-11 09:44:12,b'@rizax_f hiiiii malah tingkahmu koyo kidang'
1160486905248505856,2019-08-11 09:43:33,b'@ridwan_mr10 Jare koyo asu'
1160486812990574592,2019-08-11 09:43:11,b'@Najiberror1 Byuh tenane ndi'
1160230077327478785,2019-08-10 16:43:01,b'@nonagembul08 bisa dibadek asu kan'
1160227088181288960,2019-08-10 16:31:08,b'weduse ono sing dapurane koyo mantanmu ra ndes'
1160225895044407297,2019-08-10 16:26:23,"b'sadar nek sesuk arep didadekne qurban, wedus milenial  selfie disek'"
1159405499822903299,2019-08-08 10:06:26,"b'RT @bengukbegog: bakul sego goreng kerjo nganggo alasan mencari sesuap nasi, terus nyapo segone kui mok jual maneh'"
1156947864695664640,2019-08-01 15:20:40,b'pengen tuku TV anyar terus tak guwak'
1156782937259425792,2019-08-01 04:25:18,b'RT @rizax_f: @mehkenthir Bambang bencong talok lor e prapatan'
1156782932142387200,2019-08-01 04:25:17,b'RT @TriHariyadi_666: @mehkenthir Mbak nur sex\xf0\x9f\x98\x82'
1156631662509215744,2019-07-31 18:24:12,b'@Sakurra_ Akan tetapi blonjo dan blonjo lagi \xf0\x9f\x98\x80'
1156477385883049985,2019-07-31 08:11:09,b'@Mamio042 Oow mbak yem \xf0\x9f\x98\x80'
1156476936043913216,2019-07-31 08:09:22,b'Mbak kae sing lemu lungguh pojok dewe jenenge sopo?'
1156476484845883392,2019-07-31 08:07:34,b'@Sakurra_ ya ampun jebul isi ulang to kok persis kuota'
1156476245267210240,2019-07-31 08:06:37,b'@isting__ biyuuuuh'
1156475856551731200,2019-07-31 08:05:05,b'@Mamio042 @cheneyl_ @cocotsyahdu aku ngaji \xf0\x9f\x98\x80'
1156403951966674944,2019-07-31 03:19:21,b'@isting__ \xf0\x9f\x98\x98'
1156403433194176513,2019-07-31 03:17:18,b'@Mamio042 @cheneyl_ @cocotsyahdu \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81'
1156387375544541189,2019-07-31 02:13:29,b'@Mamio042 @cheneyl_ @cocotsyahdu Byuh karnaval ning ndi wi'
1155756951038414849,2019-07-29 08:28:24,"b'RT @mehkenthir: Udan njaluk ngiyup, mbasan ngiyup njaluk diudani ...karepmu pie to mbaaak aku kan bingung ...'"
1155756597177569281,2019-07-29 08:27:00,"b'RT @mehkenthir: sawangen mbahmu kae, soyo tuwo soyo suwe untune uninstall dewe siji siji'"
1153505052482396166,2019-07-23 03:20:10,b'@Mamio042 @Sakurra_ @cocotsyahdu Carane piye'
1153481010366935041,2019-07-23 01:44:38,b'@Mamio042 @Sakurra_ @cocotsyahdu Geg ndang dikawenke to \xf0\x9f\x98\x82'
1153480831165321216,2019-07-23 01:43:55,b'RT @rizax_f: @mehkenthir Wess ojo thir mundak awamu dikon dadi pamonge negoro'
1153480817567338497,2019-07-23 01:43:52,b'RT @BagoesGiarto: @mehkenthir Wong edan nongol..!!'
1153480803411615746,2019-07-23 01:43:48,b'RT @abukubril_: @mehkenthir Haha ngono iyo'
