id,created_at,text
836419459409666054,2017-02-28 03:35:13,b'pin opo WA ..'
834160774671122437,2017-02-21 22:00:01,b'RT @vera_novitaa: Semoga menjadi pribadi yg lebih baik tanpa mengusik orang lain'
834031975409217537,2017-02-21 13:28:13,"b'iki opo kok koyo uwong, tapi uwong kok koyo ngono hadeh'"
833559050516205568,2017-02-20 06:08:59,b'@novalia_ep raup raup sek kono'
833558796588896256,2017-02-20 06:07:58,b'@vera_novitaa ah poop meiyong kamu'
833557875716878336,2017-02-20 06:04:18,b'@novalia_ep mantau apa yg bisa di pantau hihi'
833557520597676037,2017-02-20 06:02:54,b'@vera_novitaa sampe kapan ya'
833556546126647298,2017-02-20 05:59:01,b'@novalia_ep sibuk mantau'
833555784218746880,2017-02-20 05:56:00,b'iki wong jenenenge mulkidi opo muskidi angelmen di golek i njiir'
833555443557425157,2017-02-20 05:54:39,b'@novalia_ep mesake'
833554001123610624,2017-02-20 05:48:55,b'@vera_novitaa wes ben rasah di obati..'
833552949410304000,2017-02-20 05:44:44,b'@vera_novitaa sehat??'
833552041163108352,2017-02-20 05:41:07,b'@dhilaswaggy14 we kwi kebone alkid'
832906643125907456,2017-02-18 10:56:33,b'lagi tekan wes rame iki pie'
832905987384307713,2017-02-18 10:53:56,"b'pasarkliwon macet enek opo yaa ""solo""'"
822603027525890049,2017-01-21 00:33:39,"b'RT @SoundbwoyDodix: Istirahatlah Kata-Kata, sebuah film sunyi yg menampilkan kekejaman rezim Orde Baru dgn sempurna. Wajib ditonton! #istir\xe2\x80\xa6'"
817682373747716098,2017-01-07 10:40:44,b'mikir keras!'
817671397396750337,2017-01-07 09:57:07,b'penghasut. penghianat. setan!!! uyee'
817626790260785155,2017-01-07 06:59:52,b'sing duwe akun rung modyar... bzzz'
817299804996792320,2017-01-06 09:20:32,b'cukup nyimak...'
816949032241143809,2017-01-05 10:06:42,"b'RT @Leonardoringo: Mati-matian bela Pancasila yg diplesetin Australia, tp onta yg itu mlesetin Pancasila diem2 aja nih pada2.'"
811087973303234560,2016-12-20 05:56:56,"b'RT @13Rudi: Mau tau apa yg lbh menakutkan daripada ibu2 naik motor matic?,sign kanan tp belok.kiri? | Bpk2 pakai daster teriak kafir kafir,\xe2\x80\xa6'"
811087620289613824,2016-12-20 05:55:32,"b'RT @sudjiwotedjo: Jadi andai misalnya Gus Mus pakai topi santa, aku gak akan lihat Gus Mus jd org Kristen atau apa klyk pas aku lihat Pak L\xe2\x80\xa6'"
811087552107016192,2016-12-20 05:55:16,"b'RT @sudjiwotedjo: Nah, aku kira topi santa juga kayak kopiah itu. Ia bukanlah agama, tapi suatu budaya yang kemudian dikait2kan dgn agama k\xe2\x80\xa6'"
811087489477640192,2016-12-20 05:55:01,"b'RT @sudjiwotedjo: Aku ndak merasa aneh lihat Pak Luhut maupun Pak Jonan pakai kopiah pas pelantikan menteri, krn bagiku lama2 peci ud bukan\xe2\x80\xa6'"
811087444384718849,2016-12-20 05:54:50,"b'RT @sudjiwotedjo: Dulu pertama-tama pelantikan kabinet di zaman Soeharto, aneh rasanya ada menteri yg Kristen/Hindu/dll pakai peci/kopiah.\xe2\x80\xa6'"
811087378060177408,2016-12-20 05:54:34,"b'RT @sudjiwotedjo: Simbol2 yg tak diatur dlm Hukum Positif spt Garuda dan Bendera, menurutku kok boleh ditafsir bebas. Peci/kopiah skrng buk\xe2\x80\xa6'"
811087283688349696,2016-12-20 05:54:12,"b'RT @sudjiwotedjo: Peci/Kopiah kan simbol Melayu, dipopulerkan di Nusantara oleh Bung Karno. Lalu kemudian terasa simbol santri. Lama2 juga\xe2\x80\xa6'"
810510255461273600,2016-12-18 15:41:18,b'sing penting happy sek..'
810509547471126528,2016-12-18 15:38:29,b'seneng kuwi iso di gawe .. tenangno pikirmu'
808589192158674944,2016-12-13 08:27:40,b'tratak dung cessss'
806673829518921728,2016-12-08 01:36:42,b'kudune jeneng akun ku ganti .. jadi lampiasan curhat po ya'
806477397797191680,2016-12-07 12:36:09,b'wes pokok e ayo dolan..'
806172201917378560,2016-12-06 16:23:25,b'Ooii'
806057883079016448,2016-12-06 08:49:09,b'@2015Rayyn wkwkw'
806057417985273857,2016-12-06 08:47:18,b'@2015Rayyn jaremu'
806057306093850624,2016-12-06 08:46:52,b'@tunjungerviade bakaarrrr!!'
806037067469701120,2016-12-06 07:26:26,b'ireng kringetan berminyak pliket jan wes koyo bacem tenan'
805924142994161664,2016-12-05 23:57:43,b'Aku ra pinter ngegombal koyo idolamu sing keakehan kecu kae hloo .'
805919827437109248,2016-12-05 23:40:34,b'Pagi di kampung orang...'
805485681153753088,2016-12-04 18:55:26,b'Urungturu'
805460202149416960,2016-12-04 17:14:11,b'When angels sing'
805457662863294464,2016-12-04 17:04:06,b'Kepengen turu gasik piye carane'
805407745276944384,2016-12-04 13:45:44,"b'mungkin twit hari ini cuma beberapa kata.. ""kita harus bahagia""  dah itu aja... selainya terserah kalian'"
805087742266929152,2016-12-03 16:34:10,b'@Qoryta_falaimas hla pie'
805087548020314112,2016-12-03 16:33:23,b'botol ke 6'
805086647738126336,2016-12-03 16:29:49,b'@Qoryta_falaimas wes pokok e'
805086188650582016,2016-12-03 16:27:59,b'@Qoryta_falaimas ra kelas ah..'
805085687234068485,2016-12-03 16:26:00,b'@Qoryta_falaimas wegah ah'
805081431781175297,2016-12-03 16:09:05,b'@tunjungerviade kok aku ra dijak'
805067495098830848,2016-12-03 15:13:42,b'beerfest !!'
805066472380768257,2016-12-03 15:09:39,"b'RT @Kamtis_SOLO: Atau kalian kalo pengen ngucapin anniv kita, boleh lohhhh jangan lupa hashtagnyaaa #6thAnnivKamtisSolo yaaaa \xf0\x9f\x99\x88'"
805023399378464768,2016-12-03 12:18:29,b'@s_mbakcantik po iyoo'
805022709293776896,2016-12-03 12:15:45,b'lagi pengen di terke sego goreng sak wajane'
805010528175165440,2016-12-03 11:27:20,b'@Qoryta_falaimas wes udan udan sisan ae'
805008045726044160,2016-12-03 11:17:29,b'@nickiindahp22 yo wegah'
804996594416295937,2016-12-03 10:31:58,b'@tunjungerviade moh utangku wes akeh nang kono hihi'
804995270953967616,2016-12-03 10:26:43,b'@nickiindahp22 nyemplung sumur kono'
804994373364518912,2016-12-03 10:23:09,b'@tunjungerviade hla piye ra trimo po'
804993929737183232,2016-12-03 10:21:23,b'@tunjungerviade moh ra gayeng ah'
804993005765566464,2016-12-03 10:17:43,b'di kon ganti jeneng karo @tunjungerviade penak e opo yaa ben ra sangar'
804967059352219648,2016-12-03 08:34:37,"b'nang bio wes enek ,sing lawas guwak ae..'"
804658067912605696,2016-12-02 12:06:47,b'ayolah kreatif...'
804472955187040256,2016-12-01 23:51:13,b'Sugeng enjang sedoyo... *turuneh'
804336618349830144,2016-12-01 14:49:28,b'@tunjungerviade *asahgolok \xf0\x9f\x98\xac'
804334430126882816,2016-12-01 14:40:46,b'Badaknya di bawa ke CFD nemenin jalan jalan'
804333625151930368,2016-12-01 14:37:34,b'Ada yang jual anakan badak?'
804333488195260416,2016-12-01 14:37:02,b'Butuh AK47 otomatis'
804332977261985793,2016-12-01 14:35:00,b'Apa saya kurang galak ya\xf0\x9f\x98\xa5'
804331859433787392,2016-12-01 14:30:33,b'@tunjungerviade brisik nii'
804180026795048960,2016-12-01 04:27:13,b'Awal bulan yang cerah.. Isi dompet lumayan cerah tapi ga akan lama....'
803904984064487424,2016-11-30 10:14:18,b'@NiaaarC ben banjir..haha'
803862212817264640,2016-11-30 07:24:21,b'udan sing gede tur suwe ya alloh...'
803843733083058176,2016-11-30 06:10:55,b'RT @yurdsgn: Thk obama https://t.co/lxHtqohIar'
803419419934240768,2016-11-29 02:04:51,b'ini apaan banget... di bangunin sama tim sar.. !'
803417805416583168,2016-11-29 01:58:26,b'@2015Rayyn kasih penyedap rasa biar enak'
803034109832413185,2016-11-28 00:33:46,b'sing kalem tenang dan tetap senggol bacok'
803030083694772225,2016-11-28 00:17:46,b'yang lagi UAS tetap semangat yaa.. jangan lupa sarapan meja sekolahan !'
802700675725414400,2016-11-27 02:28:49,b'@tunjungerviade apaane?'
802505172240826369,2016-11-26 13:31:57,b'jebule twit ku lagi sakmono... po iso di ijoli mie ayam ?'
802453523900157952,2016-11-26 10:06:43,b'rasah ngenteni suksesmu kapan.. buktikno dino iki kowe wes iso opo!'
802451797553991680,2016-11-26 09:59:52,"b'wes jalani wae opo sing enek, rasah keakehan milih, rung karuan sing meh dipilih luweh penak'"
801477257273319424,2016-11-23 17:27:23,b'yah mene udan qi pie...'
801473814332772356,2016-11-23 17:13:42,b'lg males. males ngapa ngapain'
801373604013146113,2016-11-23 10:35:30,b'setiap sore menjadi kota hujan..'
801338012831510528,2016-11-23 08:14:05,b'RT @FaktaMoslem: selamat menunaikan ibadah shalat Asar'
