id,created_at,text
1192004558500720641,2019-11-06 09:03:27,"b'tuku tuna digoreng zaitun, metune penak mbayare gethun. #parikanjowo #parikanGaco'"
1192004470822977537,2019-11-06 09:03:06,"b""menyang batu mampir ning dampit, ketok'e mlebu jebul dikempit.#parikanjowo #parikanGaco"""
1192004380486066179,2019-11-06 09:02:45,"b'sandal jepit dudu bakiak, panggonane nylempit rasane enak. #parikanjowo #parikanGaco'"
1192004124226637824,2019-11-06 09:01:44,"b'pitik jago nek esuk kluruk, golek bojo kok mung modal manuk !! #parikanjowo #parikanGaco'"
1192003919930486790,2019-11-06 09:00:55,"b'kursi goyang isone nggo wong siji, kene wis berjuang malah deweke meh rabi !! #parikanjowo #parikanGaco'"
1190260480838782976,2019-11-01 13:33:07,b'lakon udan keri'
1186881399078318080,2019-10-23 05:45:51,"b""panas panas ngene ki penak'e nek ora panas panas ngene ki"""
1158227334853304320,2019-08-05 04:04:50,"b'kepalaa .. pundak keju kemeng, keju kemeng ..'"
1155700206886739968,2019-07-29 04:42:55,b'\xf0\x9f\x8e\xb6 sampe aku .. tutup rekening ..'
1138974143729217537,2019-06-13 00:59:31,b'#esukesukdolananmanuk'
1136260350683168768,2019-06-05 13:15:52,"b'piye, mantanmu wis njaluk ngapuro ?'"
1135813847384592384,2019-06-04 07:41:38,"b'arep batal poso eman2, sahurku mau lawuh enak ..'"
1135500052556726272,2019-06-03 10:54:43,"b'menu buko ku rempelo ati, koe opo ?! https://t.co/mzbBlEsALO'"
1131186770203238401,2019-05-22 13:15:17,"b'buka wa down,\nbuka ig down,\nbuka dompet tambah down!'"
1129267152551198720,2019-05-17 06:07:24,"b'jumatan ..\n\nwudhu kumur ping telu, sing metu mung loro ..\naku'"
739918279620190208,2016-06-06 20:33:59,b'sahur karepmu ora karepmu !!'
739457799382401028,2016-06-05 14:04:12,b'Marhaban yaa Ramadhan ..'
736826148542251008,2016-05-29 07:46:58,"b'wah, minggu2 dandan mlipit ki meh ning ndi, Co ? | meh ning gedung lik | wih, resepsi yo ? | ora lik, meh badminton | -_-'"
736517872495665152,2016-05-28 11:21:59,b'ujuk ujuk kelingan Mantan sak dosa dosane -_-'
