id,created_at,text
1200776813011587074,2019-11-30 14:01:16,"b'Kembang tebu sing kabur kanginan, koe asu sing gawe aku ambyar ra karuan~'"
1200645887560536064,2019-11-30 05:21:01,"b'Bucin level Ra umum : \nwes ngerti dilarani, diapusi, digobloki, tapi isih wae sayang, iseh wae peduli ~'"
1200587169431031809,2019-11-30 01:27:41,b'@Putriin88784360 Heh karepku o'
1200586410320744448,2019-11-30 01:24:40,"b'Hubungan kok tanpa status, sisan wae hubungan tanpa tanda jasa, Ben koyo pahlawan !'"
1200430349139890178,2019-11-29 15:04:32,b'@raaskka Memper makane angel golek'
1200429305412501504,2019-11-29 15:00:23,b'@raaskka Heh Dompetmu tipis po kandel'
1200429092408922112,2019-11-29 14:59:33,b'@dupaknd4smu Karepmu loss'
1200428408884191234,2019-11-29 14:56:50,b'@shiniiin19_ Lemah !'
1200427630488477699,2019-11-29 14:53:44,"b'Loske , culke , blokir nomere , hapus potone , durung jodone , golek liyane !'"
1200367043725234177,2019-11-29 10:52:59,b'@hadiknash Nggo Kowe opo to mas sing raiso'
1200359204944375809,2019-11-29 10:21:50,b'@ardiisaa Opo lo dek'
1200358266846363649,2019-11-29 10:18:07,b'HO NO CO RO KO\nDO TO SO WO LO\nKOE RO WONG LIYO\nAKU RA PO PO ~'
1200275767298363393,2019-11-29 04:50:17,b'RT @ainnurrasyid94: @ndasmu__ Saiki dino Jumat\nAyo podo sholat Jumat\nDonga mugi pinaringan rahmat\nSlamet donya slamet akhirat'
1200274829758226432,2019-11-29 04:46:34,b'Saiki dino Jumat\nTekanne kowe sambat\nTambahi le semangat\nSenajan pikirane njepat~'
1199927420586905600,2019-11-28 05:46:05,"b'Ndess, kowe kok iso duwe pacar ngono ki nembunge piye?'"
1199925618751655936,2019-11-28 05:38:55,b'@Sugengndalu_ Min man min min!'
1199715931347464192,2019-11-27 15:45:42,b'@Dyan70633641 Astaghfirullah'
1199715803848957953,2019-11-27 15:45:11,b'@Ameelika1 Kat kapan'
1199660407427723264,2019-11-27 12:05:04,b'@alifiaryan Astaghfirullah ughty'
1199659176697331714,2019-11-27 12:00:10,"b'Aku sabar mergo duwe ati, nek duwe watu tak balangke ndasmu!\nBajingan! Asui!'"
1199470414369476609,2019-11-26 23:30:06,b'@tiyanaarum1 Duh dek'
1199470297608441858,2019-11-26 23:29:38,b'@MelinaKristia Masadepanmu'
1199341968205074432,2019-11-26 14:59:42,"b'@moodswi26111401 Emoh dek, paling mung Kon delok story'"
1199341539975000065,2019-11-26 14:58:00,b'@irmaaaw_ Di openi koyo opo wae dek'
1199308202019438592,2019-11-26 12:45:32,b'@cumaatemennn Entotmu'
1199307651764539392,2019-11-26 12:43:20,"b'""KOYO PACARAN TAPI ORA""'"
1199304468312907782,2019-11-26 12:30:41,"b'""KOYO DIANGGEP TAPI ORA""'"
1199303188131676160,2019-11-26 12:25:36,b'@Sindahhhhh Yangmu pedoten sik'
1199303127888846848,2019-11-26 12:25:22,b'@Anindit35856875 Mbok gelem dek'
1199302771863769088,2019-11-26 12:23:57,b'@wardaniaayu_ Kudu saiki'
1199302625692286976,2019-11-26 12:23:22,b'@LennySilvia4 Lopyu'
1199302344988487680,2019-11-26 12:22:15,b'@DanisaCornellia Yangmu pedoten sik'
1199278599263490048,2019-11-26 10:47:54,b'@Ameelika1 Nyang ndi dek'
1199222816530255873,2019-11-26 07:06:14,b'@dirapiazx Yowes tak aku we sing dadi yangmu piye?'
1199222684577517568,2019-11-26 07:05:43,b'@Endri34739625 Bajilakk i'
1199222633796997120,2019-11-26 07:05:31,b'@iekalara17 Dek'
1199222611965693952,2019-11-26 07:05:25,b'@lupa_namakuu Sing apik ngono kuwi'
1199218284580618241,2019-11-26 06:48:14,b'@iekalara17 Dek'
1199217602641293312,2019-11-26 06:45:31,b'@iekalara17 Dek'
1199217422093307904,2019-11-26 06:44:48,b'@azzhray Tulung'
1199216997206085632,2019-11-26 06:43:07,"b'Dek , tulung aku peken yang~'"
1198839546881798144,2019-11-25 05:43:15,"b'Wong bangsat Kuwi\nWong sing nglarani aku, tapi kesane dee sing tersakiti olehku~'"
1198617078392967168,2019-11-24 14:59:15,b'@Calonmenantu13 Bapakku wis raono'
1198616957408276480,2019-11-24 14:58:46,b'@_harty_ha Min man min min'
1198616882900684800,2019-11-24 14:58:28,b'@ardiisaa Hoo'
1198602174806163458,2019-11-24 14:00:02,"b'"" Pendem Dewe, rasake dewe rasah nyusahke liyane, kadang liyane mung pengen ngerti, ora pengen ngewangi ""'"
1198581094955667457,2019-11-24 12:36:16,b'GUR MAMAK SING SAYANG AKU ~'
1198505789658296320,2019-11-24 07:37:02,"b'Podo akhire awakdewe bakal nyesel, mung bedo tipis. Aku nyesel nek pernah mempertahanke kowe, kowe nyesel nek pernah ngeculke aku.'"
1198505390352125952,2019-11-24 07:35:26,"b'aku bertahan mergo aku wegah kelangan, mbok sadar shu, ehh shuminah.'"
1198502389344399360,2019-11-24 07:23:31,b'@taaaaa15_ Ndasmu'
1198410796314681344,2019-11-24 01:19:33,b'RT @assfess: @ILayuraa_ https://t.co/mQkV6a5MDh'
1198193177615716352,2019-11-23 10:54:49,"b'Hargai selagi isih ono, syukuri selagi isih ketok moto. Dijogo sedurunge lungo, diopeni sedurunge nyaman karo wong liyo~'"
1198175598817886208,2019-11-23 09:44:58,b'@Lisaaa_m297 Kowe sopo yo'
1198146964363173888,2019-11-23 07:51:11,b'Sampe kapan cah lanang kudu ngechat disik ?'
1197898373237526529,2019-11-22 15:23:22,"b'Ayo turu, dee lagi sibuk karo sing liyo~'"
1197892164899835906,2019-11-22 14:58:42,"b'Sekirane kabeh wis ra sejalan, saat realita pun adoh seko harapan, mulio dolanmu kadohan~'"
1197890520170688518,2019-11-22 14:52:10,"b'@Lianin7 Ora dek, penting Kowe tekan kene wae'"
1197890117446205440,2019-11-22 14:50:34,b'@moodswi26111401 Kene dek'
1197889909962358784,2019-11-22 14:49:44,b'@aulia_utimma Durung'
1197865516032876544,2019-11-22 13:12:48,b'@yo_onisa Abcd\xf0\x9f\x8c\x88'
1197865039832596481,2019-11-22 13:10:55,b'@mawangbesari BACOT'
1197864973042507776,2019-11-22 13:10:39,b'@Lianin7 Tiati dek'
1197864573220478982,2019-11-22 13:09:04,b'@ennytasarii Ngebakbaki dalan'
1197841867141857280,2019-11-22 11:38:50,b'@resya_t Astaghfirullah dek'
1197840629486632960,2019-11-22 11:33:55,b'@orangbaikkokk Aku ora'
1197840603138019328,2019-11-22 11:33:49,b'@Ameelika1 Aku ora'
1197840276485623809,2019-11-22 11:32:31,b'@resya_t Sange ro Kowe aku'
1197832050402713600,2019-11-22 10:59:50,b'@nindyiaaw Kowe tok'
1197831990981980162,2019-11-22 10:59:35,b'@Sakinageraldine Ayo dek'
1197831889932808193,2019-11-22 10:59:11,b'@yaituaskha Podo'
1197831134706454528,2019-11-22 10:56:11,b'@AnastasyaJiffy Ayo dek ngentu'
1197827945441550337,2019-11-22 10:43:31,b'@rizni24_ Asw i'
1197826561673547776,2019-11-22 10:38:01,b'@nindyiaaw Yowis o'
1197826469965094912,2019-11-22 10:37:39,b'@rizni24_ Bgt dek'
1197826299353395200,2019-11-22 10:36:58,b'@iekalara17 La aku pengen'
1197825593619795968,2019-11-22 10:34:10,"b'Dek , kangen?'"
1197803773906698242,2019-11-22 09:07:28,b'@pecanduapa Mantan ki opo to'
1197524076484419585,2019-11-21 14:36:03,"b'RT @permadiaktivis: Minister of Sport @SyedSaddiq, here a video of Indonesian supporters got beaten up by Malaysian after our last match, t\xe2\x80\xa6'"
1197517837738205185,2019-11-21 14:11:15,b'@Tataliya2 Kelingan to'
1197512190179172357,2019-11-21 13:48:49,"b'Sing dijiwit pipine, sing njerit atine. Sing diacak-acak rambute, sing berantakan pikirane~'"
1197491753558790144,2019-11-21 12:27:37,"b'Udu sepiro suwene le pacaran, tapi sepiro gedhene komitmen untuk mencapai sebuah tujuan~'"
1197459665770074112,2019-11-21 10:20:06,"b'Teko ning nikahane mantan.\nDee njut tak bisiki.\n""Semisal gone bojomu kurang gede, WAku iseh sing mbyen.""'"
1197409956783370240,2019-11-21 07:02:35,b'@ennytasarii Penting susumu Ojo kendor dek sakdurunge dadi ibu'
1197380196816453633,2019-11-21 05:04:19,b'@rizni24_ :*'
1197380152151310336,2019-11-21 05:04:09,b'@sapinaah Opo si'
1197378029082701827,2019-11-21 04:55:42,"b'Padahal online lho, online lho padahal~'"
1197374980163420160,2019-11-21 04:43:36,b'RT @merapi_news: Entah masalahnya apa tapi tindakan tersebut tidak patut di contoh dan sungguh bar bar sekali.\n\nAda yang tau lokasinya?\n ht\xe2\x80\xa6'
1197374752500764672,2019-11-21 04:42:41,"b'Susumu boleh kendor dek, tapi semangatmu jangan ya :)'"
1197309632269582336,2019-11-21 00:23:55,b'@afirapila1 Bribikanmu akeh dek'
1197309265918038016,2019-11-21 00:22:28,"b'Jaremu mung konco, kok gowo helm ndadak kon masangke~'"
1197305183086116864,2019-11-21 00:06:15,b'@Aniisna56 Ajg'
1197302715342188544,2019-11-20 23:56:26,b'@nurainiayw_ @tweetGoblokmu Yowes'
1197137688270237697,2019-11-20 13:00:41,b'@ermacorneliaaa Wis biyasaaaaa'
1197137551477182464,2019-11-20 13:00:08,b'@Ameelika1 Kapok :v'
1197137396409630722,2019-11-20 12:59:31,b'@brilianaa3 Aku Yo males'
1197127622351654912,2019-11-20 12:20:41,"b'@kimjuntaa Aku golek sing wis duwe yang kok dek, Ben Ono adrenalin e'"
1197126019745894400,2019-11-20 12:14:19,b'@andreysptr Ndes rasah melu melu payu to ndes'
1197124777409802241,2019-11-20 12:09:23,"b'Dek, nek kowe wis pedot Karo yangmu.\nKabar kabar yoo~'"
