id,created_at,text
713730220990328833,2016-03-26 14:11:59,b'Priwe kabare lur?'
677399840570015745,2015-12-17 08:08:02,b'Sinau Kerta basa! \nhttps://t.co/4zxf7n2lli'
646725761223688192,2015-09-23 16:40:11,b'NGaturaken Wilujeng ngidul adha...\nSelamat Hari Raya Idul Adha'
632076529581690880,2015-08-14 06:29:22,"b'Tresna Kang Saestu iku seneng wong, lan ora ngarep de senengi balik\n#Angel'"
628152244051951616,2015-08-03 10:35:40,"b'aku kangen karo awakmu, rong tahun ora ketemu, kur bisa adu tweet kangen... &lt;3'"
608164886971977728,2015-06-09 06:53:02,"b'bahasa jawa nduwe dialek sing jumlaeh akeh, tapi ya tetep sing paling jujur ya dialek Ngapak\n\n#NgapakCommunity'"
600307122140631041,2015-05-18 14:29:05,"b'nyong kayane termasuk penderitane gweh, p ming kie @Rifqi_Salafi  https://t.co/bCqW5oevBL'"
600306223565537280,2015-05-18 14:25:31,b'ngati2 loh ngger groh karo wadon... https://t.co/ibEjMOlPE5'
600304536071213056,2015-05-18 14:18:49,"b'Sue ora jamu jamu godong rena\nsue ora ketemu, ketemu pisan gawe tresna,,,\n\n#HayoSapaSingKayaKue?'"
599990977932054528,2015-05-17 17:32:51,"b'@Operra_Ngapak lah kalah maning sih?, nyong dadi pengin banting HP China yaqin!'"
599990706405396480,2015-05-17 17:31:46,b'RT @Badmnton_INA: Indonesian Team #SudirmanCup . http://t.co/cJMwa15dSq'
599990566080806912,2015-05-17 17:31:12,"b'Congrats Tim Badminton #Indonesia, we proud of u....\n\n#BesokYangEmasYah,, https://t.co/YYs3CoUos4'"
599989974314848257,2015-05-17 17:28:51,"b'nggo plajar SLTA klas akhir, slamet yh pada lulus,. Sing lulus y ja kmagus n kmayu. Klambi dtukukna bapane be decoret-coret...\n#SuDePA'"
598498778962796544,2015-05-13 14:43:23,b'galau nginum obat apa y sdulur?'
598498113586790402,2015-05-13 14:40:44,b'@Inaa_inna1 mondok di @alhikmahdua aja.... (pondok terbesar se-jawa tengah) \ninfo :\nhttp://t.co/snL5cmksEz'
598012227308818432,2015-05-12 06:30:00,b'@EliDwiSafrina slmat ultah mba lia...'
598012026921725952,2015-05-12 06:29:12,b'u klo ngmong ngpak bgt sih? | trus msalah? | p ngga malu? | ora bkalan q isin ngapak.....\n\n#BanggaBerNgapak'
598010547716521984,2015-05-12 06:23:19,"b'Bahasa Jawa dianggo neng 5 negara : Indonesia (wis mesthi), Landa, Suriname, Malaysia, Singapore. Bngga ora dwek sing termasuk?\n#FaktaNgapak'"
598010081960013824,2015-05-12 06:21:28,"b'kadang kadang pensi juga bisa ajang Caper (Cari Perhatian),\nSing krasa ya pangampura...\n\n#FaktaNgapak'"
597915463373357056,2015-05-12 00:05:29,b'tes ulangan ya pgaweane remidi... haha'
597915323719782400,2015-05-12 00:04:56,b'@Inaa_inna1 ehem apa ne kieh?'
596335296234434560,2015-05-07 15:26:28,b'@Hanaa_Fadhila mrip mba syahrini mwon'
596334645907599361,2015-05-07 15:23:53,b'@Hanaa_Fadhila kterpurukan npo lajeng?'
596334256403546112,2015-05-07 15:22:20,b'@Hanaa_Fadhila mbene bubaran nopo mba?'
596329922613751809,2015-05-07 15:05:07,"b'siki apa2 bisa neng internet, dela maning bisa adus neng internet ndean yah??'"
596329353924882432,2015-05-07 15:02:51,b'@Hanaa_Fadhila bangkit sking npo?'
596329012680495105,2015-05-07 15:01:30,b'@Inaa_inna1 operasi nopo??'
595839602738515968,2015-05-06 06:36:46,b'becik ketitik ala ketara....\n\nartine apa yuh?'
594020354802061312,2015-05-01 06:07:43,"b""Demo mangkat, aja kelalen sholat jum'at @detiknews http://t.co/efuKrtd6xA"""
594017562406453248,2015-05-01 05:56:37,b'tetep wijaya pekerja indonesia....\nkringetmu pupuk kedigdayaan negaraku\n\nSelamat Hari Buruh'
594017236303515648,2015-05-01 05:55:20,"b'melasi mayite,,, https://t.co/rIhBUwRHsA'"
593716754506878977,2015-04-30 10:01:19,b'@netmediatama @itsna814 @TMG_NET 2015 kok masih percaya kek gituan?'
593710608773611520,2015-04-30 09:36:54,b'Gunung Slamet ..... https://t.co/Cg5WqaIpdH'
593710403017805824,2015-04-30 09:36:05,b'@Fajri_ikaaa folback mba ikaa'
593709734760304640,2015-04-30 09:33:26,b'angger kue jodone ya ora bakal maring ngendi-endi....\nngendel bae lah!'
593709379808993280,2015-04-30 09:32:01,b'@IndoNgapak ranginne aja kelalen!'
593347880213032960,2015-04-29 09:35:33,"b'apa ora eman duite, nganggo tuku banyu setan.... (nyanyi)'"
592675960668987392,2015-04-27 13:05:35,"b'Selamat Ulang Tahun untuk HISBAN (Himpunan Santri banyumas) @alhikmahdua ke-32, semoga tambah berkontribusi bagi negeri\n\n#SantriNgapak'"
592675583466852352,2015-04-27 13:04:05,b'RT @RagilAtmaja27: Pengen ikut ini :D Jambore Nasional - Ring Of Fire Adventure // 14-16 Mei 2015 #VisitJateng #Baturraden @Banyumase http:\xe2\x80\xa6'
592101826217906176,2015-04-25 23:04:10,b'RT @Rifqi_Salafi: Happy Anniversary #HISBAN (Hispunan Santri Eks- Karisidenan Banyumas)\n#SantriNgapak'
592101663759958017,2015-04-25 23:03:32,b'sugeng enjang...\n\nminggu2 plesiran ngendhi yah??'
590457155196571649,2015-04-21 10:08:50,"b'mucaleken petheng, nekaaken pepadang..\nNyai Ayu #Kartini\nSrikandi Jawi kang nomer siji\n#HariKartini http://t.co/9Rk89gRFpV'"
590456229979230208,2015-04-21 10:05:10,"b'RT @Rifqi_Salafi: Kehadiranmu menghabisakan gelap, memunculkan terang\nSlmat ulang tahun #Ibu_Kartini, kau putri sejati\n#HariKartini'"
588581960609443840,2015-04-16 05:57:29,b'@finest_people @Rifqi_Salafi @KhasanLatief @itsna814 @ZubarkahA enthong kang mas'
586158507134550018,2015-04-09 13:27:33,b'@fathianada9 folback mba nada...'
586158415031869440,2015-04-09 13:27:11,b'@afina_prayogi folback mba fijri'
586158362837921796,2015-04-09 13:26:58,b'@MeyOfficial follback mba mei...'
586158270479409152,2015-04-09 13:26:36,"b'@Hanaa_Fadhila @EliDwiSafrina lah, anggotanipun @Operra_Ngapak mpun nyebar.... mboten saged kempal malihh'"
586158072818606081,2015-04-09 13:25:49,"b'@EliDwiSafrina nggih mba luelia... sugeng sonten, pripun kabaripun gunung mujil?'"
583645736790691840,2015-04-02 15:02:41,"b'malem jemuah, pada sunnah rosulan urung?\n\n#AjaNgeres'"
583645552102907905,2015-04-02 15:01:57,b'@Hanaa_Fadhila hihirrr... secret fans'
583645382812442624,2015-04-02 15:01:17,b'Ana sing pngin dlan ngne maning?@itsna814 @KhasanLatief @lela_948 @cicakdihati @Rifqi_Salafi @shantyalmaahir http://t.co/nGKTxlvHaU'
583643882522423296,2015-04-02 14:55:19,b'@AfinaPrayogi folback mbokayu...'
582905935930077184,2015-03-31 14:02:59,b'@cicakdihati follback kang mas iqbal\n\n#SalamNgapak'
582905405023469570,2015-03-31 14:00:53,b'@Rifqi_Salafi wong korea nedane karo ginseng sih ya?'
579457806920785920,2015-03-22 01:41:21,b'Apa sayuran favoritmu? \xe2\x80\x94 kentang? http://t.co/P504r0v3bO'
579457199656837121,2015-03-22 01:38:56,b'Apa masalah serius di dunia ini? \xe2\x80\x94 konspirasi zionis http://t.co/XdQlpuFjJY'
578436542244376576,2015-03-19 06:03:13,"b'tresnaku ura kalena senejan 20 km neng arep mata,,,,\n\n#ILOVEBANYUMAS'"
578436270646398976,2015-03-19 06:02:08,b'RT @kawungantenkota: sing urip bakale mati. sing ayu bakale mati.  sing ngganteng bakale mati. sing mati bakale urip. urip aja sembrono.'
558509938289283072,2015-01-23 06:22:00,"b'New, Kamus Jawa Ngapak-Indonesia\n\n@Rifqi_Salafi @KhasanLatief @itsna814 @nurlaela_948 @ZubarkahA http://t.co/7mptZ2IuYU'"
558508844712603648,2015-01-23 06:17:39,b'RT @Bombastik_ID: FINAL #BCC2015 Persibangga vs #PERSIBAS BANYUMAS Sabtu 24/1 15.30 Std Wijayakusuma Cilacap #DINANEPERSIBAS #8bringHereOur\xe2\x80\xa6'
558508071794642944,2015-01-23 06:14:35,b'@Syam_sam2 folback yh??'
558507964768595968,2015-01-23 06:14:10,b'@Ranggataruna7 folback kang rangga'
533055897405095936,2014-11-14 00:36:44,b'Bahasa Ngapajk tah jujur ora kaya bahasane wong umerika.... qong genah2 one dewaca wan? #Fakta'
533055193307283456,2014-11-14 00:33:56,"b'@KhasanLatief aja kelalen kaki mekrek, folback.... nini @akhhira kngen kaehh'"
533054684626292736,2014-11-14 00:31:55,"b'@shantyalmaahir aja kelalen, folback mbok kayu #shanty'"
500657066055188481,2014-08-16 14:55:20,b'ngsuk pitulasan yah lur?... mayuh deisi tgl apik kie karo kegiatan sing apik jg... #DirgahayuRIke69'
489588580415574016,2014-07-17 01:53:08,"b'@Bombastik_ID folback kang, pada2... pjuang banyumas'"
489588289972998145,2014-07-17 01:51:59,b'#kebumen ngapake alus ora kaya #Banyumas\n\n#Tetep_Bangga_Banyumas\n#MBB_my_Beloved_Banyumas'
489587752778731520,2014-07-17 01:49:51,b'admin #RIS ngsuk bali kieh??'
489587613683052544,2014-07-17 01:49:17,b'kapan bisa manggung maning yh? @Rifqi_Salafi @itsna814 @nurlaela_948 @SalmaAaiz @akhhira @udin_oi @ZubarkahA lan dulur2 liayane\n#kangen'
489586676298035200,2014-07-17 01:45:34,b'Kang @jokowi_do2 menang gyeh neng tanah ngapak |http://t.co/2gSZNW2U9K | komene kang?\n#akutah_woless'
