id,created_at,text
1200603702559563778,2019-11-30 02:33:23,b'RT @SuroboyoKeras: Heee reekkk. Aku ape ngadakno giveaway kaos polos warna biru dongker. Jumlah e onok 8pcs ukuran M - XXL. Gak perlu follo\xe2\x80\xa6'
1200083755798413312,2019-11-28 16:07:18,b'Wajahe glowing. Gulune darkgrey. Dadine glowing in the dark! https://t.co/PO1ZFEWtuQ'
1200051969135525888,2019-11-28 14:00:59,b'Delok arek wedok skinker an isok wajahe glowing ngunu ya. Padang koyok rumah makan sederhana'
1199356631579910144,2019-11-26 15:57:58,b'Yo lek aku gelem :p https://t.co/pcaj0v4K1W'
1199355561717796867,2019-11-26 15:53:43,b'Sampean dongani terus ae. Lek perlu diposoi. https://t.co/RmzgjB3teD'
1199355242791329792,2019-11-26 15:52:27,b'@SudahSaatnya76 Ora cak'
1199337919862861828,2019-11-26 14:43:37,b'Menisan ditulis tgl lahir ambek weton cak https://t.co/uos31GHS6L'
1199307635779981313,2019-11-26 12:43:17,b'Aamiin. Suwun cak. Tumben dungomu apik https://t.co/ny5rjWPpNm'
1199307509242089483,2019-11-26 12:42:46,b'Paguyuban arek ruwet 2019 versi on the crooott https://t.co/tor6osQgSn'
1199298103603429376,2019-11-26 12:05:24,b'Kapan maneh aku isok apik koyok ngene. Biasane gatelisasi'
1199297332975554560,2019-11-26 12:02:20,b'1pcs/orang (ukuran gak isok milih)\nWilayah Suroboyo - Sidoarjo - Gresik free ongkir. Nang jobone daerah iku ongkos kirim ditanggung dewe. Ayo ndang di retweet terus sebarno sak enak e udelmu.'
1199297329976602624,2019-11-26 12:02:19,b'Heee reekkk. Aku ape ngadakno giveaway kaos polos warna biru dongker. Jumlah e onok 8pcs ukuran M - XXL. Gak perlu follow. Cukup retweet ae gak atek kakean cangkem. Tak umumno tgl 30 Nov. Tgl 2 Desember tak kirim nang alamatmu. https://t.co/zH06XFHCeb'
1198947620074311680,2019-11-25 12:52:42,"b'Mendung tok gak diudani, digendaki tok tapi gak dirabi'"
1198922788016291840,2019-11-25 11:14:02,b'Nek udan kenangan atimu sing semburat wkwkwkwk https://t.co/ckz4ywrV37'
1198893777030541319,2019-11-25 09:18:45,"b'Titenono tah, engkok lek wes udan lak akeh sing update ""Hujan. 1% Air, 99% kenangan""'"
1198892845123305472,2019-11-25 09:15:03,b'RT @Adam_Choasan: Setuju min \xf0\x9f\xa4\xa3 cekne merencanakan keruetan terdasyat di abad ini \xf0\x9f\xa4\xaa https://t.co/jaP7MDOfUi'
1198614099724136450,2019-11-24 14:47:25,b'RT @khouzanae: @SuroboyoKeras Tgl tuo ngene biasane akeh wong ruwet'
1198591837117636608,2019-11-24 13:18:57,b'Pendaftar pertama. Ayo sopo maneh?? https://t.co/R4hYzbrr9J'
1198580727761162241,2019-11-24 12:34:48,b'Sing temping yakin disek. Semua akan ruwet pada akhirnya~~ https://t.co/OZ2hM6FSTL'
1198578086515601409,2019-11-24 12:24:18,b'Sing penting niat disek cak https://t.co/2bkKfxkpc9'
1198575942311936001,2019-11-24 12:15:47,b'Pingin ngumpulno wong ruwet terus tak gawe paguyuban rutin tiap bulan'
1198575395936751617,2019-11-24 12:13:37,b'RT @yomsbad: Mashokkkkk https://t.co/VUkGjKFDRX'
1198508208374996993,2019-11-24 07:46:38,"b'Pacaran 5th, susah seneng wes dirasakno bareng. Njeketek rabine karo wong liyo\n\nCocote konco \xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87 https://t.co/326poAegwI'"
1198488332566577153,2019-11-24 06:27:39,b'Panas e suroboyo ditanggung bareng2. Panase ati ditanggu dewe2'
1197896449360449541,2019-11-22 15:15:44,b'Maba = mahasiswa bacod'
1197517011636518912,2019-11-21 14:07:59,b'Chat whatsapp sepi koyok kuburan #kamisambyar'
1197485921441964033,2019-11-21 12:04:26,"b'Malam jumat, mbokeppp teroosssss!!!'"
1197310704522448897,2019-11-21 00:28:11,b'Mlaku nandi? https://t.co/ZVf3BR4ipZ'
1197309769482063872,2019-11-21 00:24:28,b'Sing penting bahagia lurd~~ https://t.co/rgcSvThhg0'
1197263883171332096,2019-11-20 21:22:08,b'RT @ranubandoyo: Utamakan keselamatan https://t.co/mAGrbdo42l'
1197263796659638272,2019-11-20 21:21:47,b'RT @dvdasm_: Oh iki sopir e sing nabrak https://t.co/DNxbdspNQz'
1197263715080404992,2019-11-20 21:21:28,b'RT @gustiramadhan_: Asu Tenan Supire Iso Melintir Melintir Nder . https://t.co/XTJYzdVGYJ'
1197139261633388544,2019-11-20 13:06:56,b'@MonicaDeaOlivia Berarti awak dewe koyok e jodoh...'
1197139173804662785,2019-11-20 13:06:35,b'RT @AzzafranJr: @SuroboyoKeras Woy cok supire ngantuk iku.'
1197139141588221952,2019-11-20 13:06:27,b'RT @antonmetalova: Wancok!!!! Iki ta ternyata seng nubruk? Tak dolek i koen cok! Awas kon! https://t.co/EgeW40NM1I'
1197118171792039936,2019-11-20 11:43:08,b'RT @Riffo_dwip: Luwih kacau balau https://t.co/ybZpyBwcyG'
1197114478208270337,2019-11-20 11:28:27,b'Akhir-akhir iki uripku kacau. Uripmu piye??'
1197112581120393222,2019-11-20 11:20:55,b'Sing ati2 bos lek nyupir https://t.co/7TPxqhmxOc'
1180515124626378752,2019-10-05 16:08:33,b'SELAMAT MALAM MINGGU SAYANG'
1169505110986092549,2019-09-05 06:58:41,b'Hamer sonic pisan... https://t.co/DTwBhM4a1M'
1169447523938758658,2019-09-05 03:09:51,"b'Cendol dawet, cendol dawet seger!\n\nCendol cendol, dawet dawet!\nCendol cendol, dawet dawet!\n\nCendol dawet seger, piro..??\n\nLima ratusan!!\nTerusss..?\n\nNggak pake ketan..!!\nJi ro lu pat limo enem pitu wolu..\n\nTagintak gintak!\nTagintak gintak!\nLo Lo Lo Looooo Jooosss!!! https://t.co/EiB9Qbj59K'"
1163780199256715264,2019-08-20 11:49:56,b'Hmmmn talah... dapuranmu suwe-suwe koyok gedang goreng'
1163778965049204736,2019-08-20 11:45:01,b'@MonicaDeaOlivia Lebih gak jelas maneh iku.'
1163408224105615361,2019-08-19 11:11:50,b'Gak jelas raimu!'
1162625341996687360,2019-08-17 07:20:56,b'Dalan mulai ditutup jam 2 awan sampek jam 10 bengi rek!. Acarane mulai sore. Hindari jalan sing tak tulis mau. Lek gak kepingin macet maburo ae opo turu ae nang omah!'
1162625339563970560,2019-08-17 07:20:56,b'Titik parkir Pesta Rakyat\n\xe2\x80\xa2 Jl. Genteng besar\n\xe2\x80\xa2 Jl. Plaza boulverd\n\xe2\x80\xa2 Jl. Ketabang kali\n\xe2\x80\xa2 Jl. Taman Apsari\n\xe2\x80\xa2 Lahan parkir hotel swiss belinn\n\xe2\x80\xa2 Lahan parkir PT Trijaya\n\xe2\x80\xa2 Lahan Parkir TP &amp; Sogo\n\xe2\x80\xa2 Lahan parkir Go-Skate\n\xe2\x80\xa2 Lahan parkir Surabaya Plaza\n@e100ss'
1161155183725830146,2019-08-13 05:59:03,"b'==JASIK==\n\xe2\x98\x86JASA IKLAN\xe2\x98\x86\n\nMenerima konveksi pembuatan kaos, polo, kemeja, jaket, jersey dll. Untuk perusahaan, komunitas, event, sekolah atau kampus!\nBisa menerima pesanan souvenir dan aksesoris.\nKontak wa : 082235292013 https://t.co/tmnrpAPE4b'"
1160837811609587713,2019-08-12 08:57:56,b'RT @BembenkSwastika: RETWEET DONG!!!!..\n\nnanti malam jam 8 aku mau adain #GiveAway kaos polos nih. Ada 3pcs kaos polos ukuran L.'
1160786004246069248,2019-08-12 05:32:04,b'Hayo cilikane sopo sing pekok koyok ngene. Mention koncomu engkok entuk hadiah teko aku. Muaacchhh https://t.co/SjsN4N8T7T'
1160785747567230976,2019-08-12 05:31:03,b'RT @haidarhidur: Raono sing salah \xf0\x9f\x99\x82 https://t.co/5Jjy4flsTI'
1160211600390836224,2019-08-10 15:29:35,b'RT @YonBennington: Sudah pasti.... Qurban perasaan\xf0\x9f\x99\x88 https://t.co/fKKJgwh4pK'
1160178677943951360,2019-08-10 13:18:46,b'Qurban opo awakmu tahun iki?'
1157646400676433920,2019-08-03 13:36:24,b'TEBAK LOKASI https://t.co/vxpEcVWITk'
1152230288765804544,2019-07-19 14:54:42,b'Dijual vapor multifungsi. Iso kanggo footstep.. https://t.co/VS2f3BIYkL'
1150953130030329856,2019-07-16 02:19:44,b'Kepingin urip mulyo tapi hobine klimprak klimpruk nang kasur. Heeee tangio tangiooooo.. https://t.co/ivDkJsOvVA'
1150728753749692421,2019-07-15 11:28:09,b'Koen rabi umur piro jum? Ojok gawe pipis ae barangmu https://t.co/15VDyzxBXO'
1150081335484043264,2019-07-13 16:35:32,b'Sepandai-pandainya tupai melompat akan jatuh disaat sikil e kesleo. Sak pinter-pinter nyimpen perasaan nang wong liyo mesti konangan masio didelikno nang jeroh alam barzah~'
1150079265511100416,2019-07-13 16:27:18,b'Kangen-kangenan kok karo bojone wong. Awas loh dienteni karo karma nang enggok-enggokan'
1150070708686315521,2019-07-13 15:53:18,"b'Cieee sing coba-coba menghibur pasangane wong liyo. Ati-ati kesleo, nyowone'"
1150008835181965313,2019-07-13 11:47:27,b'Kepingin pacaran tapi wedi ngaceng :('
1149153601178099717,2019-07-11 03:09:03,"b'Golek duite angel, ngenteknone gampang. Dasar aku!'"
1149121557022687234,2019-07-11 01:01:43,b'Ngingu tuyul ah ben cepet sugih..'
1148242943259504641,2019-07-08 14:50:25,b'Ibuk : nang jeding ae hp ne digowo. Apa lapo yoan..\n\nAku : https://t.co/lBXpMB9lFz'
1148082706548322305,2019-07-08 04:13:42,b'Yaopo dino seninmu lur... Simringgah opo halu? Sing semangat ojok nyerah!'
1147928087973076992,2019-07-07 17:59:18,b'@nyaisuk Ditambahi filter teko hp oppo ne limbad'
1147927858611814400,2019-07-07 17:58:23,b'Ayumu mergo ketolong filter vsco https://t.co/PsXiXiDzSg'
1147893403947900928,2019-07-07 15:41:28,b'Cocok gawe judul make-up tutorial nang youtube https://t.co/poFX4js8lv'
1147876160740532225,2019-07-07 14:32:57,"b'Iki mau tibakno dino minggu, pantesan aku males2an'"
1147875768162111488,2019-07-07 14:31:24,"b'Luwih nggatheli pas parkir gak onok wong e. Pas wes nyetater sepeda krungu suoro ""priiittt parkiiir"" https://t.co/qRefaISIRp'"
1147384378881761280,2019-07-06 05:58:47,"b'Koen pasti tau, melbu minimart gak tuku opo2 tapi bayar parkir'"
1147180243926392833,2019-07-05 16:27:38,"b'Merayakan suatu kemenangan itu budaya barat, bukan budaya kita. -Salahudin Uno https://t.co/RIXpBCF41k'"
1147172247389343744,2019-07-05 15:55:51,"b'RT @didikempotid: ning lakune urip, nemoni lara ati kuwi uwis mesti. sak karepmu lara atimu kuwi arep mbok gawe drama utawa komedi, wong ya\xe2\x80\xa6'"
1147171446742896640,2019-07-05 15:52:40,b'@khouzanae @bukalapak Ayooo kapan ngopi.. losss tok awak dewe'
1147054994274705408,2019-07-05 08:09:56,b'@AlexiaVierra @doonatbulaat @bukalapak Iyo soale duite di-depositno disek nang bank. Mungkin keuntungane teko kunu. Parah yo @bukalapak'
1146940488110358528,2019-07-05 00:34:56,"b'@doonatbulaat @AlexiaVierra @bukalapak Sebelum trx di marketplace pelajari dulu bro. Sistem jual-beli, pengiriman, dan proses pencairan uang. Bisa baca2 dulu di forum tokped. Saranku jgn di @bukalapak sudah banyak korban uangnya ga bisa cair'"
