id,created_at,text
1199034286168371200,2019-11-25 18:37:05,b'Sungguh rajin dan patut di conto \xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a https://t.co/Eo5CKaNrv2'
1199031930315952128,2019-11-25 18:27:43,b'@nvhsnll Neng kene yo enek kaliqqqq'
1199031836749361159,2019-11-25 18:27:21,b'@dewiayurenjani Enak yaqin \xf0\x9f\xa4\x99'
1198994639807602689,2019-11-25 15:59:33,"b'Padahal jejeran, ngobrol bareng ngalor ngidul, tatap-tatapan rai. Tapi kok ngroso kangen.'"
1198945477493850118,2019-11-25 12:44:11,b'\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a https://t.co/zdZpfiOkYE'
1198944675874263040,2019-11-25 12:41:00,b'\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a https://t.co/Jnp08FVopp'
1198830382025596928,2019-11-25 05:06:50,"b'Wong sing pernah mbok larani kuwi berhak dinggo bahagia.\n\nMungkin bakal luwih bahagia pas wis ora karo kowe.\n\nNemu sing tenanan jaga, ora nyia-nyia.'"
1198547517937348608,2019-11-24 10:22:50,b'Usum udan masih berkeliaran Story nggoyang-nggoyangke Boba.'
1198090311366369280,2019-11-23 04:06:04,b'Umur 23 disibukkan dengan sambat khusus ditinggal mantan rabi.'
1197899929659879425,2019-11-22 15:29:33,"b'RT @salmadizzaa: @yowessory Lho kok podo,tapi aku berdua si haha https://t.co/S13e00F4N8'"
1197899920683995139,2019-11-22 15:29:31,b'RT @bimowirayuda: @yowessory Nyego goreng dor life https://t.co/0rbTkHptyh'
1197861588696326145,2019-11-22 12:57:12,b'\xe2\x9d\xa4\xef\xb8\x8f https://t.co/N15383un8T'
1197763668252880896,2019-11-22 06:28:06,b'Pas awakdewe lagi neng titik akeh masalah neng njero hubungan.\n\nMugo kowe lan aku ra gampang dinggo ngomong nyerah lan lungo.'
1197118762970796034,2019-11-20 11:45:29,"b'Mulih kerjo, neng tengah ndalan belet ngising.\nBokonge nganti miring miring,\nTekan gang omah dalane di cegat kudu muter balik adoh tenan,\nBareng tekan omah WCne dinggo,\n\nCobaan apa ini Gusti.. \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1'"
1195577456956080128,2019-11-16 05:40:53,b'Apakah iki jenenge roso sayang sing gedhe?'
1195577389771710464,2019-11-16 05:40:37,b'Apakah apik dinggo hubungan kedepane?'
