id,created_at,text
587211421357715457,2015-04-12 11:11:27,"b'Saacan indit ka sakola, pastikeun heula mandi. Meh awak teu bau soptek megawati. #TipsUNBAS'"
587210488955539456,2015-04-12 11:07:45,"b'Pastikeun mawa perlengkapan paragi UN, lain mamawa bunga gelombang cinta, nanaonan aisia. #TipsUNBAS'"
587210029037568001,2015-04-12 11:05:55,"b'Saacan indit sakola, menta doa restu heula ka indung, lain menta pang meresan kasur. Komo beungeut mah. #TipsUNBAS'"
587209577512316928,2015-04-12 11:04:07,"b'Saacan indit ka sakola, pastikeun diajar heula, lain. Ngagurinda batu. #TipsUNBAS'"
587208498267586562,2015-04-12 10:59:50,b'#BenerAtawaSalah Kopi hitam tidak sepahit mantan?'
587208157438443521,2015-04-12 10:58:29,b'#BenerAtawaSalah Sok nyekillan kabogoh batur?'
459846012996034560,2014-04-26 00:06:47,b'#BenerAtawaSalah Karek beres UN?'
459844293230731264,2014-04-25 23:59:57,b'#BenerAtawaSalah Pagi ini udah ngauyup oli samping?'
459844156743897088,2014-04-25 23:59:25,b'#BenerAtawaSalah Pagi ini geus meunang PHP ti sieta?'
439158893911216128,2014-02-27 22:03:34,"b'Yatuhan :( RT @Ghifari_Ismail: Sugan teh geus 7 poe na :\'( ""@BenerAtawaSalah: #BenerAtawaSalah Aing kakara nongol deui?:(""'"
439158798415302656,2014-02-27 22:03:11,"b'Intonasi napasna kurang :( RT @Ghifari_Ismail: Boro-boro nyanyi hitut ge sumbang teu puguh nada :(( ""@BenerAtawaSalah:  maneh hoby nyanyi?""'"
439158626109095936,2014-02-27 22:02:30,b'Anying 3 cenah :( RT @Rahmaumi29_: @BenerAtawaSalah Kamenong waeeee mang? Akooooh MISSBIGyuuuu:(('
439158536606842880,2014-02-27 22:02:08,"b'Anying 2 cenah :( RT @Elfaa_Luginaaa: @BenerAtawaSalah mang kmna wae ai maneh,urg kangen:(('"
439158418327486464,2014-02-27 22:01:40,b'Anying :( RT @AlicePradipta: @BenerAtawaSalah mang kamana wae mang? kangen :(('
439158339059335168,2014-02-27 22:01:21,b':( RT @Fikar_Dobenk: Pala jeung jahe @BenerAtawaSalah: #BASNanya Lalajo UCL ayeuna ditemani oleh?'
439158263863869441,2014-02-27 22:01:03,"b'Teu kabeungeutan!!! RT @IvanAdiPratama1: Raisa nih :))""@BenerAtawaSalah: #BASNanya Lalajo UCL ayeuna ditemani oleh?""'"
439157377053782017,2014-02-27 21:57:32,b'#BenerAtawaSalah kangen ka urang?'
439156924664524800,2014-02-27 21:55:44,b'#BenerAtawaSalah Osok berburu cabe cabean?'
439156761648709632,2014-02-27 21:55:05,b'#BenerAtawaSalah Rencana kemping di alam? Alam ghaib.'
439156587002101763,2014-02-27 21:54:24,b'#BenerAtawaSalah Aing kakara nongol deui?:('
436127308613578753,2014-02-19 13:17:07,"b'Aweu RT @IrwanRijayandy: Gandeng gandeng,ngagayem tumila aing mah ""@BenerAtawaSalah: #BenerAtawaSalah Lalajo UCL bari ngagayem batako?""'"
435878222106869760,2014-02-18 20:47:21,b'#BenerAtawaSalah Lalajo UCL bari ngagayem batako?'
