id,created_at,text
843612630107353088,2017-03-19 23:58:19,b'https://t.co/myPEPBqztb'
459932440258027521,2014-04-26 05:50:13,b'Selimut RT @pangestiadji: kang ari eta sorban atanapi taplak meja?\xe2\x80\x9d'
459932315309731840,2014-04-26 05:49:43,"b'Eutik RT @AzhariRahman_: yah, abdi kasep teu?\xe2\x80\x9d'"
459932186523619328,2014-04-26 05:49:13,"b'@dent_SID embung ah, sieun'"
459932121943928832,2014-04-26 05:48:57,"b'Ditingali teh batur mah asa biasa wae, naha urang mah tunduh nya? Salah nyetting siga na mah'"
459915092474093568,2014-04-26 04:41:17,"b'Si Yoga nurutan. Saya mah resep Barca ti pamaenna msh kost keneh RT @Faizaljam: sur, naha sih sarua resep barca jeung @YogaPHB ?'"
459914824592269312,2014-04-26 04:40:13,b'Artos na ge nu saya mah teu laku RT @Yusmanginanjar: Yah nyungkeun artos. Bade ameng ka bandung\xe2\x80\x9d'
459914706967199744,2014-04-26 04:39:45,"b'Geus beak, tuh ku si Angga RT @yusuftri122: Yah kirimkeun lah ka kembar sageulas mah atuh :)'"
459893037083029505,2014-04-26 03:13:39,b'hideung na make cet air RT @adiseptian15: kopi hideung sur ? cikan nyobian :-D'
459890495997493248,2014-04-26 03:03:33,"b'Ngeunah ngopi sorangan teh, teu aya nu kudu didengekeun'"
456392750112321538,2014-04-16 11:24:45,b'@jonsky duka tah naha jadi kieu. :)'
456392396532502528,2014-04-16 11:23:21,b'@ades_alfarisi @yogaphb tukang servis tamtam aslina mah'
456391537316745216,2014-04-16 11:19:56,b'@Eza_Muhammad07 tong waka bilih eleh'
456391161171554304,2014-04-16 11:18:26,"b'rebo minggu kamari RT @jonsky: Panan ayeuna rebo dinten buda t\xc3\xa9h mang ""@PidiBaiqNaSunda: @jonsky rebo nya""\xe2\x80\x9d'"
456391033014607872,2014-04-16 11:17:56,"b'Saurna mah, siga na mah kenging Barca RT @Eza_Muhammad07: Yah leres wengi barca vs madrid ?'"
456390391982329856,2014-04-16 11:15:23,b'@jonsky rebo nya'
456390328438644736,2014-04-16 11:15:08,"b'katuker, sugan teh maneh tukang ojegna RT @YogaPHB: Teu hayang aing mah.. Tukang ojeg dibere 150rebu.. Urg ngan dibere bensin 2 ltr'"
456389793404817409,2014-04-16 11:13:00,b'@ganang_rahmat @sbyudhoyono :))'
456389723066343424,2014-04-16 11:12:43,"b'tong mawa lanceuk ah RT @iqbaltriadi: Miluan yah \xe2\x80\x9c@PidiBaiqNaSunda: Mang, @manjasad hayu, cenah arek malak barudak tsanawiyah?'"
456389447773212673,2014-04-16 11:11:38,"b'Asli, ih. Tapi balikna nagdorong deui RT @YogaPHB: Duitna palsu sih'"
456389321419788288,2014-04-16 11:11:08,"b'Mang @SBYudhoyono hayu ah, ngaliwet deui. Tos lami yeuh'"
456383698946895872,2014-04-16 10:48:47,"b'Asik euy!! RT @Rmahesaa: Yah haturnuhun , berkat ayah abdi janten wanoh sareng @RatnaSuwarto , hahahahaaa\xe2\x80\x9d'"
456381868439388160,2014-04-16 10:41:31,b'@ifriri @rmahesaa ha ha ha'
456381747848949761,2014-04-16 10:41:02,b'Sampeu mah jaman Jepang RT @dent_SID: Sampeu jeung dinosaurus heula mana aya di Dunya?\xe2\x80\x9d'
456377629478629376,2014-04-16 10:24:40,"b'Eh, bade ngelmu weduk ka mana nya? Hoyong RT @sobiburrohmat: Heuh keneh"" kehed haha,sur iraha rencana ek ka banten ?'"
