id,created_at,text
590561997835612160,2015-04-21 17:05:27,"b'Saleresna hirup di dunya teh mung saukur heureeuy,namung tetep kedah diaping ku elmu kaimanan sareng kataqwaan #rebonyunda'"
463909305343696898,2014-05-07 05:12:52,b'RT @jonkgilbert25: @ridwankamil punten bp rupina bp nangtoskeun @ReboNyunda mung kngge th payun d skola b.sunda bde d teu ayakeun kmh pa ki\xe2\x80\xa6'
463872093122068481,2014-05-07 02:44:59,"b'Caang mentrangg,sing sumanget kana jiwa sareng raga tong hilap #rebonyunda'"
458883242653782017,2014-04-23 08:21:05,"b'Ashar heula baraya,tong hilapp 4 rokaat #Rebonyunda'"
458588446248820736,2014-04-22 12:49:40,"b'Bandung angger juara,tong rungsing ku macet,tong rungsing ku banjir da ngjlankeun kwajiban mah kdah ikhlas tong hlap oge enjing #rebonyunda'"
453708542986293248,2014-04-09 01:38:40,b'Tong hilap oge engke di TPU poto selpi bari manyunnya :D #ReboNyunda'
453708011119210498,2014-04-09 01:36:34,"b'Wilujeung enjing,mangga nu teu acan nyoblos geura nyoblos tong npi salah milih calon pamingpin daerah dll,tong hilap oge nyunda #ReboNyunda'"
451155932584497152,2014-04-02 00:35:31,"b'Wilujeung enjing,tong hilap dinten rebo dintenna urang bandung ngangge bhasa sunda #ReboNyunda'"
451155724945481728,2014-04-02 00:34:41,"b'Dituntun kusantun,dipiara kurasa,dilatih ku peurih,diasuh ku lungguh,diasah ku kanyaah,disipuh ku karipuh #ReboNyunda'"
448707827989635072,2014-03-26 06:27:37,b'RT @infobdg: #ReboNyunda dinten ayeuna ku Mahasiswa STSI Bandung . Rahayu  http://t.co/vTQGQzSKJl | @meinarrr'
448706818257072128,2014-03-26 06:23:36,b'cingcirining tong hilap taruang bilih salatri :) #ReboNyunda'
448706589726232576,2014-03-26 06:22:42,"b'@firdausyudi98 cc bapa @ridwankamil,nyunda pisann :)'"
448706424101564417,2014-03-26 06:22:02,b'@enengdesign aminn :)'
448706336092467200,2014-03-26 06:21:41,b'RT @firdausyudi98: @Rebonyunda http://t.co/6bvzrqa51F'
448610920869023744,2014-03-26 00:02:32,"b'Tong hilap oge,ayeuna dinten rebo dintenna urang bandung nganggo bhasa sunda toel bapa @ridwankamil #ReboNyunda'"
448610631164260352,2014-03-26 00:01:23,"b'Wilujeung enjing,nu bade ngajalankeun aktivitas tong hilap sarapan,ngadoa,sing tartib dijln da urang sunda mah saromeah #ReboNyunda'"
446249235575349248,2014-03-19 11:38:03,"b'RT @infobdg: #lalinBDG 18.30 : simpang gedebage bypass macet parah,berlaku buka tutup searah. gedebagenya banjir| @mkemalsoedarja http://t.\xe2\x80\xa6'"
446246665012277249,2014-03-19 11:27:50,"b'Wilujeung wengi,nu bade aruih sing hati2 dijalanna dupi macet sing sarabar da urang bandung mah saromeah #ReboNyunda'"
446216482230259712,2014-03-19 09:27:54,b'Bobodoran heulaa lurr #ReboNyunda'
446214125832523776,2014-03-19 09:18:32,"b'Tah saur mang @tribunjabar: Hujan lebat disertai petir kawasan Soekarno Hatta dan sekitarnya. http://t.co/2PyJt0xCUI""'"
446213479867764736,2014-03-19 09:15:58,"b'Hujan deui,kanggo nu ngangge motor kade hati2 #ReboNyunda'"
446192027768594432,2014-03-19 07:50:43,b'Mudah2han dinten ieu sareng kapayunna banjir tos teu aya deui dikota bandung aminn @ridwankamil #ReboNyunda'
445997789018071040,2014-03-18 18:58:53,"b'RT @infobdg: Omat! Harewoskeun, tiayeuna keneh hayu urang sasarengan ngamumule basa Sunda #ReboNyunda #RandaKembang http://t.co/c6heDeccdY'"
445988768731115520,2014-03-18 18:23:03,"b'RT @rani_angga: @ClickBandung @Rebonyunda @ridwankamil enjing mah rebo sajuta parit aman,jntn moal aya deui nu ka candak palid sareng jalan\xe2\x80\xa6'"
445982543104716800,2014-03-18 17:58:18,b'@Ikiw19_ parantos kasep :D'
445945668419321856,2014-03-18 15:31:47,"b'Enjing dintenna nyunda juara,tong hilap urang bandung pasti nyunda :D #Rebonyunda toel bapa wali @ridwankamil'"
445943763320332289,2014-03-18 15:24:13,"b'Dupi bobotoh barade putsal,mangga dongkap enjing  ka lapang meteor antapani tabuh 4 sonten cc @suarabobotoh @persibonline @PersibTwit'"
445627372650647552,2014-03-17 18:26:59,b'RT @PersibTwit: (((DUARRR))) @mengbal @maung_tempur @VikingABS @Rebonyunda http://t.co/025Ic1O6fG'
443656619772379136,2014-03-12 07:55:55,b'@ariswebb @adamhu53in parantos kang :D'
443655831679410176,2014-03-12 07:52:47,"b'RT @putra_raissa: @Rebonyunda wilujeng siang baraya,mugia sadaya aya dina kasalametan sinareng kasehatan'"
443647126955110400,2014-03-12 07:18:12,"b'deui cing,diasupkeun kalah kaluar naon cing? #Rebonyunda'"
443646822876467200,2014-03-12 07:16:59,b'aduh katebak :( RT@ariswebb dtk Kacalikan @adamhu53in  RT @Rebonyunda: tatarucingan yuuu.. kaca naon anu beurat? #Rebonyunda'
443646313381756928,2014-03-12 07:14:58,b'tatarucingan yuuu..\nkaca naon anu beurat? #Rebonyunda'
443460200822239232,2014-03-11 18:55:25,"b'dinten rebo baraya,tong hilap dinten rebo dintenna urang bandung ngangge bahasa sunda #Rebonyunda'"
440900738890227712,2014-03-04 17:25:02,"b'tong hilap dinten rebo,dintena urang sunda..sauran bapak wali @ridwankamil :D #rebonyunda'"
438876036668071937,2014-02-27 03:19:35,"b'Urang sunda ge tiasa nyarios inggris,hey long time no see,where are you? #kamisinggris'"
438494538437390336,2014-02-26 02:03:39,"b'Di tuntun ku santun di piara ku rasa,dilatih peurih dilatih ku lungguh,diasah ku kanyaah disipuh kukaripuh.. #Rebonyunda'"
436085838028353536,2014-02-19 10:32:20,b'Cingcirining...'
436052635481698304,2014-02-19 08:20:24,"b'Teu karaos tos adzan ashar deui,tong hilap opat rokaat...#Rebonyunda'"
435775781608759296,2014-02-18 14:00:17,"b'tonghilap enjing dinten rebo,dintenna urang sunda #Rebonyunda'"
405524812165947392,2013-11-27 02:33:44,"b'Cing ngacung nu arangkat ka ciamis,nu bade nyaksian persib vs persikab #rebonyunda'"
405493489250484225,2013-11-27 00:29:16,"b'Kopi + rokok + mukaan koran,bari ngantosan tukang bubur #rebonyunda'"
