id,created_at,text
847122501138235392,2017-03-29 16:25:17,b'mangga di follow di Ig (at)galura_rasa . seungit keneh . urang ramekeun diditu didieu lah. https://t.co/4nausq74a8'
847094908993220610,2017-03-29 14:35:39,"b'Mhehehe, nembe kabuka deui Kang. Hilap nyimpen konci ""@eman_kuya: @galura_rasa bag\xc3\xa9a kang,, kamana wa\xc3\xa9 nemb\xc3\xa9 katingal twitna?,,""'"
847093719450857473,2017-03-29 14:30:55,"b'Sing kiat geulis, prak gera balaka naon nu aya dina jero dada. Ulah dugikeun nutupan rasa, kedalkeun ku salira, caturkeun ulah duginka nyesa'"
847092902807257089,2017-03-29 14:27:40,"b'Mun anjeun percaya kana papasten Gusti, rupina moal dugika ngajak paturay, nu matak nyieun panon cireumbay - RNK'"
847092646136889346,2017-03-29 14:26:39,"b'Mun anjeun percanten kana gurat takdir, rupina moal patos beurat nandangan lara nu unggal usik moekan urang duaan - RNK'"
847092106380271616,2017-03-29 14:24:31,"b'Geulis, sing tiasa nampi kanyeri, nu unggal usik datang ti ieu diri,mugi asih urang lana dugi dongkapna pati, abadi walagri saumur bumi -RNK'"
847091458653876224,2017-03-29 14:21:56,"b'Geulis, mugia sabar janten ubar, ikhlas mulas unggal ngahelas, hapunten tina samudaya kalepatan salami ngalakonan sagara urang duaan - RNK'"
774989046867070976,2016-09-11 15:12:42,"b'RT @badrawati309: @galura_rasa Katumbiri mere ciri ku warni, langit seungit ku wanci, sagara mere beja ku galura rasa \xc2\xa4 Aikusumah Ciamis'"
774989026830856192,2016-09-11 15:12:37,"b'RT @badrawati309: @galura_rasa. Dahaga rasa nu kungsi werat, lapar katresna nu ngalaman pegat, kiwari ngabukti ku prihatin nyata dina sugem\xe2\x80\xa6'"
728226709779025921,2016-05-05 14:15:52,"b'Mangga Jungjunan, najan hat\xc3\xa9 teu narima, najan nyaah mepekan rasa, da puguh kieu kuduna, Bagja dipungkas tunggara.'"
728226438982172673,2016-05-05 14:14:47,"b'Rumasa jungjunan, muwuh diri sarwa basajan, mitresna teu ngukur jajaran, lir miharep kalangkang bulan.'"
728226239681421313,2016-05-05 14:13:59,"b'Kunaon salira teu tuhu, kana jangji nu kaucap sa\xc3\xa9stu. Kapahung tresna baheula, nu ceuk Anjeun mawa tunggara.'"
728225666580111364,2016-05-05 14:11:43,"b'Teu sangka Jungjunan, gening rasa nu tumetep mask\xc3\xa9t, ayeuna bet diwewej\xc3\xa9t. Bersihna ati miasih bet diroroc\xc3\xa9t, bagja kamari ilang teu dir\xc3\xa9r\xc3\xa9t'"
728225029549228032,2016-05-05 14:09:11,"b'Sadrah dina galura cinta Salira, seja mitresna saparat mangsa.'"
728224826586894337,2016-05-05 14:08:23,"b'Teu karaos Jungjunan, kebekna rasa nu bumetah dina dada ngalantarankeun sukma ilang kawasana'"
728224013458100224,2016-05-05 14:05:09,"b'Haturan Jungjunan,gening lalakon t\xc3\xa9h geus sakieu jauhna.Ngembi alas mangsa nu dipapa\xc3\xa9s kacinta.Malipir mapay wanci nu pinuh ka asih. #Galura'"
722079586306011138,2016-04-18 15:09:23,"b'Sajak ""Black Sabbath"" karya ti Kang Godi Suwarna, medal taun 1992.'"
722079319867023360,2016-04-18 15:08:20,"b'Hiji mangsa: sar\xc3\xa9r\xc3\xa9a tingkol\xc3\xa9ang naringgang leutak naraka,\xe2\x80\x9ds\xc3\xa9tan! Duh, s\xc3\xa9tan! kuring utusan salira!\xe2\x80\x9d ceuk anjeun binarung imut.'"
722079115914792961,2016-04-18 15:07:31,b'Ting salemprung bari t\xc3\xa9mbong silih t\xc3\xa9mprang mun pareng pasilang l\xc3\xa9ngkah.'
722078969487446017,2016-04-18 15:06:56,"b'Haseup ganja ngebekan dada rumaja. Haseup n\xc3\xa9r\xc3\xa9k\xc3\xa9lan uteuk. Br\xc3\xa9h, pirang-pirang panyileukan warna-warni. Bring, sar\xc3\xa9r\xc3\xa9a ngarudag fatamorgana.'"
722078615278465026,2016-04-18 15:05:32,b'Anjeun ngahaja ngebulkeun h\xc3\xa9ktaran mariyuana sangkan haseup ngeput jagat pararumaja nyiluman.'
722078010313060353,2016-04-18 15:03:07,"b'\xe2\x80\x9cMajuuuuuuu! Maju di jalan s\xc3\xa9taaan!\xe2\x80\x9d opat oktap anjeun nyorowokkeun kecap. Breng, mangpirang-pirang rumaja tingbelesat ngawang-ngawang;'"
722077754343067648,2016-04-18 15:02:06,"b'Basa gumuruh dram ngendag-ngendag saban l\xc3\xa9ngkah, mangpirang-pirang rumaja t\xc3\xa9mbong kukuna rangg\xc3\xa9t\xc3\xa9ng, t\xc3\xa9mbong sihungna nyangg\xc3\xa9r\xc3\xa9ng,'"
722077574734581760,2016-04-18 15:01:24,"b'Wah, rumaja nyarihung dajal, ngincer kolot s\xc3\xa9wang-s\xc3\xa9wang.'"
722077310061383682,2016-04-18 15:00:20,b'Laju mangpirang-pirang rumaja ngageremkeun sabda dajal ka dunya nu nganaraka. Sihung anjeun sihung dajal ngincer saban wening batin.'
722076910654586881,2016-04-18 14:58:45,b'Kapan anjeun nu nyorowokeun sora dajal saban wanci. Sora sora\nJerit gitar pamapas saban mamaras.'
719929875365138432,2016-04-12 16:47:12,"b'Hiji raga pangupa jiwa nu ayeuna paanggang. Panutan, hampura mun kaasih teu tamplok sakumaha kuduna. #Galura'"
719929269493739520,2016-04-12 16:44:48,"b'Aya tapak, aya lacak, nu kiwari kari nineungna. Aya kaasih nu pegat jeung beubeulahan hate. Nu remen datang maturan dina lamunan. #Galura'"
719928929864187905,2016-04-12 16:43:27,"b'Nganteur lamunan mapayan tapak nu geus kaliwat. Amis-amis na hirup geus kasorang, pait peuheur lalakon geus liwat di pilampah. #Galura'"
719541883555356672,2016-04-11 15:05:28,"b'Bag\xc3\xa9a panutan,bener ceuk b\xc3\xa9ja cenah jodo mah moal kamana. Kabuktian gening ayeuna, nyaah mah teu ingkah najan harita pareng papisah. #Galura'"
719541410697846784,2016-04-11 15:03:35,"b'Peuting ieu Nung, laksana urang tepang deui. Nyarita sagala nu tumiba bari suka seuri, nyinglar sono nu geus lawas disideum na ati. #Galura'"
719540603214635009,2016-04-11 15:00:22,"b'Peuting ieu Nung, cahya bulan deui n\xc3\xa9mbongan. Bijil semu \xc3\xa9ra disatukangeun m\xc3\xa9ga. Cigah nu m\xc3\xa9r\xc3\xa9 harepan y\xc3\xa9n katresna bakal tinekanan. #Galura'"
719539251717623808,2016-04-11 14:55:00,"b'Lila urang kudu paanggang, dibarengan ukur ku kalangkang. Nu karasa g\xc3\xa9 ukur tapak cidra jeung rasa nyaah nu h\xc3\xa9s\xc3\xa9 pikeun leungitna. #Galura'"
719538280153264128,2016-04-11 14:51:09,"b'Lawas urang pipisahan, dipaksa megatkeun duriat alatan ku teu sajalan. Ngaliwatan rebuan carita, mapay mangsa nu jauh ti bagja. #Galura'"
668112218001530880,2015-11-21 17:02:20,"b'Cing sabar jungjunan Akang, ulah melang ulah honcewang. Hiji waktu guratan nu bakal midang, midangkeun bungah pangbeberah rasa hariwang.'"
668111189038108672,2015-11-21 16:58:15,"b'Hampura akang can sanggup balaka, meureun manah nu tacan sugema. Keun urang nganti waktos anu waluya, pikeun urang duaan midangkeun rasa.'"
668110113366872064,2015-11-21 16:53:58,"b'Najan gogoda teu weleh natrat, akang teu niat meunggaskeun duriat. Sabab antara urang teu aya nu lepat, Akang mah mah tetep tibelat.'"
668109188250255360,2015-11-21 16:50:18,"b'Geulis, nu ngancik dina ati. Akang moal arek sulaya jangji. Najan wanci nu datang acan pasti, tapi deudeuh bakal tetep maneuh nepika pati.'"
657206745962450944,2015-10-22 14:47:53,"b'Deudeuh teuing Panutan, gening mayapada mah samar katinggalna. Pangharepan ukur tiasa palid dina hal\xc3\xa9ongna gelik suling nu nyuatan ati.'"
657206372870696960,2015-10-22 14:46:24,"b'Jeung deuih, tong ngarasa aral subaha nalika nandangan kapeurih diri. Margi Insha Allah dijauhna, bakal aya kabagjaan nu nganti nganti.'"
657205925787234305,2015-10-22 14:44:37,"b'Ulah sot\xc3\xa9h aya cimata nalika kedal ucap pileuleuyan, sabab masih panjang lalakon di kahirupan .'"
657205550095032320,2015-10-22 14:43:08,"b'Heug jungjunan, bral gera miang ! Gera papag balebat pangharepan ku imut nu marahmay.'"
657194410803793920,2015-10-22 13:58:52,b'maca kulhu geni bah kareueung mah @DulurBDG'
657194272265908225,2015-10-22 13:58:19,"b'Panggeuing di reka impian,basa tresna mulas lamunan.Galura pangharepan\nmimiti ngajauhan. Gera sadar jungjunan, Gera cengkat tina lamunan.'"
657193587822559232,2015-10-22 13:55:36,"b'Hate kahieuman parende, ngebatna harepan gening ukur mepende. Kalangkang asih nu paantay antay,\nteu ngajirim ngan samet gugupay.'"
657193117481766913,2015-10-22 13:53:43,"b'kiwari tresna geus kari bangkarak, perlaya ku reka pangwakca. kiwari geus kieu buktina, sakabeh jangji ukur dipungkas ku sulaya.'"
657190397911830528,2015-10-22 13:42:55,"b'Sakeclak sakeclak ibun cimata murag kana lahunan. Naha bet kieu ? Hiji hiji harepan ngajauhan, mancal ka alak paul nu hamo bakal kadongkang.'"
657189992708509697,2015-10-22 13:41:18,"b'Nunggeulis na tepis wanci, diparende ukur ku simpe. Ngarampa leuwangna rasa.\nKasedih jeung kaasih,kasono jeung kapeurih minuhan rohang hate.'"
654678328951963649,2015-10-15 15:20:51,"b'Diri bakal tetep nganti, manjangkeun asih nu bihari.\nNyambungkeun tali katresna, pikeun\nNaratas jalan kabagja.'"
654676259478212610,2015-10-15 15:12:38,"b'nyengcelang nyaangan ti ka anggangan, teu kasilih ku poekna peuting. nambih nambih rasa asih, sok sanaos keur patebih.'"
654675654688935936,2015-10-15 15:10:14,"b'Haturan wilujeng wengi Panutan. Najan bulan teu kat\xc3\xa9mbong mapa\xc3\xa9san, tapi raray salira ngahias marengan b\xc3\xa9ntang.'"
650144546735583233,2015-10-03 03:05:13,"b'Katumbiri di langit Jayanti siga nu surti. Aya nu ngancik na ati sanubari, nu pasrah jeung sumerah, mawa guligah namperkeun kabungah.'"
650144290119639040,2015-10-03 03:04:12,"b'Sabot reureuh di sisi basisir, raga ngol\xc3\xa9ang asa honc\xc3\xa9wang. Guligahna ombak nu motah, ngal\xc3\xa9nd\xc3\xa9an kanu implengan.'"
650144022112026624,2015-10-03 03:03:08,"b'Sabot reureuh di sisi basisir, basisir laut jayanti, asri. Kat\xc3\xa9mbong katumbiri warna-warni, melengkung asa nutug jajantung.'"
649516414542479360,2015-10-01 09:29:15,"b'hujan binarung guludug, nyipta gumuruh dina kalbu. nu satia migandrung, tresna gumulung.'"
649515987587301376,2015-10-01 09:27:33,"b'RT @edi_KRND: Peuting ieu, katineung urang ngalalakon dina implengan. Imut salira mepeka dina mangsa emutan ngalayang nganjang. ~ @galura_r\xe2\x80\xa6'"
649515877872758784,2015-10-01 09:27:07,"b'Hujan, lir ngajadi guligah rasa. nu teu kabendung muguranna. dina unggal keclakna, aya rasa nu sawirahma.'"
648865642666332160,2015-09-29 14:23:19,"b'Urang gigihkeun tali nu agung ku harti, urang asakkeun tali nu weruh ku aj\xc3\xa9n, tali silaturahmi.'"
648865422700232704,2015-09-29 14:22:26,"b'Keun panutan, da moal r\xc3\xa9k miceun asih, moal ar\xc3\xa9k nyinglar rasa.'"
648864752295260160,2015-09-29 14:19:46,"b'Hampura akang, Nung. Lain r\xc3\xa9k nyapirakeun luhungna cinta katukang. Da gening lalampahan urang katungtung waktu.'"
648864302695186432,2015-09-29 14:17:59,"b'Kiwari anjeun gugupay ngumbar katineung, ng\xc3\xa9nt\xc3\xa9p deudeuh nyulam katresna. Ngintun eunteung paniir wanci, ngagudir ati ngendagkeun rasa.'"
648863694957383681,2015-09-29 14:15:34,"b'Najan ukur saliwat, tapi ning sukma ngaraos tibelat. Najan ukur sar\xc3\xa9r\xc3\xa9t, gening sukma t\xc3\xa9h geus pacant\xc3\xa9l.'"
648862926233714688,2015-09-29 14:12:31,"b'Tresna jeung cinta t\xc3\xa9h gening lain banding lain baya. Sabab cinta leuwih ti cinta, sabab deudeuh leuwih ti deudeuh.'"
