id,created_at,text
1095147270725615616,2019-02-12 02:27:10,b'Alm. Kang Ibing - Sarua Di Mesjid Mah https://t.co/VITdLI05AE'
1074601622460747776,2018-12-17 09:46:06,"b'Papatah kolot;\n\n""Omat ulah kawin ka awewe salembur, Cukup ka hiji awewe wae.""'"
1011118142007926785,2018-06-25 05:25:25,b'Manusa Maot Ngan Dipakean Kafan.\n\nPertarosan: \nTimana Kuntilanak Meunang Daster?'
992672059279867904,2018-05-05 07:47:16,"b'RARIBUT WAE RAKYAT GARELO TEH, SUGAN KUDU KU DEWEK PRESIDENA IEU MAH. \nGIR RAK MINGGIR TABRAK!!'"
991647935350718464,2018-05-02 11:57:46,"b'puji sukur kanu kawasa, poe ieu kuring parantos dikuatkeun tina godaan balap liar.'"
991210534929293312,2018-05-01 06:59:41,"b'#2019GantiPresiden can pasti lur, nu geus pasti mah #2019GantiKalender \xf0\x9f\x98\x82 yakin 100%'"
935205013713952768,2017-11-27 17:53:45,b'@sagalaedan twit sesat ieu mah \xf0\x9f\x98\x82'
935204723602243584,2017-11-27 17:52:36,b'@fuadkas solusina nyaeta dahar bari ngising'
919728595827752960,2017-10-16 00:55:59,"b'DI TAMPIK MITOHA SABAB BEDA KAYAKINAN\n\nUdin : Mat, uing menang beja ti mang adi maneh, cenah maneh di tampik deui... https://t.co/5FNOVjhgqt'"
912892147212283904,2017-09-27 04:10:23,"b'Nyasab ka Cikidang, Jawa Barat, Indonesia https://t.co/sTavHsSRF7'"
912169737949286401,2017-09-25 04:19:47,"b'Dulur... ulah sok ngaku-ngaku resep ngabako pami can tiasa jiga si aki ieu, tos liren we nyesep bakona, ulah sok... https://t.co/gUidyrRI67'"
903815759733784576,2017-09-02 03:04:03,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
903797236433375234,2017-09-02 01:50:27,"b'qurban sapi keur 7 urang, pami qurban t-rex keur braha urang? cik ajengan aya nu apal teu? \n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
902698520334950401,2017-08-30 01:04:33,"b'LALAKI SAJATI\n\nKacaritakeun tengah poe aya 4 mojang geulis ngojay di situ gede, teu lila aya aki-aki datang... https://t.co/TsB17lkUpD'"
901389826737319938,2017-08-26 10:24:16,"b'*Asal Usul Cilaka 12*\n\nDina awak sakujur teh aya dua unsur, nyaeta: *Jasmani* jeung *Ruhani*.\n\nDina bahasa sunda... https://t.co/sw4QCO1UOa'"
901361875064987650,2017-08-26 08:33:12,"b'LEUNCA NGALEUNGITKUEN BAU PEUTEUY/JENGKOL\n\nSupados teu kaangseu bau upami urang neda peuteuy atanapi jengkol,... https://t.co/YtYYAyggy7'"
899898336777392128,2017-08-22 07:37:37,b'https://t.co/9O26UWbFMW'
899574228885790721,2017-08-21 10:09:44,b'TERCIDUK https://t.co/hdo5gWLm1s'
899573677259341824,2017-08-21 10:07:32,b'Budak saha ieu? Hayang Kawin :D https://t.co/bwKslpo49U'
898132068110016512,2017-08-17 10:39:06,"b'Udin : ""Bu, leres kitu Indonesia teh di asean?""\n\nBu Guru : ""Nya enya atuh, na kunaon maneh make nanya kitu? pan... https://t.co/kcfJJ96Qlk'"
896751568946577414,2017-08-13 15:13:29,"b'HAYAM CURHAT KA SAPI\n\nHAYAM : ""Pi, urang mah teu resep ka jelema teh, pirage macokan pare meni digebahkeun,... https://t.co/pva081YCS2'"
896194671096889344,2017-08-12 02:20:34,"b'AYA 6 SIPAT JURIG NU BISA DIJADIKEUN CONTOH KEUR MANUSA\n\n1. TUYUL \xe2\x86\x92 leutik keneh tos mandiri, tiasa milarian... https://t.co/W67bbnlePb'"
891316814457610240,2017-07-29 15:17:43,b'[ Vampir Ngadu Jajaten ]\n\nKacaritakeun aya 3 Vampir Sunda keur kopdar di kawah putih rek ngadu jajaten.\n\nVampir... https://t.co/Da8hRX61PJ'
891286198727069697,2017-07-29 13:16:03,"b'Kenging email ti Dr. Boyke judulna ""Manfaat Memegang Titit"" nyuhunkeun ditranslate kana basa sunda, aya nu kersa... https://t.co/l8qahy4oTQ'"
890381595286175744,2017-07-27 01:21:29,b'TOSFL (Test of Sundanese as Foreign Language) \xf0\x9f\x98\x83 jawab pakai hati saja.\n\n1) Jatuh tersandung akar pohon saat... https://t.co/O60XMt8d9T'
890376877067583489,2017-07-27 01:02:44,b'POSISI BARU YANG HOT.\n\nIstri : Bapa sayaaaang.. dinten ieu pan libur nya bapa teh.. urang nyobian posisi anyar... https://t.co/jWSaL1P0va'
889413154811166720,2017-07-24 09:13:15,"b'Di SMA SUKANGENAH KADUNGORA guruna istri sadayana, nyaeta :\nBisa\nBu Ruti, S Pd\nBu Tati, S Pd\nBu Juriah, S Pd I\nBu... https://t.co/GqLhkvp0hC'"
889412437333622784,2017-07-24 09:10:24,"b'LUNA MAYA JADI GURU\n\nNumutkeun berita ahir-ahir ieu, Luna Maya anu aktris pelem tea, ceuk beja bakal alih profesi... https://t.co/6efoZQPTwH'"
885159458719936514,2017-07-12 15:30:35,b'TB. A.M.R. SUTISNA WIJAYA KUSUMA https://t.co/9a7Qz1zya9'
884618200184274946,2017-07-11 03:39:48,"b'nyata pisan kabuktian ku sorangan, cara dahar awewe jeung lalaki jaaaaauuuhhh pisan bedana.\nlalaki: nyuci tangan,... https://t.co/JQWJgswjYK'"
870719798967017472,2017-06-02 19:12:31,"b'@eae18 @Sok_Puitis maaf, bukan tertipu afi, tapi sengaja membuat tipuan afi, hahahahaha.. afi sulapan, faham?'"
870046514810191872,2017-05-31 22:37:08,b'@Bodorkeun wan aya nu ngageroan maneh @DivHumasHantu'
868416599006388225,2017-05-27 10:40:26,"b'wilujeng buka puasa, untung nya urang cicing di indonesia \xf0\x9f\x98\x82 taun hareup urang ngajaran puasa di chili.. https://t.co/xATkjsOBLp'"
867900157207003136,2017-05-26 00:28:16,"b'Ciri ciri jelema stress beurat.\n1. Di Warteg : \n- Aya hayam bu?\n- Aya pa, bade pesen sabaraha?\n- Usirlah! Saya... https://t.co/6Q2A9yDdSu'"
859796956222078976,2017-05-03 15:49:03,b'Cikeneh alias bieu pisan di lembur kuring rea budak ngora ngariung di hiji wangunan tilas walanda kusabab aya... https://t.co/zkWpfAFsZq'
857548815951249408,2017-04-27 10:55:44,"b'Cik ah.. ka para wargi Urang Sunda Asli sadayana, kinten-kintena anu nomer sabaraha pibojoeun nu cocok keur sim... https://t.co/27ACDrNEfr'"
855360437784788995,2017-04-21 09:59:54,b'kudu kumaha atuh nya? bingung ngariasna ge :v\ndi wedakan pipina saeutik da teu pantes.. https://t.co/liWMm6krN0'
855358789830062081,2017-04-21 09:53:21,"b'Nyi Odah: neng apal teu ka ibu Kartini?\nSi Neng: duka ma, teu apal..\nNyi Odah: matak ge sing rajin maca buku... https://t.co/KV57qfb5IJ'"
833477446137556992,2017-02-20 00:44:43,"b'HP butut mun dipake Permainan wae pasti PANAS jeung tereh rusak, komo deui nu dipake Permaian HATE nu geus rusak.'"
832556309429907457,2017-02-17 11:44:26,"b'Cipatujah 17 Februari 2017, Longsor Akibat Hujan.\n\nPENEMUAN TENGKORAK DI DAERAH CIPATUJAH.\n\nDulur-dulur atos aya... https://t.co/xSyiQgUSyW'"
822994882033651712,2017-01-22 02:30:45,"b'BAHAYA lamun diantep wae, komo dipiara mah bakal ngarusak nagara, Bukti GMBI KOMUNIS GAYA BARU.'"
822977779792629760,2017-01-22 01:22:47,"b'Matak ge ulah nyanyandak Urang Sunda, ulah sok ngaku-ngaku ngawakilan Urang Sunda, dimana-mana diberitakeun GMBI... https://t.co/zSHH2QBhjJ'"
822443104028327936,2017-01-20 13:58:10,b'Punten ka #GMBI pami bade ngahasut atanapi anarkis atanapi bade merangan ka #FPI omat ulah nyanyandak nami Urang... https://t.co/rXS6r4TrUf'
821706788357582849,2017-01-18 13:12:19,"b'Omat ulah kabobodo tenjo kasamaran rupa, ulah kabawa sakaba-kaba, kade bisi jadi fitnah, ayeuna keur... https://t.co/SaPUHNGN2Q'"
819046825055240192,2017-01-11 05:02:34,"b'Ayam Jago Asli, Sanes Jago Imitasi https://t.co/gAo2q7yKTU'"
818398822300729344,2017-01-09 10:07:39,b'Saya telah memasang foto baru ke Facebook https://t.co/ja3NVd7E3r'
816611660911624192,2017-01-04 11:46:06,"b'Demi cinta, banjir ge di tarabas we lur.. https://t.co/0IRoyackOs'"
797006784502198272,2016-11-11 09:23:19,"b'tengah poe aya ibu2 ngliwat ka jalan desa, eta reuwas kacida nalika ngareret ka sisi katingali aya mayit ngagoler... https://t.co/f65x5dR2cD'"
795997071744516096,2016-11-08 14:31:05,b'Saya telah memasang foto baru ke Facebook https://t.co/9p39aqYh3I'
772702728254398464,2016-09-05 07:47:41,"b'""kade ka wargi sunda sadayana, ulah gaduh cita-cita hoyong janten jawara, sabab di alfamart mah beas moal tiasa dipeser ku peureup."" #wasiat'"
772622639818903552,2016-09-05 02:29:26,"b'SETAN HAYANG PENSIUN\n\nMalaikat : ""Tan, kunaon maneh gawe teh ngahuleng wae, meni weuh gairah pisan hirup teh,... https://t.co/o87IHGVdhV'"
744770679493386240,2016-06-20 05:55:41,"b'Ambu: Bah, tiasa teu pami buka puasana digantos nganggo korma, ulah ku bako.\nAbah: Muhun Ambu atos dicobi ku Abah... https://t.co/Gk98AQ8jAu'"
742363029422014465,2016-06-13 14:28:33,"b'geuleuh maca pesan : mensen we mun hayang dipolbek, ah unfollow we kuwingah, beres.. ahahahaha.. jahat aing..'"
738534860843667456,2016-06-03 00:56:46,"b'duh gusti, lila-lila pirudeteun alam dunya.. \nkumaha ieu dulur..? https://t.co/otk4xw9BZX'"
735477999449972737,2016-05-25 14:29:54,b'MengAngklungkan Dunia https://t.co/RHf7lAyUdX'
735452856749166592,2016-05-25 12:49:59,b'bungah ku angklungna :D\n\n#angklung https://t.co/u6lGXWqfHk'
725523144371396608,2016-04-28 03:12:51,b'BATU KUYA BOGOR DIMANAKAH ENGKAU SEKARANG ????\n\n batu kuya DI curi dan di jual oleh bule asal korea tahun 2008... https://t.co/7NZbKybEiW'
724520289804013568,2016-04-25 08:47:52,b'Ampun Nyai.. https://t.co/Y7zzsFY8b3'
715461311791034369,2016-03-31 08:50:44,b'Jurig. https://t.co/Jvt2bkPiPh'
715030804745818112,2016-03-30 04:20:03,b'iket sunda https://t.co/p9B0LIoNd5'
715028867220643841,2016-03-30 04:12:21,b'I posted a new video to Facebook https://t.co/3NBWAfccHS'
651653745806286849,2015-10-07 07:02:14,"b'Basa umur As\xc3\xa9p 23 taun, man\xc3\xa9hna kawin ka randa geulis anu umurna 35 taun, randa \xc3\xa9ta t\xc3\xa9h boga anak parawan umur 12... http://t.co/l7zPjAqwlS'"
586697052471500800,2015-04-11 01:07:32,b'@Sugih_Mollucas teu ah'
586696978127425536,2015-04-11 01:07:14,b'@ForumBsunda harirup keneh urang sunda?'
586695774093750272,2015-04-11 01:02:27,"b'ngadoa: mugi ditebihkeun ti ibu2 anu momotoran bari ngalamun, anu masihan lampu sen ka kenca padahal mengkolna mah ka katuhu, amiiin..'"
566091837275119617,2015-02-13 04:29:46,"b'Sanajan di indonusia nu katelah ngan Candi Borobudur jeung Prambanan hungkul, kanyataana mah Candi teh lolobana... http://t.co/IzSic5UDde'"
566080269342760960,2015-02-13 03:43:48,b'I posted a new photo to Facebook http://t.co/GoWxC3N4MT'
535367669579386880,2014-11-20 09:42:53,b'@BariaDzahra @RisalahRasul siaaaaaap'
483905824084209664,2014-07-01 09:31:53,"b'Siti : ""Halo, Asalamualaikum, Mekdi""\nCS : ""iya, mau pesan apa mbak?""\nSiti : ""Ayam Goooreng""\nCS : ""Mau dada atau... http://t.co/7VA5CTOFuQ'"
483893678008967168,2014-07-01 08:43:37,b'https://t.co/JXHUUcUbmI http://t.co/SfJUHo6X77'
471892175962124289,2014-05-29 05:53:56,b'@kompasiana wkwkwk'
471239240169164802,2014-05-27 10:39:24,b'@hdrhmn pasti hp hejo edisi ramadhan hahaha'
471211745680187394,2014-05-27 08:50:09,b'@hdrhmn nya meureun taros we kumaha kahoyong pun hp hahaha'
471210524160438273,2014-05-27 08:45:18,b'@hdrhmn wkwkwk alus bray nitah ka mahjid'
