id,created_at,text
1043875289854439424,2018-09-23 14:50:38,b'test test..aya keneh kitu polower kuring jaman kiwari?mun aya rek dimimitian deui ah..'
491534630500065280,2014-07-22 10:46:02,b'Pa habib jeung mang tatang. Teh marwah jeung mang yayan. Adzan maghrib can jol datang. Sop buah geus ngagupayan.'
483002056391671808,2014-06-28 21:40:38,"b'RT @BabahAcep: ""@sundasisindiran: mangga,boh bilih aya nu bade naroskeun perkawis #basasunda ..insya allah ku sim kuring dibantos..""'"
482865460505894912,2014-06-28 12:37:51,b'mawa hurang sawareh..hayu urang taraweh.. | ngke tos taraweh urang sisindiran.. :)'
482846237616402432,2014-06-28 11:21:28,b'Barayaaaaa....araya keneh nu inget ka kuring kituuu??duh geus lila yeuh tara manco..'
482842688933199873,2014-06-28 11:07:22,b'Urang Maghrib Heula aaaahhhh....'
410811315788075009,2013-12-11 16:40:24,b'Tah Bandung teh gaduh Nonoman-Nonoman #KreatiPisan kawas barudak @CreaTVBdg. Nyieun video kieu sagala https://t.co/km9Vrex1Dz'
410799749621481472,2013-12-11 15:54:27,b'Tah ieu bukti Bandung #KreatiPisan teh. aya Channel TV (online broadcasting) ti @CreaTVBdg . Sok Mangga Geura Buka http://t.co/oU5FRwPZBr'
410634063737679873,2013-12-11 04:56:04,"b'nginum limun meunang jajan, nu haneut wedang racikan, lamun poe eukeur hujan, inget kelek pamajikan. #KreatiPisan'"
410572965407764480,2013-12-11 00:53:17,"b'WIlujeng Enjing maju ka siang.. Tepang deui sareng kuring, lami teuing ngaleungit,maklum da ari kuli mah kieu atuh,hese waktuna. Emut Keneh?'"
363142719675179008,2013-08-02 03:42:25,b'Hunting masbraaaayyyyy'
362629841910120448,2013-07-31 17:44:26,b'aya keneh kitu nu nyalaring wayah kieu..meni euweuh batur udud yeuh..'
362627061958975489,2013-07-31 17:33:23,b'wolujeng wengi barayaaa.. Aduh kahudangkeun kacoco sireum kuatbka ngajenghak kieu..'
314376854574346240,2013-03-20 14:04:17,b'siga bari nyekil eta mah lur :p RT @akun_KEPO: Gak boleh ngeledek (\xc2\xac_\xc2\xac)\xe3\x83\x8e*(&gt;\xcb\x9b&lt;) RT @Siska_Dessy1: mau tau aja apa mau tau banget RT'
296223340950061056,2013-01-29 11:48:42,b'@starsoulja hatur nuhun akang :) mugi sing dilancarkeun sagala rupi hal pamaksadanana :)'
296217521462325248,2013-01-29 11:25:35,"b'layung beureum tuh geus tereh beak, cirining wanci geus sareupna.. hayu gera arasup ka imah, urang maghrib heula angguran mah :)'"
296187245881339905,2013-01-29 09:25:16,"b'karek lalajo x factor nu kamari..deudeuh neng fatin nangis kusabab hilap rumpaka na... neng frisca ni geulis, kersa janten bojo aa neng?? :p'"
296168360339726336,2013-01-29 08:10:14,b'itu heulang nu ceu awang. mang gagan nu boga sado. tong melang tong hariwang. sugan bae urang ngajodo'
296166047487238145,2013-01-29 08:01:02,b'mang nana eta mang nana keur nangtung. ceu eti mawa kaleci sakodi. kamana atuh kamana nya menta tulung. iwal ka gusti sang hyang widi.'
296162782443868160,2013-01-29 07:48:04,"b'@StarSouLja kang nyuhunkeun difollow, supados teu Ndag-ndagan yeuh hate na pami ditinggal kawin. :D'"
296162124374351872,2013-01-29 07:45:27,b'nyi uum hayang jajan. nyi titi hayang bal-balan. ayeuna keur usum hujan. sing ati-ati nya di jalan.'
296156410922819584,2013-01-29 07:22:45,"b'Mangga nu kagungan bahan sisindiran, urang sisindiran mending ge, tambah kesel keur hujan kieu mah yeuh... prung ahh!! #SSS'"
296151811251900416,2013-01-29 07:04:28,b'mangkade nu bade angkat2an nuju usum hujan kieu mah tong hilap mekel jas hujan sareng payung..'
284017041596350465,2012-12-26 19:25:14,b'@gilangSOULJA aduh kang meni kitu..da kaseff akang mah :D'
284016227502927872,2012-12-26 19:22:00,b'Di polbek nya akang2 nu kararasefff @iqbalns @gilangSOULJA @agungsantika @aatrok :)'
282794003064295424,2012-12-23 10:25:19,"b'Cikan kang kuring rek nanya,ari valet parking d ciwalk sbrha sa-jam na nya? @infobdg @promobdg'"
276282174951534592,2012-12-05 11:09:38,b'tos adzan maghrib gening baraya... hayu ah urang netepan heula... urang nyanghareup heula kanu kagungan..'
276275065505603584,2012-12-05 10:41:23,"b'kumargi teu aya rencang,,,mamang bade maen heula dota sakedapan...hehehehe'"
276266599974051841,2012-12-05 10:07:44,b'waduh tiiseun kieu teu aya nu ngabaturan #sisindiran na..eleh ku nonton persib eung...hahahahaha'
276263654171742208,2012-12-05 09:56:02,"b'neang piring ka cipayung, jeung mang adang ka cikoneng neang paku payung, ieu kuring ngalanglayung, kabandang ku neng nu ditiung #sisindiran'"
276259453484027905,2012-12-05 09:39:21,"b'@SubtitleSunda @Tarucing_Sunda @NonomanSunda mangga...antosan nya kang,milari heula ideu..hehe kmh persib kenging??'"
276259271036006400,2012-12-05 09:38:37,"b'hapunten sateuacanna pami sim kuring nyerat sisindiran na teu murwakanto,,eh  murwakanti.. nembean deui ieu teh,janten sok rada telmi.. :D'"
276258672840151040,2012-12-05 09:36:14,b'@Tarucing_Sunda @SubtitleSunda @NonomanSunda wilujeng sonten baraya.. hayu ah tambah kesel sore2 urang cobi kawitan #sisindiran :D'
276130131431530496,2012-12-05 01:05:28,"b'@SubtitleSunda aeh aeh gening aya nu sono..ehehehe ke ah rada siangan kang,abdi na bade kukurilingan heula,ke tos dirorompok deui w.. :D'"
276129871430819841,2012-12-05 01:04:26,"b'Meuli kamoceng ti kang ajat, meuli auning ti mang nana,  eta kang aceng mani bejat, gening kitu kalakuanana #sisindiran'"
276122736164741121,2012-12-05 00:36:05,"b'@SubtitleSunda alhamdulillah dulur,aya hibar :D sawalerna? Karek jol,ari barangan dibuka euleuh gening lami pisan teu ngelol na teh.. :D'"
276119658044747776,2012-12-05 00:23:51,"b'Kagareuwahkeun ku hayang kahampangan, kaluar kamar eh bandung mendem, tp mudah2an hate baraya teu samendem cuaca bandung. Wilujeng Enjing :)'"
260689514354339840,2012-10-23 10:29:58,b'Wilujeng Sonten Baraya!!!'
260606025114189824,2012-10-23 04:58:12,"b'sisindiran mah da moal panjang teuing geulis :) RT @Yulia_SD8: @sundasisindiran pangadamelkeun sisindiran anu panjang , kangge kana lagu es'"
260605787213271040,2012-10-23 04:57:16,b'RT @rasid_M2R: ka Bandung kuring ka bandung\nsukajadi keur marema\nkaduhung kuring kaduhung\nheunte jadi ka manehna @sundasisindiran'
260605748353052673,2012-10-23 04:57:06,"b'aya kumang sisi leuwi, yeuh si mamang datang deui #sundasisindiran'"
260605212648165377,2012-10-23 04:54:59,"b'insya allah ti ngawitan deui dinten ayeuna, si mamang baris midang deui dina acara #sundasisindiran. Insya Allah. Cag Ah'"
260604986789097474,2012-10-23 04:54:05,"b'aduh hapunten baraya sadayana...nembe jebul deui yeuh si mamang,,,nuju rariweuh ku padamelan sababara minggon kapengker teh.. #hapunten'"
243669316401246208,2012-09-06 11:17:46,"b'tong era ngamumule budaya sorangan teh..da mun lain ku urang,nya kusaha deui atuh..sing inget kanu purwadaksi,,'"
243668582335148032,2012-09-06 11:14:51,b'sing langgeng abadi mulus rahayu budayana.. sabab rusak budaya bakal rusak oge bangsa na..'
229885002337378305,2012-07-30 10:23:50,b'Wilujeng Sonten Baraya Sunda @infobdg @SubtitleSunda @Tarucing_Sunda'
227989098370068480,2012-07-25 04:50:11,"b'emh na angkot ningali bolon keur nginum orson d palastikan..tiis we deuih eta bolon,abong bolon... #cocobapuasa'"
227614535429804032,2012-07-24 04:01:48,"b'Nuhun ""@Tarucing_Sunda: sundasisindiran mangga ang :)""'"
227613622132682752,2012-07-24 03:58:11,"b'Wilujeng Siang Lur.. Cikan rek nanya, karuat keneh puasa na??'"
227612999186280448,2012-07-24 03:55:42,b'Cikan rada d polbek ah kang..salam wanoh.. :) @Tarucing_Sunda'
226655678406725632,2012-07-21 12:31:39,"b'Anu umat islam,heup heula ngtwit na..urang tarawehan heula.. :)'"
226424265384263680,2012-07-20 21:12:06,"b""saur na atos,kantun niatna.. niat abdi saum fardu kangge dinten ayeuna,lillahi ta'ala..kahade ulah hilap netepan subuh kanca.. :)"""
226408642784681984,2012-07-20 20:10:01,"b'Ihh aya ku resep ningali batur mah..saur teh di gugahkeun ku kabogoh,beda jeung kuring,saur teh gugah ku alarm..endah pisan.. :) X('"
226406820388954112,2012-07-20 20:02:47,"b'Anu tos gugah,punten eta panggeuingkeun sina saur..hawatos, maenya bade di ganda moal saur..aduh nembe ge dinten kahiji..sok panggugahkeun..'"
226402182566649857,2012-07-20 19:44:21,"b""Tos disariapkeun pasakan na??sareng naon wae yeuh baraya??sing ni'mat nya saur na..tong hilap eueut susu,pados kiat dugi maghrib.."""
226400241736364033,2012-07-20 19:36:38,"b'Ka balubur meuli kacapiring, meuli kangkung di parakan ,saur na cekap sapiring, langkung mah bisi kamerengkaan #sisindiran #saur'"
226398365036986368,2012-07-20 19:29:11,"b'ka para istri gera garugah,gera siapkeun sangu+pasakan na kangge saur..ka para pameget,gera takolkeun tah kohkol na,garugahkeun nu sanes..'"
226397956268507137,2012-07-20 19:27:33,b'Wilujeng Saur Baraya.. cc: @sumedangdaily @sumedangUPDATE @SubtitelSunda @SubtitleSunda'
225960038315991041,2012-07-19 14:27:25,"b'Saninten buah saninten, saninten di parapatan, hapunten abdi hapunten, bilih aya kalepatan.. Wilujeng Wengi Baraya.. Cag ahh.. :)'"
225959802264756224,2012-07-19 14:26:29,"b'Kumargi tos wengi,sisindiran na urang cekapkeun heula dugi kadieu..'"
225953950623473664,2012-07-19 14:03:14,"b'Ka cikoneng meuli pisin jeung ragaji, meuli colenak dikalapaan, neng isin paraji, boga budak euweuh bapaan #sisindiran'"
225948831211216898,2012-07-19 13:42:53,"b'Mawa piring jeung roko polo, mawana di cikoneng sisi walungan, ieu kuring nu keur gelo, ku si neng nu ditiungan #sisindiran'"
225944096118829056,2012-07-19 13:24:05,"b'Kacapiring didaharan ku beurit, beurit teh di potongan diwalungan, ieu kuring teh keur mirit, mirit popotongan nu geus nyorangan #sisindiran'"
225933527882035201,2012-07-19 12:42:05,"b'Kunaon kacapiring dina pager, dipotongan ku nu bujangan, panon kuring jadi seger, popotongan geus nyorangan #sisindiran'"
225932076015312896,2012-07-19 12:36:19,"b'Meuli sendal dikantongan, calana nyangsang dina buuk, pami ningal popotongan,hawana teh sok asa hayang nekuk #sisindiran'"
225926198457417729,2012-07-19 12:12:57,"b'Hayu ah,batan kesel nungguan keputusan iraha saum dikawitan,mending urang sisindiran :)'"
225923476777750528,2012-07-19 12:02:08,"b'Hatur nuhun kang :) ""@sumedangUPDATE: Follow =&gt; sundasisindiran""'"
225916994518667264,2012-07-19 11:36:23,b'neda pangampura samudaya kalepatan lahir tumekaning bathin.. Wilujeng Sasih Syiam 1433H'
225393562840346624,2012-07-18 00:56:27,"b'nyandak pajeng kapegat anjing jeung oray sanca,pajeng na nu kuncen awewe, Wilujeng Enjing Kanca2, Wilujeng Mancen Gawe #sisindiran'"
225225337179602944,2012-07-17 13:47:59,"b'Ka buahdua jalan cimalaka, ka conggeang mah asa kumaha, rek ngadua burung cilaka, pasti diteang ku mitoha #sisindiran'"
225224240662716419,2012-07-17 13:43:38,"b'meuli bandrek sapipiti,meuli senal ti mang nana,kuring arek ninyuh kopi,hanjakal euweuh rokona #sisindiran'"
225217689965182976,2012-07-17 13:17:36,"b'saninten buah saninten,saninten di parapatan,hapunten mimin hapunten samudaya kalepatan.. Wilujeng nyorang Sasih Siam,mugi sing berkah.. :)'"
223436325355929600,2012-07-12 15:19:05,"b'mang maman uih ti walanda, ti cipaku mawa angeun, pan urang nonoman sunda, piraku eleh ku urang deungeun. #sisindiran'"
221577571349954560,2012-07-07 12:13:04,"b'Duh deudeuh si akang.. :) aya nobar kang.. :D ""@WadityaG: Teu kabagean tiket euy.. (@ Taman Budaya Dago Tea House) http://t.co/xjey707q""'"
221577249692979201,2012-07-07 12:11:47,b'Nu tos kagungan tiket @pagelaranLSSITB hayu gera lalebet ka gedung teater..acara tos dikawitan..'
221025461147418626,2012-07-05 23:39:11,"b'Wilujeng Enjing Kanca,, Wilujeng Mancen Gawe, tapi sateuacanna geura aribak heula, beresihan tah cileuh sareng dahdir na.. :)'"
219092431147245568,2012-06-30 15:38:00,b'ooo...manawi teh nu abdi na k protect.. :) tp atos di polow kang?? :D RT @kmhaing: joeragansunda sanes mah. Tapi ie kamari seer teing nga po'
219091462002966529,2012-06-30 15:34:09,b'aduh maenya kang ah..da teu d protect nu abdi mah.. dicobi deui kang :) RT @kmhaing: joeragansunda mang naha teu tiasa di polow?'
218562493583343616,2012-06-29 04:32:13,"b'mangga kang teu sawios..diantos ""@kmhaing: joeragansunda abdi seer teing nga polow. Ke upami tos tiasa di polow lah. (Y)""'"
218541413523144704,2012-06-29 03:08:27,"b'di polow heula kang ah urang sasarengan dina budaya sunda...bilih bade diajar basa sunda hayu urang sasarengan,.. :) @kolotbangor @kmhaing'"
218526035925401602,2012-06-29 02:07:21,"b'aya reueus, d cianjur alhamdulillah aya kneh nonoman nu lalemes ngalobrol ku #basasunda teh..jeung alus galeong na deuih..hehehe #huripsunda'"
218504863250780161,2012-06-29 00:43:13,b'Wilujeng Enjing Tweepers.. Wilujeng Mancen Gawe.. :) Wilujeng Liburan.. :) bari liburan urang bari diajar #basasunda yuk ah.. :)'
218293386082390016,2012-06-28 10:42:53,"b'RT @sumedangdaily: Di Cibugel Truk Masuk Jurang, Supir dan Kernet Selamat http://t.co/RRUY2KmV - #inposmd'"
218280070714884097,2012-06-28 09:49:58,"b'emh deudeuh nonoman sunda dugi k kitu..cacakan di lembur eta teh, komo deui pmi nu di kota na..emh deudeuh deudeuh nonoman sunda #basasunda'"
218279615460950016,2012-06-28 09:48:10,"b'singket crita,et mrangkalih th pendak sreng rrencanganana..nu mtak reuwas na, gning murangkalih teh ngbrolna teh aya basa sato.. #basasunda'"
218279106033369088,2012-06-28 09:46:08,"b'eh punten,bilih kirang terang,td sim kuring ti lembur citengah kabupaten sumedang :) hilap infona.. :)'"
218278919881764864,2012-06-28 09:45:24,"b'tadi sim kuring tos ti lembur citengah,dines kantor.. diditu pendak sareng murangkalih sd.. #basasunda'"
218278549986099200,2012-06-28 09:43:56,"b'Emh,aya hariwang sim kuring ku nonoman sunda ayeuna.. #basasunda'"
217460342253559808,2012-06-26 03:32:40,"b'@SubtitleSunda mangga,bade naros naon??'"
217299182833246209,2012-06-25 16:52:17,"b'@WadityaG @SubtitelSunda @SubtitleSunda @Sunda_Bocor nembe bade kang,enjing damel.. Marangga ah.. Kum... :)'"
216340286287265792,2012-06-23 01:21:58,"b'tah dina E anu katilu tadi, dina hp mah teu aya pan.. tapi asal tiasa urang ngab\xc3\xa9ntenkeun dina kalimatna.. #dabs'"
216340024671735811,2012-06-23 01:20:55,"b'Katilu aya \xc3\xa9 (luhurna make curek). Conto : M\xc3\xa9r\xc3\xa9 (hartina masihan).. kumargi dina HP mah teu aya,tp da kedah dipasihan terang. #dabs'"
216328110008836097,2012-06-23 00:33:35,"b""sanes 'nyeuri' ath kang, tapi 'nyeri' :) RT WadityaG: Gugah gurung gusuh, ku alatan nyeuri patuangan teh bener2 teu ngareunah pisaan!"""
216327004386107393,2012-06-23 00:29:11,"b'Kadua aya EU (dibarengan ku huruf U). Conto : Meuli (sanes meli), teu (sanes te), sakeudeung (sanes sakedeng), beurang (sanes berang) #dabs'"
216325014243381250,2012-06-23 00:21:17,"b'Kahiji aya E pepeg (teu make curek luhurna). Conto : karep (hartina nyicingkeun, diantep)'"
216324536499580928,2012-06-23 00:19:23,"b""Kadang kawis urang teh sok lepat dina kecap nu ngandung huruf 'E', ari huruf nu hiji eta teh aya 3 rupi. #dabs"""
216323984910860288,2012-06-23 00:17:11,b'Sakantenan sareng sim kuring oge follow nya. :) RT @SubtitleSunda: follow baraya mimin --&gt; @SpeakCINTA'
216323658002612226,2012-06-23 00:15:53,"b'Ari nu namina diajar mah,sadayana ge pasti teu tiasa heula.. Maenya ari bangsa deungeun dialajar, ari urang nu kagunganana teu diajar..'"
216322380136583168,2012-06-23 00:10:49,b'parantos kang :) RT @Ajang_Komarudin: joeragansunda sok ah follback'
216321945208238080,2012-06-23 00:09:05,b'Teu kedah isin kangge diajar basa ari ngangken diri urang sunda mah.. Yu urang diajar sasarengan basa sunda.. #dabs'
216318691099418627,2012-06-22 23:56:09,b'Wilujeng Enjing Bararaya.. Tos Siap Kangge diajar basa sunda?? Kade tong hilap sarapan heula nya.. :) #dabs'
215420144699191297,2012-06-20 12:25:39,"b'@WadityaG riweuh gning nya gaduh akun kieu teh,abdi kedah aya twit wae..manawi teh kantun ngantosan patarosan wungkul.. :D'"
215418801783717888,2012-06-20 12:20:19,b'@Ajang_Komarudin mangga kang..diantos we.. :)'
215418704450695171,2012-06-20 12:19:56,"b'aya lur,nju damel td th,maklum kuli mah dugi ka wengi :) RT @WadityaG: min,kamana deui??asa td enjing wungkul nonghol teh?? :D joeragansunda'"
215376979153793024,2012-06-20 09:34:07,b'Cimareme we lur..hehehe RT @SubtitelSunda: tuturkeun kamana ? ka cikapundung ? hayu atuh :))) RT (cont) http://t.co/GmVxC6Kb'
215258249308536833,2012-06-20 01:42:20,"b'mangga,boh bilih aya nu bade naroskeun perkawis #basasunda ..insya allah ku sim kuring dibantos..'"
215257310187098112,2012-06-20 01:38:36,"b'RT @SubtitleSunda: sok tar tuturkeun (`\xe2\x96\xbd\xc2\xb4)-\xcf\x83 @joeragansunda nu bade nyarios sunda, belajar bahasa sunda :))'"
215255538240471040,2012-06-20 01:31:34,"b'@SubtitleSunda hatur nuhun kang..muhun,abdi ge nju ngajak deui nu sanesna.. :)'"
215255267158392832,2012-06-20 01:30:29,"b""kangge dasar na heula, dina #basasunda mah naon anu diucap,tah eta anu diserat.. conto : sanes 'sapeurtos' , tp 'sapertos' #basasunda"""
215252869211897857,2012-06-20 01:20:57,"b'Hayu #diajarbasasunda gampil da ari basa sunda teh,hayu teu kedah isin2.. #basasunda'"
215252490621431809,2012-06-20 01:19:27,b'RT @SubtitleSunda:wilujeng enjing parmirsahh #rabusunda #rabusunda #rabusunda #rabusunda #rabusunda #rabusunda #rabusunda #subtitlesunda #SS'
215251995756462081,2012-06-20 01:17:29,"b'@mutiarasharas tah eta,leres pisan.. Mangga dihaturanan.. :)'"
215251702373302272,2012-06-20 01:16:19,"b'@SubtitelSunda cikan kang,rada dituturkeun.. :)'"
215251252089593857,2012-06-20 01:14:32,"b'@SubtitleSunda cikan,rada di tuturkeun deui kuring kang.. :)'"
215244674665955329,2012-06-20 00:48:24,"b'@mutiarasharas mangga geulis,hayu urang diajar basa sunda sasarengan ngalangkungan dumay.. :) #basasunda'"
215230620719251456,2012-06-19 23:52:33,"b'@mutiarasharas ih jeh,teu kedah panasaran wios.. muhun insya allah pami pendak mah,, :)'"
215230185891577857,2012-06-19 23:50:49,b'Hatur nuhun kang.. :) RT @sumedangUPDATE: Mangga atos RT joeragansunda: salam pangwanoh ti sim (cont) http://t.co/t88xTyud'
215225106350342145,2012-06-19 23:30:38,"b'Wilujeng Enjing Baraya... Wilujeng Mancen Damel, Wilujeng Liburan Kangge nu Sarakola keneh, mugi aya mangpaat dina waktos na liburan :)'"
215202549270183936,2012-06-19 22:01:00,"b'Wilujeng Gugah, Wilujeng Ngalakonan Netepan Subuh Baraya Sunda Sadayana :)'"
215076248500703235,2012-06-19 13:39:08,"b'Bade dicekapkeun heula dugi kadieu lalampahan sim kuring dinten ayeuna... amit mundur amit mungkur,hapunten bilih aya kalepatan.. :) cag ah.'"
215076183476408320,2012-06-19 13:38:52,"b'Wilujeng wengi baraya, wilujeng kulem, wilujeng reureuh tina sagala aktivitas na.. :)'"
215075564900458496,2012-06-19 13:36:25,"b'@mutiarasharas alhamdulillah ath,pami kagungan keneh kaisin mah,,hehe muhun bubuka pameran kamari,..ari panasaran teuing mah henteu,, :D'"
215073033847705600,2012-06-19 13:26:21,"b'@mutiarasharas isss..teu kedah isin teh :), pan kantos ningal waktos pameran.. :) nya puguh ari caket mah, da sim kuring ge di sumedang.. :)'"
215072265468002304,2012-06-19 13:23:18,"b'mataak, hayu urang diajar basa sunda sasarengan..supados teu luntur ku waktu, teu ilang ku jaman.. :) #basasunda'"
215071701023719425,2012-06-19 13:21:04,"b'margi, upami urang teu diajar katambih2 kaditu na teu tiasa,,karunya teuing atuh turunan sunda teh kadituna moal tariasaeun.. #basasunda'"
215071401869180929,2012-06-19 13:19:52,"b'sim kuring teu bosen2 ngajak dulur2 sadaya kangge diajar basa sunda,teu kedah isin2 da sim kuring ge sami bari diajar keneh.. :)'"
215070311920570369,2012-06-19 13:15:32,b'RT @wadityag: mangga d pollow @joeragansunda kangge undak usuk basa atanapi bari diajar basa sunda sasarengan... hatur nuhun'
215069913759498242,2012-06-19 13:13:57,"b'@mutiarasharas nya tangtos w terang atuh,da panan saurna nyi mojang ti sumedang teh terkenal,sareng kaleresan kantos ningal..abdi nu nyepeng'"
215064905643073537,2012-06-19 12:54:03,b'RT @mutiarasharas: Apa yang sudah anda lakukan selaku warga sumedang sampai anda yakin untuk mengajak berkunjung ke sumedang?'
215064059081523200,2012-06-19 12:50:42,"b'@mutiarasharas eh eh eh, gening aya neng mojang.. haturan wilujeng tepang, sareng nyanggakeun salam pangwanoh ti sim kuring :)'"
215063742545797120,2012-06-19 12:49:26,b'RT @sumedangdaily: #hayukasumedang ayeuna @Teater_GU2012 @hijihijiadinira bakal mintonkeun naskah PANGERAN GEUSAN ULUN karya Saini KM...'
215062695890792448,2012-06-19 12:45:17,b'@sumedangdaily hatur nuhun :)'
215061662665932800,2012-06-19 12:41:10,"b'salam pangwanoh ti sim kuring mimin nu enggal, dihaturanan kangge polbek kang @sumedangUPDATE @sumedangdaily @Kabar_SUMEDANG hatur nuhun'"
