id,created_at,text
378090009720418304,2013-09-12 09:37:37,b'tah aya nu apal teu? cik sok ah jawab'
378089856078864384,2013-09-12 09:37:00,b'RT @zulvikarrr: Biji naon anu mahal jeung teu bisa akaran??? @tatarucinganyuk'
378089592252948480,2013-09-12 09:35:58,b'emih naon nu ngeunaaah?'
372599860396294145,2013-08-28 06:01:43,b'Sok atuh hayu urang tatarucingan'
357479602244960258,2013-07-17 12:39:13,"b'eh poho ngetwit jam sakieu, kanyahoan teu tarawehan atuhnya kuring'"
357479501871054850,2013-07-17 12:38:49,b'@muh_samuel hayu sok der tatarucingan'
357093980816674816,2013-07-16 11:06:54,b'Mamang mah bade kopi sareng bako heula.'
357093783961214977,2013-07-16 11:06:07,"b'Wilujeung buka barudak, sok sing jongjon  emamna.'"
356888110388350977,2013-07-15 21:28:50,b'Imsak jang imsak pareuman ududna.'
356887927554449412,2013-07-15 21:28:07,b'Heeuh nungguan adzan subuh.'
356887686092566531,2013-07-15 21:27:09,b'Nungguan naon cing nu lila?'
356887625279340544,2013-07-15 21:26:55,b'Panon geus hayang reup kieu haduh gustii.'
356720427504119808,2013-07-15 10:22:32,b'Atos ngabuburitna? Hayu ah urang nyiapkeun kangge buka :D'
355281649631641601,2013-07-11 11:05:20,b'alhamdulillah nikmat :)'
355077962581815300,2013-07-10 21:35:57,"b'eits! ulah waka pereum, subuh heula subuh.'"
355069846117036033,2013-07-10 21:03:42,"b'alarem, ujang :( ""@infobandung: Iseng mau nanya ahh, tadi yang bangunin sahur siapa nih ? Coba di mention orangnya #SahurBDG :P""'"
355068930970234880,2013-07-10 21:00:04,"b'sok geura ngaropi jeung udud bisi kaburu imsak, ke beurang mah ngudud haseup knalpot we jang heheuy.'"
355066244942139392,2013-07-10 20:49:24,"b'saur jeung sangu nya, ulah jeung batako bisi kabuhulan.'"
355065907774619649,2013-07-10 20:48:03,"b'saur jeung naon neng, ujang?'"
354821159231029248,2013-07-10 04:35:31,"b'sing lalancar puasananya geulis kasep, kade tinggaleun shalatna.'"
352241867309592576,2013-07-03 01:46:20,b'wilujeung enjing dulur sadaya. mugiya dinteun ieu seeur rejekina nya.'
352241680893739009,2013-07-03 01:45:35,b'@Yadhisyah mangga sok jang. twitteran mah teu kudu diajar ke ge ngarti sorangan.'
350610151054647296,2013-06-28 13:42:28,b'Yeuh ai beunghar teh ulah sok kamalinaan nepi ka sawah-sawah ditehelan.'
350609479471087617,2013-06-28 13:39:48,"b'@Rie_kovacic sukur atuh jang ai damang mah, kade ulah cunihin.'"
350609322302115841,2013-06-28 13:39:11,"b'@tweeturangsunda geus kolot mah hese jang tutuiteran teh, teu katingali *gabrug bari rada diciuman*'"
350600120322097154,2013-06-28 13:02:37,"b'@tweeturangsunda kumaha luur, damang? Tos lami teu say hi, alah.'"
